"srch_id","year","month","weekofyear","time","site_id","visitor_location_country_id","srch_destination_id","srch_length_of_stay","srch_booking_window","srch_adults_count","srch_children_count","srch_room_count","srch_saturday_night_bool","random_bool"
"'546449'","'2013'","'02'","'7'","'6'","'14'","'219'","'6126'",1,1,2,0,1,1,0
"'171708'","'2013'","'05'","'19'","'4'","'5'","'149'","'13311'",1,26,2,0,1,0,0
"'129934'","'2013'","'03'","'9'","'8'","'5'","'219'","'10424'",1,1,2,2,1,1,0
"'242140'","'2012'","'11'","'47'","'8'","'5'","'219'","'10446'",1,0,2,0,1,0,0
"'228475'","'2013'","'04'","'15'","'10'","'15'","'55'","'16823'",1,118,2,2,1,1,1
"'384052'","'2013'","'02'","'6'","'4'","'5'","'219'","'14081'",1,15,1,0,1,0,0
"'553813'","'2013'","'01'","'5'","'9'","'5'","'219'","'7100'",1,9,2,0,1,1,0
"'114402'","'2012'","'11'","'45'","'4'","'5'","'219'","'2502'",1,4,1,0,1,0,0
"'282769'","'2012'","'12'","'50'","'10'","'5'","'219'","'11357'",1,3,2,2,1,0,0
"'522815'","'2012'","'12'","'52'","'10'","'5'","'219'","'2518'",3,1,2,0,1,0,1
"'262124'","'2012'","'11'","'48'","'6'","'5'","'219'","'15307'",2,0,2,0,1,1,0
"'68200'","'2012'","'12'","'49'","'3'","'5'","'219'","'1962'",1,10,1,0,1,0,0
"'632412'","'2013'","'02'","'6'","'8'","'5'","'219'","'23956'",1,0,1,0,1,1,0
"'637123'","'2012'","'11'","'48'","'6'","'5'","'219'","'16823'",1,13,2,0,1,0,0
"'551019'","'2012'","'12'","'52'","'10'","'5'","'219'","'12736'",1,4,3,1,1,0,0
"'129156'","'2013'","'05'","'18'","'5'","'5'","'219'","'4041'",1,8,2,0,1,1,0
"'541620'","'2013'","'01'","'5'","'11'","'5'","'219'","'15978'",1,1,2,0,1,1,0
"'603339'","'2013'","'05'","'21'","'8'","'5'","'219'","'5536'",2,86,3,1,1,1,0
"'558932'","'2013'","'06'","'26'","'10'","'5'","'219'","'24131'",1,3,1,1,1,0,0
"'46492'","'2013'","'03'","'12'","'4'","'14'","'100'","'7683'",1,1,2,0,1,1,0
"'414706'","'2013'","'06'","'23'","'4'","'5'","'219'","'12642'",1,29,2,0,1,1,0
"'426583'","'2013'","'01'","'1'","'8'","'5'","'219'","'5574'",2,2,2,0,1,1,0
"'542105'","'2013'","'02'","'6'","'4'","'5'","'219'","'8192'",3,27,2,0,1,0,0
"'26192'","'2013'","'01'","'2'","'11'","'5'","'219'","'13870'",1,1,2,0,1,1,0
"'46248'","'2013'","'05'","'21'","'11'","'5'","'219'","'7322'",6,2,2,0,1,0,0
"'240999'","'2013'","'02'","'6'","'9'","'5'","'219'","'20242'",1,1,2,0,1,1,0
"'244312'","'2013'","'04'","'16'","'9'","'5'","'219'","'10948'",1,0,1,0,1,0,0
"'599722'","'2013'","'02'","'6'","'4'","'5'","'219'","'27769'",2,5,1,0,1,1,0
"'193209'","'2013'","'06'","'22'","'10'","'5'","'219'","'4748'",1,1,2,0,1,0,0
"'150717'","'2012'","'12'","'49'","'5'","'5'","'219'","'44'",1,5,2,0,1,1,1
"'145296'","'2013'","'05'","'21'","'9'","'15'","'33'","'27445'",1,48,2,0,1,1,0
"'532387'","'2013'","'02'","'9'","'9'","'5'","'219'","'8192'",4,164,2,0,1,1,1
"'102930'","'2013'","'01'","'1'","'7'","'5'","'219'","'23246'",1,23,2,0,1,0,0
"'155857'","'2013'","'06'","'22'","'4'","'5'","'219'","'4828'",16,6,2,0,1,0,0
"'500378'","'2013'","'04'","'17'","'7'","'32'","'220'","'13216'",4,84,2,0,1,0,0
"'381575'","'2013'","'02'","'6'","'10'","'5'","'219'","'19781'",1,1,2,2,1,1,0
"'500632'","'2013'","'05'","'22'","'11'","'5'","'219'","'22134'",1,46,2,0,1,1,1
"'529358'","'2013'","'01'","'1'","'8'","'5'","'219'","'14081'",1,6,2,1,1,1,0
"'219161'","'2013'","'02'","'7'","'8'","'5'","'219'","'8347'",1,37,3,0,1,1,0
"'382092'","'2012'","'12'","'50'","'7'","'5'","'219'","'7971'",1,1,2,0,1,1,1
"'657617'","'2012'","'11'","'47'","'9'","'5'","'219'","'2168'",1,2,2,0,1,0,0
"'360745'","'2012'","'11'","'47'","'9'","'5'","'219'","'16645'",2,18,1,0,1,0,0
"'649224'","'2013'","'05'","'18'","'7'","'5'","'219'","'27451'",1,58,4,0,2,1,1
"'227936'","'2013'","'04'","'15'","'10'","'5'","'219'","'1808'",2,48,1,0,1,1,0
"'446856'","'2013'","'02'","'8'","'12'","'32'","'220'","'13216'",4,155,4,0,2,0,0
"'7811'","'2013'","'05'","'18'","'7'","'14'","'100'","'20874'",4,9,2,2,1,1,0
"'63146'","'2013'","'01'","'3'","'5'","'5'","'219'","'18488'",1,8,2,0,1,0,0
"'396234'","'2012'","'12'","'50'","'9'","'5'","'219'","'21725'",3,6,2,0,1,1,0
"'183940'","'2013'","'02'","'7'","'7'","'5'","'219'","'17897'",1,2,2,0,1,0,1
"'47135'","'2013'","'04'","'14'","'9'","'5'","'219'","'23452'",1,0,2,2,1,1,1
"'333683'","'2012'","'12'","'53'","'7'","'14'","'219'","'8347'",1,3,7,0,2,1,0
"'624072'","'2013'","'01'","'4'","'9'","'5'","'219'","'20491'",1,52,4,0,1,1,1
"'106267'","'2013'","'04'","'15'","'7'","'5'","'219'","'26067'",1,2,2,0,1,0,1
"'584273'","'2013'","'02'","'7'","'8'","'14'","'100'","'12736'",2,16,1,0,1,0,0
"'156936'","'2012'","'11'","'47'","'10'","'5'","'219'","'19521'",2,24,1,0,1,1,0
"'638099'","'2013'","'04'","'17'","'12'","'5'","'219'","'8192'",1,1,2,0,1,0,0
"'80683'","'2012'","'11'","'45'","'10'","'5'","'219'","'8347'",2,13,2,0,1,0,0
"'477356'","'2013'","'05'","'18'","'9'","'32'","'220'","'4182'",1,149,2,0,1,1,0
"'651871'","'2013'","'06'","'24'","'10'","'5'","'219'","'7434'",1,25,2,0,1,1,0
"'184278'","'2013'","'02'","'5'","'8'","'32'","'220'","'23246'",1,16,2,0,1,0,0
"'334830'","'2013'","'01'","'5'","'10'","'5'","'219'","'26928'",1,1,2,0,1,0,1
"'106278'","'2012'","'11'","'45'","'5'","'5'","'219'","'14834'",1,0,2,0,1,1,1
"'538849'","'2013'","'06'","'26'","'12'","'5'","'219'","'23090'",3,58,4,0,1,0,0
"'600118'","'2013'","'01'","'2'","'7'","'15'","'55'","'17638'",1,11,2,0,1,1,1
"'87742'","'2012'","'11'","'45'","'8'","'5'","'219'","'7434'",1,2,2,0,1,1,0
"'68970'","'2013'","'05'","'20'","'6'","'5'","'219'","'8993'",2,32,2,0,1,0,0
"'314109'","'2013'","'01'","'2'","'8'","'14'","'100'","'22380'",2,9,2,0,1,0,1
"'12708'","'2013'","'03'","'12'","'9'","'5'","'219'","'26566'",1,13,1,1,1,1,0
"'299358'","'2013'","'03'","'12'","'5'","'5'","'219'","'26531'",2,18,1,1,1,1,0
"'250993'","'2013'","'05'","'20'","'7'","'32'","'220'","'6792'",2,97,2,0,1,0,1
"'233763'","'2012'","'12'","'52'","'3'","'5'","'219'","'9179'",3,4,1,0,1,1,0
"'136973'","'2013'","'06'","'22'","'11'","'5'","'219'","'23246'",4,7,2,0,1,0,0
"'361414'","'2013'","'02'","'7'","'6'","'5'","'219'","'2429'",1,64,2,0,1,0,0
"'157680'","'2012'","'11'","'48'","'10'","'5'","'219'","'27023'",1,2,2,0,1,1,0
"'561440'","'2012'","'12'","'52'","'1'","'12'","'99'","'21232'",1,99,2,0,1,0,0
"'289698'","'2012'","'11'","'47'","'8'","'5'","'219'","'4828'",1,1,2,1,1,0,0
"'131273'","'2013'","'01'","'2'","'8'","'5'","'219'","'4045'",2,6,2,0,1,0,0
"'222757'","'2013'","'01'","'4'","'5'","'5'","'219'","'20583'",1,8,1,0,1,1,0
"'539598'","'2013'","'04'","'15'","'9'","'5'","'219'","'4748'",2,44,1,0,1,1,1
"'339192'","'2012'","'12'","'49'","'7'","'5'","'219'","'9175'",1,2,2,0,1,1,0
"'203208'","'2013'","'05'","'20'","'5'","'5'","'219'","'2323'",1,7,1,0,1,0,1
"'429299'","'2013'","'02'","'7'","'9'","'5'","'219'","'16760'",5,32,1,0,1,0,0
"'314850'","'2012'","'11'","'45'","'5'","'5'","'219'","'16052'",3,14,2,0,1,0,1
"'314095'","'2012'","'11'","'44'","'6'","'5'","'219'","'7827'",2,21,3,1,1,1,0
"'234105'","'2012'","'11'","'47'","'8'","'5'","'219'","'9402'",2,31,2,0,1,0,1
"'41427'","'2013'","'06'","'25'","'8'","'14'","'100'","'11381'",2,15,2,0,1,1,0
"'36751'","'2013'","'04'","'14'","'5'","'5'","'219'","'7182'",1,1,1,0,1,1,0
"'265572'","'2012'","'12'","'49'","'4'","'5'","'219'","'17713'",2,13,2,0,1,0,1
"'29366'","'2013'","'06'","'22'","'7'","'14'","'100'","'7246'",1,4,1,0,1,1,0
"'484769'","'2013'","'04'","'18'","'5'","'5'","'219'","'4687'",2,7,2,0,2,0,0
"'482412'","'2012'","'11'","'45'","'11'","'5'","'219'","'13216'",3,13,2,0,1,0,1
"'391080'","'2013'","'02'","'6'","'8'","'5'","'219'","'25556'",2,2,1,0,1,0,1
"'662222'","'2012'","'11'","'48'","'6'","'14'","'100'","'10580'",1,19,1,0,1,0,0
"'625895'","'2013'","'04'","'14'","'9'","'5'","'219'","'5536'",1,3,4,0,1,1,0
"'532663'","'2013'","'01'","'2'","'8'","'5'","'219'","'23904'",7,24,2,0,1,0,0
"'359937'","'2012'","'12'","'51'","'11'","'5'","'219'","'24131'",2,3,2,0,1,1,0
"'247378'","'2013'","'01'","'1'","'11'","'5'","'219'","'10775'",2,76,2,0,1,1,1
"'93154'","'2013'","'03'","'11'","'7'","'5'","'219'","'921'",1,3,2,1,1,1,0
"'619978'","'2013'","'01'","'1'","'10'","'5'","'219'","'19314'",1,7,2,0,1,0,1
"'366832'","'2013'","'01'","'4'","'10'","'5'","'219'","'23090'",1,2,1,0,1,0,0
"'343402'","'2013'","'06'","'26'","'8'","'5'","'219'","'25479'",1,5,1,1,2,1,0
"'547071'","'2012'","'11'","'48'","'7'","'5'","'219'","'11381'",1,12,1,0,1,0,0
"'365258'","'2012'","'12'","'49'","'9'","'14'","'100'","'6948'",1,9,4,0,1,0,0
"'512107'","'2013'","'03'","'12'","'1'","'5'","'219'","'7384'",1,9,1,0,1,1,0
"'656882'","'2013'","'01'","'1'","'12'","'14'","'100'","'27620'",27,31,2,0,1,0,1
"'52231'","'2013'","'04'","'16'","'12'","'5'","'219'","'13539'",5,10,1,0,1,0,0
"'242469'","'2013'","'06'","'23'","'11'","'5'","'59'","'15253'",3,11,2,2,1,0,0
"'112815'","'2013'","'01'","'4'","'7'","'5'","'219'","'12193'",1,65,2,0,1,0,0
"'308341'","'2013'","'01'","'1'","'10'","'5'","'219'","'27189'",2,2,2,0,1,1,1
"'103290'","'2012'","'11'","'48'","'3'","'5'","'219'","'6072'",2,34,1,0,1,0,0
"'281479'","'2012'","'11'","'46'","'5'","'5'","'154'","'22746'",3,42,1,1,1,0,0
"'218029'","'2013'","'03'","'10'","'4'","'14'","'100'","'2906'",3,24,2,2,1,1,0
"'37095'","'2012'","'12'","'49'","'6'","'5'","'219'","'19045'",1,3,2,0,1,1,0
"'441074'","'2013'","'05'","'19'","'7'","'5'","'219'","'25682'",1,2,2,0,1,1,0
"'280963'","'2012'","'12'","'51'","'9'","'5'","'219'","'26566'",3,3,2,0,1,1,0
"'424640'","'2013'","'05'","'20'","'11'","'5'","'219'","'15307'",3,47,3,1,1,1,1
"'625804'","'2013'","'01'","'5'","'5'","'5'","'219'","'794'",1,166,2,0,1,0,1
"'381039'","'2013'","'06'","'23'","'9'","'5'","'219'","'26067'",2,16,2,0,1,0,0
"'369235'","'2013'","'05'","'20'","'11'","'5'","'219'","'8260'",1,2,4,0,2,1,0
"'366928'","'2013'","'01'","'4'","'9'","'5'","'219'","'22945'",1,31,2,0,1,1,0
"'411193'","'2013'","'03'","'11'","'6'","'5'","'219'","'13202'",3,170,2,0,1,1,0
"'629257'","'2013'","'01'","'3'","'9'","'14'","'100'","'20535'",1,7,2,0,1,0,1
"'321006'","'2013'","'05'","'20'","'11'","'5'","'219'","'8347'",1,2,2,0,1,1,0
"'273467'","'2013'","'05'","'18'","'11'","'5'","'98'","'23246'",1,37,1,0,1,1,0
"'265353'","'2013'","'06'","'24'","'10'","'18'","'129'","'25682'",1,91,2,1,1,0,0
"'453744'","'2013'","'03'","'10'","'10'","'5'","'219'","'9402'",2,1,1,1,2,0,0
"'379180'","'2013'","'05'","'18'","'8'","'5'","'219'","'5664'",1,113,2,0,1,1,0
"'352745'","'2013'","'02'","'9'","'1'","'5'","'219'","'13870'",2,25,2,1,1,0,1
"'245889'","'2012'","'12'","'49'","'8'","'5'","'219'","'17012'",1,21,1,0,1,1,0
"'60214'","'2013'","'04'","'16'","'1'","'5'","'219'","'26085'",2,94,1,1,1,1,0
"'333110'","'2013'","'05'","'21'","'9'","'5'","'219'","'5536'",14,11,2,0,1,0,1
"'365620'","'2013'","'01'","'1'","'5'","'5'","'219'","'28201'",3,13,1,1,1,1,0
"'261275'","'2013'","'03'","'11'","'9'","'5'","'219'","'20319'",7,136,1,1,1,0,0
"'247877'","'2012'","'12'","'52'","'4'","'5'","'219'","'13202'",1,3,1,0,1,1,0
"'146621'","'2013'","'04'","'15'","'6'","'5'","'219'","'14245'",1,11,4,1,1,1,0
"'663191'","'2013'","'05'","'19'","'7'","'14'","'100'","'11381'",3,11,2,0,1,1,0
"'164581'","'2013'","'02'","'7'","'6'","'5'","'219'","'20221'",1,1,1,0,1,1,0
"'265111'","'2013'","'01'","'3'","'8'","'5'","'219'","'14194'",5,2,1,0,1,0,0
"'626549'","'2013'","'06'","'24'","'10'","'5'","'219'","'4599'",3,26,1,0,1,1,1
"'602317'","'2012'","'12'","'49'","'10'","'5'","'219'","'2549'",7,1,1,0,1,0,0
"'165836'","'2013'","'05'","'19'","'10'","'5'","'219'","'4637'",2,1,2,0,1,0,1
"'625169'","'2013'","'06'","'25'","'9'","'5'","'219'","'10679'",3,56,4,2,1,0,0
"'534367'","'2013'","'04'","'17'","'11'","'5'","'219'","'23246'",1,5,1,0,1,0,0
"'639598'","'2012'","'11'","'46'","'5'","'5'","'219'","'13202'",3,14,1,0,1,0,0
"'305547'","'2013'","'01'","'4'","'6'","'5'","'219'","'4878'",1,91,2,0,1,1,0
"'69228'","'2013'","'04'","'15'","'6'","'5'","'219'","'23904'",3,9,2,0,1,0,0
"'145974'","'2013'","'05'","'19'","'9'","'5'","'219'","'15146'",2,5,2,0,1,1,1
"'169697'","'2012'","'12'","'49'","'7'","'5'","'219'","'15846'",1,1,1,0,1,1,0
"'22883'","'2012'","'11'","'48'","'9'","'5'","'219'","'4182'",3,35,3,0,1,0,1
"'9686'","'2013'","'05'","'18'","'8'","'5'","'219'","'8993'",1,1,2,0,1,1,0
"'7325'","'2013'","'05'","'19'","'9'","'5'","'219'","'14684'",1,21,1,0,1,0,0
"'554783'","'2013'","'05'","'20'","'6'","'5'","'219'","'4685'",2,1,2,0,1,1,1
"'595904'","'2012'","'12'","'51'","'4'","'5'","'219'","'2291'",2,8,1,0,1,1,1
"'371236'","'2013'","'02'","'6'","'5'","'5'","'219'","'2566'",1,3,2,0,1,1,0
"'527703'","'2013'","'02'","'7'","'11'","'5'","'219'","'1986'",1,1,2,0,1,1,0
"'167374'","'2013'","'02'","'6'","'5'","'5'","'219'","'20551'",2,6,2,1,1,1,1
"'220314'","'2013'","'03'","'9'","'3'","'5'","'219'","'5872'",1,8,2,0,1,1,0
"'103626'","'2012'","'12'","'51'","'10'","'5'","'219'","'8347'",4,3,5,0,2,1,1
"'152917'","'2013'","'05'","'18'","'7'","'5'","'219'","'4748'",1,30,2,0,1,1,0
"'551040'","'2013'","'05'","'19'","'4'","'5'","'219'","'13216'",2,41,2,1,1,0,0
"'91918'","'2013'","'02'","'8'","'11'","'14'","'100'","'25335'",1,9,2,0,1,0,0
"'566335'","'2012'","'11'","'44'","'4'","'5'","'219'","'5606'",1,0,1,0,1,1,0
"'573019'","'2012'","'12'","'51'","'7'","'5'","'219'","'28201'",2,8,1,0,1,0,0
"'515265'","'2012'","'11'","'45'","'10'","'5'","'219'","'1721'",4,4,2,0,1,1,0
"'241665'","'2012'","'11'","'45'","'5'","'5'","'219'","'270'",1,5,2,0,1,1,1
"'431117'","'2013'","'02'","'9'","'9'","'14'","'100'","'14274'",1,3,2,2,1,1,0
"'328855'","'2013'","'02'","'6'","'6'","'5'","'219'","'17079'",1,21,2,2,1,1,0
"'205212'","'2013'","'06'","'24'","'7'","'5'","'219'","'19161'",5,13,2,0,1,0,0
"'657060'","'2013'","'03'","'13'","'2'","'5'","'15'","'11590'",1,21,1,0,1,1,0
"'276070'","'2013'","'04'","'17'","'2'","'18'","'129'","'6045'",3,59,2,0,1,0,1
"'457342'","'2013'","'02'","'6'","'9'","'5'","'219'","'27742'",2,3,2,0,1,1,1
"'120970'","'2013'","'05'","'21'","'6'","'5'","'219'","'22361'",1,1,3,0,1,1,0
"'246636'","'2013'","'06'","'24'","'5'","'5'","'219'","'24521'",2,2,2,0,1,0,0
"'256189'","'2013'","'02'","'8'","'4'","'5'","'219'","'26507'",3,11,2,0,1,1,1
"'570744'","'2012'","'11'","'48'","'6'","'5'","'127'","'1020'",3,17,1,0,1,0,1
"'218607'","'2013'","'05'","'19'","'11'","'5'","'219'","'21636'",1,34,3,0,1,1,1
"'654164'","'2013'","'05'","'19'","'7'","'14'","'100'","'18825'",3,6,1,1,1,0,0
"'274230'","'2013'","'05'","'20'","'10'","'5'","'77'","'8081'",7,38,2,0,1,0,0
"'262826'","'2013'","'03'","'12'","'6'","'14'","'100'","'15806'",5,13,1,0,1,0,0
"'204206'","'2013'","'03'","'13'","'6'","'5'","'219'","'25964'",2,54,2,1,1,1,0
"'58649'","'2012'","'12'","'51'","'8'","'5'","'219'","'27177'",3,4,2,2,1,1,0
"'655861'","'2013'","'04'","'16'","'8'","'5'","'219'","'8347'",4,27,2,0,1,1,0
"'449050'","'2012'","'11'","'47'","'5'","'5'","'219'","'4335'",2,1,2,0,1,1,0
"'1067'","'2013'","'01'","'4'","'6'","'5'","'219'","'25335'",5,88,2,2,1,0,1
"'298616'","'2012'","'11'","'45'","'9'","'29'","'132'","'15708'",2,194,1,0,1,1,1
"'445193'","'2012'","'11'","'46'","'7'","'5'","'219'","'12193'",2,9,1,0,1,1,0
"'234581'","'2013'","'05'","'22'","'10'","'31'","'219'","'6292'",1,3,1,0,1,1,0
"'209531'","'2012'","'11'","'45'","'11'","'12'","'99'","'23095'",2,9,2,0,1,1,0
"'159444'","'2013'","'01'","'4'","'9'","'5'","'219'","'6230'",2,14,5,1,2,1,0
"'615819'","'2013'","'01'","'2'","'8'","'5'","'219'","'14155'",1,13,2,0,1,1,0
"'229888'","'2013'","'06'","'25'","'6'","'5'","'219'","'24700'",1,13,2,0,1,1,0
"'363268'","'2013'","'06'","'26'","'7'","'5'","'219'","'747'",1,32,2,0,1,1,0
"'389916'","'2013'","'04'","'14'","'8'","'5'","'219'","'10491'",1,30,2,0,1,1,1
"'432906'","'2013'","'05'","'20'","'11'","'5'","'219'","'4687'",2,11,2,1,1,1,0
"'194595'","'2013'","'05'","'19'","'8'","'5'","'219'","'26120'",1,6,1,0,1,0,0
"'617474'","'2013'","'03'","'12'","'4'","'14'","'100'","'6792'",1,0,2,2,1,1,0
"'68918'","'2013'","'01'","'3'","'11'","'5'","'219'","'8730'",1,11,2,0,1,1,0
"'212988'","'2013'","'06'","'25'","'5'","'5'","'219'","'9412'",2,2,2,2,1,0,1
"'348382'","'2012'","'11'","'45'","'10'","'5'","'219'","'22571'",1,15,2,2,2,1,1
"'68898'","'2013'","'04'","'16'","'5'","'5'","'219'","'17713'",2,145,2,0,1,0,1
"'574707'","'2012'","'12'","'50'","'7'","'5'","'219'","'23904'",2,9,2,0,1,0,0
"'605232'","'2012'","'12'","'52'","'10'","'5'","'219'","'17835'",1,1,4,0,2,1,1
"'181854'","'2012'","'11'","'47'","'7'","'5'","'219'","'7434'",2,18,2,0,1,1,0
