"airlineid","name1","name2","name4","acountry","active"
"'596'",1,"f","f","Italy","t"
"'603'",1,"f","f","Bolivia","t"
"'608'",2,"t","f","Zimbabwe","t"
"'622'",2,"t","t","Venezuela","t"
"'641'",2,"t","t","Russia","t"
"'683'",2,"t","f","Botswana","t"
"'690'",2,"t","f","United Kingdom","t"
"'692'",2,"t","f","French Polynesia","t"
"'751'",2,"t","f","China","t"
"'753'",3,"f","f","Peru","t"
"'794'",2,"t","f","Algeria","t"
"'807'",2,"t","f","Italy","t"
"'837'",2,"f","f","Ireland","t"
"'839'",2,"f","f","Italy","f"
"'879'",2,"t","f","Fiji","t"
"'881'",2,"t","f","Faroe Islands","t"
"'882'",2,"t","f","United States","t"
"'896'",2,"t","f","Iceland","t"
"'897'",2,"t","f","Philippines","t"
"'921'",2,"t","f","Denmark","t"
"'970'",2,"t","f","Myanmar","t"
"'995'",1,"f","f","Turkey","t"
"'998'",2,"t","f","Democratic People's Republic of Korea","t"
"'1006'",2,"t","f","Kazakhstan","t"
"'1008'",2,"t","t","Albania","t"
"'1034'",1,"f","f","Ecuador","t"
"'1048'",3,"t","f","Armenia","t"
"'1057'",2,"t","f","Mauritius","t"
"'1066'",2,"t","f","Madagascar","t"
"'1073'",2,"t","f","Moldova","t"
"'1109'",1,"t","f","Russian Federation","t"
"'1173'",2,"t","f","France","f"
"'1191'",2,"t","f","France","t"
"'1203'",1,"t","f","France","t"
"'1206'",2,"f","f","Sri Lanka","t"
"'1230'",1,"f","f","Republic of the Congo","t"
"'1266'",2,"f","f","Zimbabwe","t"
"'1287'",2,"t","f","Russia","t"
"'1290'",1,"f","f","Mexico","t"
"'1299'",1,"f","f","Netherlands","t"
"'1308'",2,"t","t","Papua New Guinea","t"
"'1316'",2,"t","f","United States","t"
"'1317'",2,"t","f","Canada","t"
"'1338'",3,"f","f","Ecuador","t"
"'1340'",4,"t","f","Russia","t"
"'1355'",2,"t","f","United Kingdom","t"
"'1359'",3,"t","t","Bangladesh","t"
"'1392'",3,"t","f","Benin","f"
"'1401'",2,"t","t","Switzerland","t"
"'1403'",1,"t","f","Bahamas","t"
"'1422'",2,"t","f","Thailand","t"
"'1434'",4,"t","f","Canada","t"
"'1441'",1,"f","f","United Kingdom","t"
"'1463'",3,"t","t","Italy","t"
"'1469'",2,"f","f","Brazil","f"
"'1472'",2,"t","f","United States","t"
"'1478'",3,"t","t","Belarus","t"
"'1492'",3,"t","t","United States","f"
"'1500'",2,"f","f","Indonesia","t"
"'1508'",2,"t","f","Malaysia","t"
"'1531'",2,"t","t","Belgium","t"
"'1539'",2,"f","f","Spain","t"
"'1548'",2,"t","f","Bulgaria","t"
"'1581'",4,"t","f","Israel","t"
"'1611'",2,"t","t","Cameroon","f"
"'1623'",2,"f","f","Canada","t"
"'1629'",2,"t","f","United States","t"
"'1654'",1,"f","f","Italy","f"
"'1663'",2,"t","t","Trinidad and Tobago","t"
"'1669'",1,"t","f","Romania","t"
"'1680'",2,"f","f","Hong Kong SAR of China","t"
"'1682'",2,"t","f","Cayman Islands","t"
"'1683'",2,"f","f","Philippines","t"
"'1729'",2,"t","t","China","f"
"'1750'",2,"f","f","United States","f"
"'1756'",2,"t","t","Taiwan","t"
"'1758'",3,"t","t","China","t"
"'1767'",3,"t","t","China","t"
"'1769'",3,"t","t","China","t"
"'1775'",1,"f","f","Russia","f"
"'1780'",2,"t","t","Peru","f"
"'1790'",3,"t","t","Burundi","t"
"'1792'",1,"f","f","Ireland","t"
"'1829'",1,"t","f","South Africa","t"
"'1844'",2,"t","t","Comoros","t"
"'1868'",2,"f","f","Germany","t"
"'1886'",1,"f","f","Venezuela","t"
"'1889'",2,"t","t","Panama","t"
"'1908'",1,"t","f","France","t"
"'1909'",1,"f","f","France","t"
"'1910'",2,"t","f","Nepal","f"
"'1925'",2,"t","t","Croatia","t"
"'1936'",3,"f","f","Cuba","t"
"'1942'",2,"t","f","Cyprus","t"
"'1943'",3,"t","t","Turkey","t"
"'1946'",2,"t","t","Czech Republic","t"
"'1954'",4,"t","f","Denmark","t"
"'1966'",2,"t","t","Djibouti","t"
"'2009'",3,"t","f","United States","t"
"'2056'",1,"t","f","DRAGON","t"
"'2058'",2,"t","f","Bhutan","t"
"'2091'",2,"t","f","Taiwan","t"
"'2094'",2,"t","f","Uganda","t"
"'2104'",2,"f","f","Uganda","t"
"'2117'",2,"t","f","United Kingdom","t"
"'2143'",1,"t","f","Egypt","t"
"'2150'",4,"t","t","Israel","t"
"'2183'",1,"f","f","United Arab Emirates","t"
"'2193'",4,"f","f","Ecuador","t"
"'2217'",3,"f","f","Mexico","f"
"'2218'",2,"t","f","Estonia","t"
"'2220'",2,"t","t","Ethiopia","t"
"'2222'",2,"t","f","United Arab Emirates","t"
"'2226'",3,"f","f","Sweden","t"
"'2245'",1,"f","f","Poland","t"
"'2260'",1,"f","f","Germany","t"
"'2264'",2,"t","f","United Kingdom","t"
"'2293'",3,"f","f","United States","t"
"'2297'",1,"f","f","United Kingdom","t"
"'2324'",4,"t","f","Taiwan","t"
"'2350'",1,"t","f","Finland","t"
"'2353'",1,"f","f","Malaysia","t"
"'2354'",2,"t","f","Canada","t"
"'2395'",1,"f","f","United Kingdom","t"
"'2409'",2,"t","f","Turkey","f"
"'2417'",2,"t","f","Malaysia","t"
"'2418'",1,"f","f","Lithuania","t"
"'2419'",1,"f","f","Sweden","t"
"'2420'",1,"f","f","Switzerland","t"
"'2421'",1,"f","f","United Kingdom","t"
"'2439'",2,"t","t","Taiwan","t"
"'2468'",2,"t","t","United States","t"
"'2520'",2,"f","f","Indonesia","t"
"'2524'",1,"f","f","Russia","t"
"'2538'",2,"t","f","Georgia","t"
"'2541'",3,"t","t","Georgia","t"
"'2547'",1,"f","f","Germany","t"
"'2548'",1,"f","f","Germany","t"
"'2575'",2,"t","f","India","t"
"'2585'",2,"t","f","Sweden","t"
"'2607'",3,"t","t","United States","t"
"'2622'",2,"f","f","Costa Rica","t"
"'2638'",3,"t","f","Bahrain","t"
"'2660'",2,"t","t","China","t"
"'2681'",1,"f","f","Germany","t"
"'2682'",1,"f","f","Germany","t"
"'2684'",2,"t","f","Canada","f"
"'2688'",2,"t","t","United States","t"
"'2692'",1,"t","f","Canada","t"
"'2731'",1,"f","f","Canada","t"
"'2748'",1,"f","f","Switzerland","t"
"'2750'",2,"t","f","Switzerland","t"
"'2757'",1,"t","f","France","t"
"'2765'",3,"t","t","Japan","t"
"'2773'",3,"t","t","Hong Kong SAR of China","t"
"'2774'",4,"t","f","Hong Kong SAR of China","t"
"'2822'",2,"t","t","Spain","t"
"'2825'",1,"f","f","Spain","t"
"'2826'",2,"t","t","Japan","t"
"'2835'",1,"t","f","Iceland","t"
"'2850'",2,"t","t","India","t"
"'2857'",2,"t","f","Indonesia","t"
"'2881'",3,"t","f","South Africa","t"
"'2896'",2,"t","t","South Africa","t"
"'2916'",1,"f","f","Austria","t"
"'2917'",2,"t","f","Netherlands","f"
"'2922'",2,"t","f","Iran","t"
"'2923'",3,"t","t","Iran","t"
"'2942'",3,"f","f","United Arab Emirates","t"
"'2951'",4,"f","f","United Kingdom","f"
"'2954'",1,"t","f","Israel","t"
"'2987'",2,"t","t","Japan","t"
"'2989'",3,"t","f","Japan","t"
"'2990'",3,"t","f","Japan","t"
"'2991'",2,"t","f","Serbia","t"
"'2993'",2,"t","f","Kuwait","t"
"'2994'",2,"t","f","Republic of Korea","t"
"'3000'",2,"t","f","India","t"
"'3021'",3,"t","f","Singapore","t"
"'3026'",1,"f","f","United Kingdom","t"
"'3029'",2,"t","f","United States","t"
"'3052'",2,"t","f","Australia","t"
"'3081'",2,"t","t","China","t"
"'3090'",4,"t","t","Netherlands","t"
"'3097'",2,"t","f","Afghanistan","t"
"'3098'",2,"t","t","Cambodia","f"
"'3123'",2,"t","f","United States","t"
"'3126'",2,"t","f","Kenya","t"
"'3148'",2,"t","f","Iran","t"
"'3163'",2,"t","f","Republic of Korea","t"
"'3179'",2,"t","f","Kuwait","t"
"'3197'",1,"f","f","Costa Rica","t"
"'3200'",2,"t","t","Chile","t"
"'3201'",2,"f","f","Argentina","t"
"'3210'",3,"t","t","Poland","t"
"'3213'",2,"f","f","Germany","t"
"'3233'",2,"t","t","Lao Peoples Democratic Republic","t"
"'3251'",4,"t","f","Antigua and Barbuda","t"
"'3258'",3,"t","t","Libya","t"
"'3287'",2,"f","f","Mozambique","t"
"'3290'",3,"t","t","Indonesia","t"
"'3320'",1,"f","f","Germany","t"
"'3329'",1,"t","f","Luxembourg","t"
"'3342'",1,"f","f","Argentina","t"
"'3354'",3,"t","t","Mongolia","t"
"'3370'",2,"t","f","Iran","t"
"'3378'",2,"t","t","Malaysia","t"
"'3386'",2,"f","f","Sweden","t"
"'3391'",2,"t","t","Indonesia","t"
"'3392'",2,"t","t","Taiwan","t"
"'3393'",1,"f","f","South Africa","t"
"'3432'",1,"t","f","Sweden","t"
"'3437'",3,"t","f","Belize","t"
"'3463'",1,"f","f","Italy","t"
"'3490'",3,"t","t","Lebanon","t"
"'3498'",3,"t","t","Egypt","t"
"'3534'",2,"t","t","Italy","t"
"'3539'",2,"t","t","Montenegro","t"
"'3545'",2,"t","t","Russia","t"
"'3547'",2,"f","f","Ukraine","t"
"'3574'",3,"f","f","Brazil","f"
"'3589'",1,"t","f","Eritrea","t"
"'3613'",2,"t","t","South Africa","t"
"'3618'",3,"t","f","Nauru","t"
"'3637'",2,"t","t","Nepal","t"
"'3652'",1,"f","f","Sweden","t"
"'3661'",1,"f","f","Austria","t"
"'3674'",2,"t","f","Thailand","t"
"'3721'",3,"t","f","Canada","t"
"'3734'",2,"t","f","Canada","t"
"'3737'",3,"t","f","Norway","t"
"'3740'",3,"t","f","Tunisia","t"
"'3754'",2,"t","f","Saudi Arabia","t"
"'3764'",1,"t","f","Brazil","t"
"'3776'",2,"t","t","Greece","t"
"'3778'",2,"t","f","Oman","t"
"'3781'",3,"t","f","United States","t"
"'3783'",2,"t","f","Russia","f"
"'3788'",2,"t","f","Turkey","t"
"'3805'",2,"t","t","Russia","t"
"'3811'",3,"t","t","Thailand","t"
"'3826'",2,"t","f","Nigeria","t"
"'3834'",2,"t","f","Spain","t"
"'3835'",2,"t","f","Thailand","t"
"'3850'",2,"f","f","Vietnam","t"
"'3856'",3,"t","f","Canada","t"
"'3857'",5,"t","t","Philippines","t"
"'3865'",2,"f","f","United States","t"
"'3871'",3,"t","t","Pakistan","t"
"'3926'",2,"t","t","Turkey","t"
"'3935'",2,"t","f","United States","t"
"'3952'",2,"t","t","Philippines","t"
"'3969'",3,"t","t","United States","t"
"'3976'",2,"t","t","United States","t"
"'4021'",2,"t","t","Canada","t"
"'4026'",2,"t","f","United States","t"
"'4031'",2,"t","f","Tanzania","t"
"'4044'",2,"t","t","United States","f"
"'4066'",3,"f","f","Zambia","t"
"'4089'",1,"f","f","Australia","t"
"'4091'",2,"t","f","Qatar","t"
"'4165'",2,"t","f","Kyrgyzstan","f"
"'4178'",2,"f","f","Australia","t"
"'4234'",2,"t","f","Cook Islands","t"
"'4248'",3,"t","f","Morocco","t"
"'4255'",3,"t","t","Brunei","t"
"'4259'",2,"f","f","Jordan","t"
"'4292'",2,"t","f","Rwanda","t"
"'4296'",1,"t","f","Ireland","t"
"'4304'",2,"f","f","Portugal","t"
"'4305'",3,"t","f","South Africa","t"
"'4311'",3,"t","f","Pakistan","t"
"'4319'",3,"t","t","Sweden","t"
"'4329'",2,"t","t","Russia","t"
"'4335'",2,"t","t","United States","t"
"'4349'",2,"t","t","Sri Lanka","t"
"'4356'",3,"t","t","United States","t"
"'4375'",1,"f","f","India","t"
"'4388'",2,"f","f","Japan","t"
"'4429'",3,"t","f","Portugal","t"
"'4435'",2,"t","t","Singapore","t"
"'4436'",1,"f","f","Russia","t"
"'4438'",2,"t","t","Ireland","t"
"'4454'",2,"t","f","Indonesia","t"
"'4475'",4,"t","t","Philippines","t"
"'4496'",2,"t","t","Canada","t"
"'4513'",4,"f","f","Argentina","t"
"'4521'",2,"t","f","Sudan","t"
"'4533'",3,"t","t","Saudi Arabia","t"
"'4547'",2,"t","t","United States","t"
"'4550'",3,"t","t","Argentina","t"
"'4559'",4,"t","f","Switzerland","t"
"'4573'",1,"f","f","Turkey","t"
"'4599'",2,"t","t","China","t"
"'4608'",2,"t","t","China","t"
"'4609'",2,"t","t","China","t"
"'4611'",2,"t","t","China","t"
"'4687'",2,"t","t","United States","t"
"'4691'",1,"f","f","Colombia","t"
"'4735'",3,"t","t","Venezuela","t"
"'4737'",2,"t","f","Chile","t"
"'4740'",2,"t","t","Japan","t"
"'4750'",1,"t","f","Singapore","t"
"'4752'",2,"t","f","Suriname","t"
"'4797'",2,"t","t","Solomon Islands","t"
"'4805'",3,"f","f","Russia","t"
"'4808'",2,"t","t","Kazakhstan","t"
"'4822'",2,"f","f","United States","t"
"'4840'",2,"t","f","Kazakhstan","t"
"'4863'",1,"f","f","Ecuador","t"
"'4867'",3,"t","t","Brazil","t"
"'4869'",2,"f","f","Portugal","t"
"'4870'",1,"t","f","Tunisia","t"
"'4897'",3,"t","t","United Kingdom","t"
"'4936'",2,"t","f","Singapore","t"
"'4937'",3,"t","f","Australia","t"
"'4940'",3,"t","f","Thailand","t"
"'4947'",2,"t","f","Thailand","t"
"'4951'",2,"t","t","Turkey","t"
"'4965'",2,"f","f","France","t"
"'5002'",2,"t","f","Aruba","t"
"'5013'",1,"f","f","United Kingdom","t"
"'5016'",2,"t","f","Belize","t"
"'5038'",2,"t","f","Taiwan","t"
"'5039'",2,"f","f","Netherlands","t"
"'5041'",1,"f","f","Portugal","t"
"'5067'",2,"t","t","Russia","t"
"'5083'",2,"t","t","Turkmenistan","t"
"'5085'",1,"f","f","Tunisia","t"
"'5097'",2,"f","f","Czech Republic","t"
"'5133'",3,"t","t","Angola","t"
"'5156'",2,"f","f","Paraguay","t"
"'5179'",1,"f","f","Romania","t"
"'5188'",3,"f","f","Brazil","t"
"'5209'",2,"t","t","United States","t"
"'5234'",2,"t","t","Russia","t"
"'5265'",2,"t","f","United States","t"
"'5281'",2,"t","f","Uzbekistan","t"
"'5282'",3,"t","t","Ukraine","t"
"'5297'",1,"t","f","Singapore","t"
"'5309'",2,"t","t","Vietnam","t"
"'5325'",1,"f","f","Mexico","t"
"'5331'",2,"f","f","United States","t"
"'5333'",2,"f","f","Belgium","t"
"'5347'",3,"t","f","United Kingdom","t"
"'5354'",2,"f","f","Brazil","t"
"'5360'",2,"f","f","Australia","t"
"'5368'",3,"f","f","Brazil","t"
"'5399'",3,"f","f","Brazil","t"
"'5416'",1,"f","f","Canada","t"
"'5439'",1,"f","f","Norway","t"
"'5461'",2,"t","f","Hungary","t"
"'5479'",3,"t","f","France","t"
"'5484'",2,"t","t","China","t"
"'5496'",1,"f","f","Yemen","t"
"'5521'",1,"f","f","Canada","f"
"'5523'",2,"t","t","Canada","t"
"'5651'",3,"t","f","Cambodia","t"
"'5813'",2,"t","f","Burma","t"
"'5982'",2,"t","f","Republic of Korea","t"
"'6557'",3,"t","f","Japan","t"
"'8359'",3,"f","f","Peru","t"
"'8463'",2,"t","f","Bangladesh","t"
"'8576'",1,"f","f","Kenya","t"
"'8745'",2,"f","f","France","t"
"'8809'",3,"t","f","United States","t"
"'9082'",2,"t","f","Taiwan","t"
"'9531'",2,"t","f","Tajikistan","t"
"'9541'",2,"t","f","Mozambique","t"
"'9620'",2,"t","t","Gabon","t"
"'9666'",2,"f","f","Fiji","t"
"'9764'",2,"t","f","Philippines","t"
"'9784'",2,"t","f","Burma","t"
"'9809'",2,"f","f","South Korea","t"
"'9810'",2,"t","f","South Korea","t"
"'9818'",3,"t","f","Morocco","t"
"'9828'",2,"f","f","Canada","t"
"'9829'",3,"t","f","Canada","t"
"'10121'",2,"t","f","United States","f"
"'10122'",2,"f","f","Austria","t"
"'10128'",2,"f","f","Israel","t"
"'10646'",2,"f","f","United Kingdom","f"
"'10650'",2,"t","t","Chile","t"
"'10675'",2,"t","t","Australia","t"
"'10737'",1,"f","f","Russia","t"
"'10739'",3,"t","f","United States","t"
"'10741'",2,"f","f","China","t"
"'10758'",2,"t","t","Afghanistan","t"
"'10765'",2,"t","t","United States","t"
"'10776'",2,"t","f","United States","t"
"'10800'",2,"t","t","Lithuania","t"
"'10912'",3,"f","f","United States","t"
"'10955'",1,"f","f","Mexico","t"
"'11741'",3,"t","f","Guadeloupe","t"
"'11763'",2,"t","t","Peru","t"
"'11794'",1,"t","f","Mauritius","t"
"'11806'",3,"f","f","Congo (Kinshasa)","t"
"'11808'",2,"f","f","Zambia","t"
"'11811'",3,"t","t","Egypt","t"
"'11814'",2,"t","t","Latvia","t"
"'11838'",2,"f","f","Niger","t"
"'11857'",2,"f","f","Jordan","t"
"'11948'",2,"f","f","Greece","t"
"'11963'",1,"f","f","Kazakhstan","t"
"'12978'",3,"t","f","China","t"
"'13088'",2,"t","t","Russia","t"
"'13108'",1,"f","f","Maldives","t"
"'13200'",3,"t","t","Japan","t"
"'13335'",2,"t","f","Germany","t"
"'13704'",1,"f","f","Greece","t"
"'13757'",3,"t","f","Ukraine","t"
"'13899'",4,"t","f","Cambodia","t"
"'13983'",1,"f","f","Brazil","t"
"'14061'",2,"t","t","Russia","t"
"'14118'",1,"f","f","Pakistan","t"
"'14485'",2,"f","f","United Arab Emirates","t"
"'14849'",2,"f","f","Italy","t"
"'15814'",1,"t","f","Russia","t"
"'15837'",1,"f","f","China","t"
"'15893'",2,"t","t","Russia","t"
"'15999'",2,"f","f","China","t"
"'16120'",2,"t","t","Russia","t"
"'16133'",2,"t","f","Nepal","t"
"'16136'",2,"t","t","Georgia","t"
"'16149'",3,"t","f","Netherlands Antilles","t"
"'16150'",2,"f","f","Brazil","t"
"'16262'",6,"f","f","Colombia","t"
"'16415'",1,"t","f","Cameroon","t"
"'16475'",4,"f","f","Turkey","f"
"'16508'",2,"t","t","American Samoa","t"
"'16615'",4,"t","f","Mongolia","t"
"'16624'",2,"t","t","South Korea","t"
"'16625'",4,"f","f","United States","t"
"'16660'",1,"f","f","Russia","t"
"'16707'",2,"t","f","South Korea","t"
"'16725'",2,"t","f","Russia","t"
"'16726'",2,"f","f","United States","t"
"'16844'",2,"t","f","British Virgin Islands","t"
"'16882'",3,"t","t","Russia","t"
"'16942'",3,"t","t","Mauritania","t"
"'16960'",3,"t","f","Burma","t"
"'16963'",3,"t","f","Egypt","t"
"'17023'",2,"f","f","Kazakhstan","t"
"'17083'",2,"t","f","Egypt","t"
"'17094'",2,"t","t","Senegal","t"
"'17095'",2,"f","f","Sierra Leone","t"
"'17099'",2,"t","t","Ghana","t"
"'17408'",1,"t","f","Thailand","t"
"'17519'",2,"t","t","United States","t"
"'17675'",2,"f","f","Japan","t"
"'17885'",3,"f","f","Mexico","t"
"'17891'",1,"f","f","Singapore","t"
"'18169'",2,"t","f","United States","t"
"'18232'",3,"f","f","Uruguay","t"
"'18529'",2,"t","f","United States","t"
"'18543'",2,"t","t","Switzerland","t"
"'18553'",2,"t","t","Netherlands","t"
"'18700'",3,"t","f","Russia","t"
"'18732'",2,"t","f","Malaysia","t"
"'18825'",2,"f","f","Tanzania","t"
"'18828'",1,"f","f","Russia","t"
"'18944'",4,"t","f","Netherlands Antilles","t"
"'18946'",1,"f","f","Colombia","t"
"'19016'",2,"t","f","United States","t"
"'19305'",2,"f","f","Indonesia","t"
"'19676'",3,"t","f","United States","t"
