"dairportid","dcity","dcountry","dlatitude","dlongitude","dtimezone","ddst"
"'147'","Repulse Bay","Canada",66.521389,-86.224722,1,"A"
"'148'","Hall Beach","Canada",68.776111,-81.243611,2,"A"
"'149'","Rouyn","Canada",48.206111,-78.835556,2,"A"
"'152'","Broughton Island","Canada",67.545833,-64.031389,2,"A"
"'153'","Val D'or","Canada",48.053333,-77.782778,2,"A"
"'154'","Quujjuaq","Canada",58.096111,-68.426944,2,"A"
"'155'","Norman Wells","Canada",65.281617,-126.798219,1,"A"
"'156'","Vancouver","Canada",49.193889,-123.184444,1,"A"
"'160'","Winnipeg","Canada",49.910036,-97.239886,1,"A"
"'161'","Wabush","Canada",52.921944,-66.864444,2,"A"
"'162'","Williams Lake","Canada",52.183056,-122.054167,1,"A"
"'164'","Cranbrook","Canada",49.612222,-115.781944,1,"A"
"'166'","Saskatoon","Canada",52.170834,-106.699722,1,"N"
"'167'","Medicine Hat","Canada",50.01889,-110.720833,1,"A"
"'168'","Fort Saint John","Canada",56.238056,-120.740278,1,"A"
"'169'","Sioux Lookout","Canada",50.113889,-91.905278,1,"A"
"'170'","Pangnirtung","Canada",66.145,-65.713611,2,"A"
"'172'","Prince George","Canada",53.889444,-122.678889,1,"A"
"'173'","Terrace","Canada",54.468508,-128.576219,1,"A"
"'174'","London","Canada",43.033056,-81.151111,2,"A"
"'175'","Abbotsford","Canada",49.025278,-122.360556,1,"A"
"'176'","Whitehorse","Canada",60.709553,-135.067269,1,"A"
"'177'","North Bay","Canada",46.363611,-79.422778,2,"A"
"'178'","Calgary","Canada",51.113888,-114.020278,1,"A"
"'179'","Smithers","Canada",54.824722,-127.182778,1,"A"
"'181'","Penticton","Canada",49.463056,-119.602222,1,"A"
"'182'","Charlottetown","Canada",46.290001,-63.121111,2,"A"
"'183'","Spence Bay","Canada",69.546667,-93.576667,1,"A"
"'184'","Victoria","Canada",48.646944,-123.425833,1,"A"
"'187'","Churchill","Canada",58.739167,-94.065,1,"A"
"'188'","Goose Bay","Canada",53.319168,-60.425833,2,"A"
"'189'","St. John's","Canada",47.61861,-52.751945,2,"A"
"'190'","Kapuskasing","Canada",49.413889,-82.4675,2,"A"
"'192'","Mont Joli","Canada",48.608612,-68.208056,2,"A"
"'193'","Toronto","Canada",43.677223,-79.630556,2,"A"
"'196'","Yellowknife","Canada",62.462778,-114.440278,1,"A"
"'198'","Sandspit","Canada",53.254333,-131.813833,1,"A"
"'199'","Sarnia","Canada",42.999444,-82.308889,2,"A"
"'200'","Port Hardy","Canada",50.680556,-127.366667,1,"A"
"'202'","Sept-iles","Canada",50.223333,-66.265556,2,"A"
"'209'","Bejaja","Algeria",36.711997,5.069922,3,"N"
"'210'","Algier","Algeria",36.691014,3.215408,3,"N"
"'211'","Djanet","Algeria",24.292767,9.452444,3,"N"
"'216'","Tamanrasset","Algeria",22.811461,5.451075,3,"N"
"'220'","Annaba","Algeria",36.822225,7.809167,3,"N"
"'221'","Constantine","Algeria",36.276028,6.620386,3,"N"
"'222'","Tebessa","Algeria",35.431611,8.120717,3,"N"
"'224'","Tilrempt","Algeria",32.930431,3.311542,3,"N"
"'225'","Tiaret","Algeria",35.341136,1.463147,3,"N"
"'230'","Tlemcen","Algeria",35.016667,-1.45,3,"N"
"'231'","Oran","Algeria",35.623858,-0.621183,3,"N"
"'233'","Ghriss","Algeria",35.207725,0.147142,3,"N"
"'234'","Adrar","Algeria",27.837589,-0.186414,3,"N"
"'235'","Biskra","Algeria",34.793289,5.738231,3,"N"
"'236'","El Golea","Algeria",30.571294,2.859586,3,"N"
"'237'","Ghardaia","Algeria",32.384106,3.794114,3,"N"
"'238'","Hassi Messaoud","Algeria",31.672972,6.140444,3,"N"
"'239'","In Salah","Algeria",27.251022,2.512017,3,"N"
"'240'","Touggourt","Algeria",33.067803,6.088672,3,"N"
"'243'","Ouargla","Algeria",31.917223,5.412778,3,"N"
"'244'","Zarzaitine","Algeria",28.05155,9.642911,3,"N"
"'245'","Cotonou","Benin",6.357228,2.384353,3,"N"
"'246'","Ouagadougou","Burkina Faso",12.353194,-1.512417,3,"N"
"'247'","Bobo-dioulasso","Burkina Faso",11.160056,-4.330969,3,"N"
"'248'","Accra","Ghana",5.605186,-0.166786,3,"N"
"'249'","Tamale","Ghana",9.557192,-0.863214,3,"N"
"'252'","Takoradi","Ghana",4.896056,-1.774756,3,"N"
"'253'","Abidjan","Cote d'Ivoire",5.261386,-3.926294,3,"N"
"'260'","Abuja","Nigeria",9.006792,7.263172,3,"N"
"'262'","Benin","Nigeria",6.316981,5.599503,3,"N"
"'263'","Calabar","Nigeria",4.976019,8.347197,3,"N"
"'264'","Enugu","Nigeria",6.474272,7.561961,3,"N"
"'266'","Ibadan","Nigeria",7.362458,3.978333,3,"N"
"'267'","Ilorin","Nigeria",8.440211,4.493919,3,"N"
"'268'","Jos","Nigeria",9.639828,8.86905,3,"N"
"'269'","Kaduna","Nigeria",10.696025,7.320114,3,"N"
"'270'","Kano","Nigeria",12.047589,8.524622,3,"N"
"'273'","Lagos","Nigeria",6.577369,3.321156,3,"N"
"'275'","Port Hartcourt","Nigeria",5.015494,6.949594,3,"N"
"'276'","Sokoto","Nigeria",12.916322,5.207189,3,"N"
"'277'","Yola","Nigeria",9.257553,12.430422,3,"N"
"'280'","Niamey","Niger",13.481547,2.183614,3,"N"
"'286'","Monastir","Tunisia",35.758056,10.754722,3,"E"
"'287'","Tunis","Tunisia",36.851033,10.227217,3,"E"
"'290'","Gafsa","Tunisia",34.422022,8.822503,3,"E"
"'291'","Gabes","Tunisia",33.876919,10.103333,3,"E"
"'293'","Djerba","Tunisia",33.875031,10.775461,3,"E"
"'295'","Sfax","Tunisia",34.717953,10.690972,3,"E"
"'296'","Tozeur","Tunisia",33.939722,8.110556,3,"E"
"'298'","Lome","Togo",6.165611,1.254511,3,"N"
"'299'","Antwerp","Belgium",51.189444,4.460278,3,"E"
"'302'","Brussels","Belgium",50.901389,4.484444,3,"E"
"'304'","Charleroi","Belgium",50.459197,4.453817,3,"E"
"'309'","Liege","Belgium",50.637417,5.443222,3,"E"
"'310'","Ostend","Belgium",51.198889,2.862222,3,"E"
"'337'","Berlin","Germany",52.380001,13.5225,3,"E"
"'338'","Dresden","Germany",51.132767,13.767161,3,"E"
"'339'","Erfurt","Germany",50.979811,10.958106,3,"E"
"'340'","Frankfurt","Germany",50.026421,8.543125,3,"E"
"'341'","Munster","Germany",52.134642,7.684831,3,"E"
"'342'","Hamburg","Germany",53.630389,9.988228,3,"E"
"'344'","Cologne","Germany",50.865917,7.142744,3,"E"
"'345'","Duesseldorf","Germany",51.289453,6.766775,3,"E"
"'346'","Munich","Germany",48.353783,11.786086,3,"E"
"'347'","Nuernberg","Germany",49.4987,11.066897,3,"E"
"'348'","Leipzig","Germany",51.432447,12.241633,3,"E"
"'349'","Saarbruecken","Germany",49.214553,7.109508,3,"E"
"'350'","Stuttgart","Germany",48.689878,9.221964,3,"E"
"'351'","Berlin","Germany",52.559686,13.287711,3,"E"
"'352'","Hannover","Germany",52.461056,9.685078,3,"E"
"'353'","Bremen","Germany",53.0475,8.786667,3,"E"
"'355'","Hahn","Germany",49.948672,7.263892,3,"E"
"'356'","Mannheim","Germany",49.472706,8.514264,3,"E"
"'362'","Hamburg","Germany",53.535886,9.837025,3,"E"
"'364'","Luebeck","Germany",53.805367,10.719222,3,"E"
"'371'","Paderborn","Germany",51.614089,8.616317,3,"E"
"'373'","Dortmund","Germany",51.518314,7.612242,3,"E"
"'374'","Augsburg","Germany",48.425158,10.931764,3,"E"
"'382'","Friedrichshafen","Germany",47.671317,9.511486,3,"E"
"'400'","Kassel","Germany",51.408394,9.377631,3,"E"
"'410'","Westerland","Germany",54.91325,8.340472,3,"E"
"'413'","Kuressaare","Estonia",58.229883,22.509494,4,"E"
"'415'","Tallinn-ulemiste International","Estonia",59.413317,24.832844,4,"E"
"'416'","Tartu","Estonia",58.307461,26.690428,4,"E"
"'421'","Helsinki","Finland",60.317222,24.963333,4,"E"
"'428'","Ivalo","Finland",68.607269,27.405328,4,"E"
"'429'","Joensuu","Finland",62.662906,29.60755,4,"E"
"'430'","Jyvaskyla","Finland",62.399453,25.678253,4,"E"
"'432'","Kemi","Finland",65.781889,24.5991,4,"E"
"'433'","Kajaani","Finland",64.285472,27.692414,4,"E"
"'435'","Kruunupyy","Finland",63.721172,23.143131,4,"E"
"'437'","Kuusamo","Finland",65.987575,29.239381,4,"E"
"'438'","Kittila","Finland",67.701022,24.84685,4,"E"
"'439'","Kuopio","Finland",63.00715,27.797756,4,"E"
"'441'","Lappeenranta","Finland",61.044553,28.144397,4,"E"
"'442'","Mariehamn","Finland",60.122203,19.898156,4,"E"
"'446'","Oulu","Finland",64.930061,25.354564,4,"E"
"'448'","Pori","Finland",61.461686,21.799983,4,"E"
"'453'","Rovaniemi","Finland",66.564822,25.830411,4,"E"
"'455'","Savonlinna","Finland",61.943064,28.945136,4,"E"
"'458'","Tampere","Finland",61.414147,23.604392,4,"E"
"'460'","Turku","Finland",60.514142,22.262808,4,"E"
"'462'","Vaasa","Finland",63.05065,21.762175,4,"E"
"'465'","Belfast","United Kingdom",54.6575,-6.215833,3,"E"
"'467'","Belfast","United Kingdom",54.618056,-5.8725,3,"E"
"'468'","Londonderry","United Kingdom",55.042778,-7.161111,3,"E"
"'469'","Birmingham","United Kingdom",52.453856,-1.748028,3,"E"
"'472'","Golouchestershire","United Kingdom",51.894167,-2.167222,3,"E"
"'478'","Manchester","United Kingdom",53.353744,-2.27495,3,"E"
"'481'","Newquai","United Kingdom",50.440558,-4.995408,3,"E"
"'488'","Cardiff","United Kingdom",51.396667,-3.343333,3,"E"
"'490'","Bristol","United Kingdom",51.382669,-2.719089,3,"E"
"'491'","Liverpool","United Kingdom",53.333611,-2.849722,3,"E"
"'492'","London","United Kingdom",51.874722,-0.368333,3,"E"
"'494'","Bournemouth","United Kingdom",50.78,-1.8425,3,"E"
"'495'","Southampton","United Kingdom",50.950261,-1.356803,3,"E"
"'497'","Alderney","Guernsey",49.706111,-2.214722,3,"E"
"'498'","Guernsey","Guernsey",49.434956,-2.601969,3,"E"
"'499'","Jersey","Jersey",49.207947,-2.195508,3,"E"
"'502'","London","United Kingdom",51.148056,-0.190278,3,"E"
"'503'","London","United Kingdom",51.505278,0.055278,3,"E"
"'507'","London","United Kingdom",51.4775,-0.461389,3,"E"
"'508'","Southend","United Kingdom",51.571389,0.695556,3,"E"
"'514'","Blackpool","United Kingdom",53.771667,-3.028611,3,"E"
"'515'","Humberside","United Kingdom",53.574444,-0.350833,3,"E"
"'517'","Leeds","United Kingdom",53.865897,-1.660569,3,"E"
"'519'","Hawarden","United Kingdom",53.178056,-2.977778,3,"E"
"'520'","Isle Of Man","Isle of Man",54.083333,-4.623889,3,"E"
"'521'","Newcastle","United Kingdom",55.0375,-1.691667,3,"E"
"'522'","Teesside","United Kingdom",54.509189,-1.429406,3,"E"
"'523'","East Midlands","United Kingdom",52.831111,-1.328056,3,"E"
"'529'","Kirkwall","United Kingdom",58.957778,-2.905,3,"E"
"'530'","Sumburgh","United Kingdom",59.878889,-1.295556,3,"E"
"'531'","Wick","United Kingdom",58.458889,-3.093056,3,"E"
"'532'","Aberdeen","United Kingdom",57.201944,-2.197778,3,"E"
"'533'","Inverness","United Kingdom",57.5425,-4.0475,3,"E"
"'534'","Glasgow","United Kingdom",55.871944,-4.433056,3,"E"
"'535'","Edinburgh","United Kingdom",55.95,-3.3725,3,"E"
"'536'","Islay","United Kingdom",55.681944,-6.256667,3,"E"
"'537'","Prestwick","United Kingdom",55.509444,-4.586667,3,"E"
"'538'","Benbecula","United Kingdom",57.481111,-7.362778,3,"E"
"'540'","Dundee","United Kingdom",56.452499,-3.025833,3,"E"
"'541'","Stornoway","United Kingdom",58.215556,-6.331111,3,"E"
"'542'","Tiree","United Kingdom",56.499167,-6.869167,3,"E"
"'547'","Norwich","United Kingdom",52.675833,1.282778,3,"E"
"'548'","London","United Kingdom",51.885,0.235,3,"E"
"'552'","Exeter","United Kingdom",50.734444,-3.413889,3,"E"
"'579'","Mount Pleasant","Falkland Islands",-51.822777,-58.447222,2,"U"
"'580'","Amsterdam","Netherlands",52.308613,4.763889,3,"E"
"'582'","Maastricht","Netherlands",50.911658,5.770144,3,"E"
"'585'","Eindhoven","Netherlands",51.450139,5.374528,3,"E"
"'586'","Groningen","Netherlands",53.11972,6.579444,3,"E"
"'591'","Rotterdam","Netherlands",51.956944,4.437222,3,"E"
"'596'","Cork","Ireland",51.841269,-8.491111,3,"E"
"'599'","Dublin","Ireland",53.421333,-6.270075,3,"E"
"'600'","Connaught","Ireland",53.910297,-8.818492,3,"E"
"'601'","Kerry","Ireland",52.180878,-9.523783,3,"E"
"'603'","Shannon","Ireland",52.701978,-8.924817,3,"E"
"'605'","Waterford","Ireland",52.1872,-7.086964,3,"E"
"'607'","Aarhus","Denmark",56.300017,10.619008,3,"E"
"'608'","Billund","Denmark",55.740322,9.151778,3,"E"
"'609'","Copenhagen","Denmark",55.617917,12.655972,3,"E"
"'610'","Esbjerg","Denmark",55.525942,8.553403,3,"E"
"'612'","Karup","Denmark",56.297458,9.124628,3,"E"
"'618'","Ronne","Denmark",55.063267,14.759558,3,"E"
"'619'","Soenderborg","Denmark",54.964367,9.791731,3,"E"
"'625'","Vagar","Faroe Islands",62.063628,-7.277219,3,"E"
"'628'","Aalborg","Denmark",57.092789,9.849164,3,"E"
"'629'","Luxemburg","Luxembourg",49.626575,6.211517,3,"E"
"'630'","Alesund","Norway",62.560372,6.110164,3,"E"
"'631'","Andoya","Norway",69.2925,16.144167,3,"E"
"'632'","Alta","Norway",69.976111,23.371667,3,"E"
"'634'","Bronnoysund","Norway",65.461111,12.2175,3,"E"
"'635'","Bodo","Norway",67.269167,14.365278,3,"E"
"'636'","Bergen","Norway",60.293386,5.218142,3,"E"
"'637'","Batsfjord","Norway",70.600278,29.6925,3,"E"
"'638'","Kristiansand","Norway",58.204214,8.085369,3,"E"
"'640'","Bardufoss","Norway",69.055758,18.540356,3,"E"
"'641'","Harstad/Narvik","Norway",68.4913,16.678108,3,"E"
"'642'","Fagernes","Norway",61.015556,9.288056,3,"E"
"'643'","Floro","Norway",61.583611,5.024722,3,"E"
"'644'","Oslo","Norway",60.193917,11.100361,3,"E"
"'645'","Haugesund","Norway",59.345267,5.208364,3,"E"
"'646'","Hasvik","Norway",70.486675,22.139744,3,"E"
"'647'","Kristiansund","Norway",63.111781,7.824522,3,"E"
"'649'","Kirkenes","Norway",69.725781,29.891295,3,"E"
"'651'","Molde","Norway",62.744722,7.2625,3,"E"
"'652'","Mosjoen","Norway",65.783997,13.214914,3,"E"
"'653'","Lakselv","Norway",70.068814,24.973489,3,"E"
"'655'","Orland","Norway",63.698908,9.604003,3,"E"
"'656'","Roros","Norway",62.578411,11.342347,3,"E"
"'657'","Rygge","Norway",59.378933,10.785389,3,"E"
"'658'","Svalbard","Norway",78.246111,15.465556,3,"E"
"'659'","Skien","Norway",59.185,9.566944,3,"E"
"'660'","Stord","Norway",59.791925,5.34085,3,"E"
"'662'","Sandnessjoen","Norway",65.956828,12.468944,3,"E"
"'663'","Tromso","Norway",69.683333,18.918919,3,"E"
"'664'","Sandefjord","Norway",59.186703,10.258628,3,"E"
"'665'","Trondheim","Norway",63.457556,10.92425,3,"E"
"'666'","Stavanger","Norway",58.876778,5.637856,3,"E"
"'668'","Gdansk","Poland",54.377569,18.466222,3,"E"
"'669'","Krakow","Poland",50.077731,19.784836,3,"E"
"'671'","Katowice","Poland",50.474253,19.080019,3,"E"
"'674'","Poznan","Poland",52.421031,16.826325,3,"E"
"'675'","Rzeszow","Poland",50.109958,22.019,3,"E"
"'676'","Szczecin","Poland",53.584731,14.902206,3,"E"
"'679'","Warsaw","Poland",52.16575,20.967122,3,"E"
"'680'","Wroclaw","Poland",51.102683,16.885836,3,"E"
"'685'","Ronneby","Sweden",56.266667,15.265,3,"E"
"'687'","Gothenborg","Sweden",57.662836,12.279819,3,"E"
"'688'","Joenkoeping","Sweden",57.757594,14.068731,3,"E"
"'691'","Gothenborg","Sweden",57.774722,11.870372,3,"E"
"'693'","Trollhattan","Sweden",58.318056,12.345,3,"E"
"'698'","Mora","Sweden",60.957908,14.511383,3,"E"
"'699'","Stockholm","Sweden",58.788636,16.912189,3,"E"
"'703'","Kristianstad","Sweden",55.921686,14.085536,3,"E"
"'707'","Kalkmar","Sweden",56.685531,16.287578,3,"E"
"'708'","Malmoe","Sweden",55.530193,13.371639,3,"E"
"'709'","Halmstad","Sweden",56.691128,12.820211,3,"E"
"'711'","Vaxjo","Sweden",56.929144,14.727994,3,"E"
"'714'","Sveg","Sweden",62.047811,14.42295,3,"E"
"'715'","Gallivare","Sweden",67.132408,20.814636,3,"E"
"'718'","Kramfors","Sweden",63.048597,17.768856,3,"E"
"'719'","Lycksele","Sweden",64.548322,18.716219,3,"E"
"'721'","Sundsvall","Sweden",62.528125,17.443928,3,"E"
"'722'","Ornskoldsvik","Sweden",63.408339,18.990039,3,"E"
"'724'","Kiruna","Sweden",67.821986,20.336764,3,"E"
"'726'","Skelleftea","Sweden",64.624772,21.076892,3,"E"
"'728'","Umea","Sweden",63.791828,20.282758,3,"E"
"'729'","Vilhelmina","Sweden",64.579083,16.833575,3,"E"
"'730'","Arvidsjaur","Sweden",65.590278,19.281944,3,"E"
"'733'","Vasteras","Sweden",59.589444,16.633611,3,"E"
"'734'","Lulea","Sweden",65.543758,22.121989,3,"E"
"'737'","Stockholm","Sweden",59.651944,17.918611,3,"E"
"'738'","Stockholm","Sweden",59.354372,17.94165,3,"E"
"'742'","Linkoeping","Sweden",58.40615,15.680508,3,"E"
"'743'","Norrkoeping","Sweden",58.586253,16.250622,3,"E"
"'746'","Visby","Sweden",57.662797,18.346211,3,"E"
"'772'","Laage","Germany",53.918167,12.278333,3,"E"
"'794'","Bloemfontein","South Africa",-29.092722,26.302444,4,"U"
"'797'","Cape Town","South Africa",-33.964806,18.601667,4,"U"
"'799'","Durban","South Africa",-29.970089,30.950519,4,"U"
"'800'","East London","South Africa",-33.035569,27.825939,4,"U"
"'804'","George","South Africa",-34.005553,22.378889,4,"U"
"'811'","Hoedspruit","South Africa",-24.368642,31.048744,4,"U"
"'813'","Johannesburg","South Africa",-26.139166,28.246,4,"U"
"'815'","Kimberley","South Africa",-28.802834,24.765167,4,"U"
"'820'","Johannesburg","South Africa",-25.938514,27.926133,4,"U"
"'827'","Margate","South Africa",-30.857408,30.343019,4,"U"
"'838'","Port Elizabeth","South Africa",-33.984919,25.617275,4,"U"
"'840'","Phalaborwa","South Africa",-23.937166,31.15539,4,"U"
"'841'","Polokwane","South Africa",-23.926089,29.484422,4,"U"
"'843'","Pietermaritzburg","South Africa",-29.648975,30.398667,4,"U"
"'849'","Richard's Bay","South Africa",-28.741039,32.092111,4,"U"
"'865'","Upington","South Africa",-28.399097,21.260239,4,"U"
"'866'","Umtata","South Africa",-31.547903,28.674289,4,"U"
"'877'","Francistown","Botswana",-21.159597,27.474525,4,"U"
"'879'","Kasane","Botswana",-17.832875,25.1624,4,"U"
"'880'","Maun","Botswana",-19.972564,23.431086,4,"U"
"'881'","Gaberone","Botswana",-24.555225,25.918208,4,"U"
"'883'","Brazzaville","Congo (Brazzaville)",-4.2517,15.253031,3,"N"
"'886'","Pointe-noire","Congo (Brazzaville)",-4.816028,11.886597,3,"N"
"'887'","Manzini","Swaziland",-26.529022,31.307519,4,"U"
"'888'","Bangui","Central African Republic",4.398475,18.518786,3,"N"
"'890'","Bata","Equatorial Guinea",1.905469,9.805681,3,"N"
"'891'","Malabo","Equatorial Guinea",3.755267,8.708717,3,"N"
"'893'","Plaisance","Mauritius",-20.430235,57.6836,4,"N"
"'894'","Rodriguez Island","Mauritius",-19.757658,63.360983,4,"N"
"'897'","Douala","Cameroon",4.006081,9.719481,3,"N"
"'898'","Maroua","Cameroon",10.451392,14.257361,3,"N"
"'900'","N'gaoundere","Cameroon",7.357011,13.559242,3,"N"
"'901'","Garoua","Cameroon",9.335892,13.370103,3,"N"
"'906'","Livingstone","Zambia",-17.821756,25.822692,4,"U"
"'907'","Lusaka","Zambia",-15.330817,28.452628,4,"U"
"'908'","Mfuwe","Zambia",-13.258878,31.936581,4,"U"
"'910'","Ndola","Zambia",-12.998139,28.664944,4,"U"
"'912'","Moroni","Comoros",-11.533661,43.27185,4,"U"
"'915'","Dzaoudzi","Mayotte",-12.804722,45.281113,4,"U"
"'916'","St.-denis","Reunion",-20.8871,55.510308,4,"U"
"'917'","St.-pierre","Reunion",-21.320039,55.423581,4,"U"
"'918'","Antananarivo","Madagascar",-18.79695,47.478806,4,"U"
"'920'","Sainte Marie","Madagascar",-17.093889,49.815834,4,"U"
"'921'","Toamasina","Madagascar",-18.109517,49.392536,4,"U"
"'922'","Morondava","Madagascar",-20.28475,44.317614,4,"U"
"'923'","Antsiranana","Madagascar",-12.3494,49.291747,4,"U"
"'924'","Mananara","Madagascar",-16.1639,49.773753,4,"U"
"'927'","Antalaha","Madagascar",-14.999411,50.320233,4,"U"
"'929'","Mahajanga","Madagascar",-15.667144,46.351828,4,"U"
"'930'","Nosy-be","Madagascar",-13.312067,48.314822,4,"U"
"'932'","Maroantsetra","Madagascar",-15.436666,49.688332,4,"U"
"'933'","Sambava","Madagascar",-14.278611,50.174721,4,"U"
"'937'","Tolagnaro","Madagascar",-25.038056,46.956111,4,"U"
"'943'","Toliara","Madagascar",-23.383369,43.728453,4,"U"
"'944'","M'banza-congo","Angola",-6.269897,14.247025,3,"N"
"'946'","Cabinda","Angola",-5.596992,12.188353,3,"N"
"'948'","Huambo","Angola",-12.808878,15.760547,3,"N"
"'949'","Kuito","Angola",-12.404633,16.947414,3,"N"
"'951'","Luanda","Angola",-8.858375,13.231178,3,"N"
"'952'","Malanje","Angola",-9.525086,16.312406,3,"N"
"'953'","Menongue","Angola",-14.657583,17.719833,3,"N"
"'957'","Saurimo","Angola",-9.689067,20.431875,3,"N"
"'958'","Soyo","Angola",-6.141086,12.371764,3,"N"
"'959'","Lubango","Angola",-14.924733,13.575022,3,"N"
"'960'","Luena","Angola",-11.768086,19.897672,3,"N"
"'967'","Port Gentil","Gabon",-0.711739,8.754383,3,"N"
"'970'","Libreville","Gabon",0.4586,9.412283,3,"N"
"'973'","Sao Tome","Sao Tome and Principe",0.378175,6.712153,3,"N"
"'974'","Beira","Mozambique",-19.796419,34.907556,4,"U"
"'976'","Inhambane","Mozambique",-23.876431,35.408544,4,"U"
"'977'","Lichinga","Mozambique",-13.273986,35.266262,4,"U"
