"movieid","namewords","namepar","year","action","adventure","animation","children.s","comedy","crime","documentary","drama","fantasy","film.noir","horror","musical","mystery","romance","sci.fi","thriller","war","western"
"'34'",1,"f","'1995'","f","f","f","t","t","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'35'",1,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'36'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'37'",5,"f","'1995'","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f"
"'38'",3,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'39'",1,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'40'",4,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'41'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f"
"'42'",2,"f","'1995'","t","f","f","f","f","t","f","t","f","f","f","f","f","f","f","f","f","f"
"'43'",1,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'44'",2,"f","'1995'","t","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'45'",3,"f","'1995'","f","f","f","f","t","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'46'",6,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'47'",2,"t","'1995'","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","f","f"
"'48'",1,"f","'1995'","f","f","t","t","f","f","f","f","f","f","f","t","f","t","f","f","f","f"
"'49'",4,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'50'",3,"f","'1995'","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","f","f"
"'52'",2,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'53'",1,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'54'",3,"f","'1995'","f","f","f","t","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'55'",1,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'56'",5,"f","'1995'","f","t","f","t","f","f","f","f","t","f","f","f","f","f","f","f","f","f"
"'57'",4,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'58'",4,"t","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'59'",4,"t","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","t","f","f","f","f","f"
"'60'",5,"f","'1995'","f","t","f","t","f","f","f","f","t","f","f","f","f","f","f","f","f","f"
"'61'",4,"f","'1996'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","f","f"
"'62'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'63'",14,"f","'1996'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'64'",4,"f","'1996'","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'65'",1,"f","'1996'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'66'",5,"f","'1996'","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","f","f"
"'67'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'68'",4,"t","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'69'",1,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'70'",4,"f","'1996'","t","f","f","f","t","t","f","f","f","f","t","f","f","f","f","t","f","f"
"'71'",2,"f","'1995'","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'72'",3,"f","'1995'","f","f","f","f","t","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'73'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","t","f","f","f","f","f","f"
"'74'",3,"f","'1996'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'75'",2,"f","'1996'","f","f","f","f","t","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'76'",1,"f","'1995'","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","f","f"
"'77'",2,"f","'1995'","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f"
"'78'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'79'",2,"f","'1996'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","f","f"
"'80'",6,"t","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'81'",8,"f","'1995'","f","f","f","f","f","t","f","t","f","f","f","f","f","t","f","f","f","f"
"'82'",3,"t","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'83'",8,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'84'",5,"f","'1995'","f","f","f","f","t","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'85'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'86'",2,"f","'1996'","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'87'",3,"f","'1996'","f","f","f","t","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'88'",2,"f","'1996'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'89'",3,"f","'1995'","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f"
"'90'",5,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'92'",2,"f","'1996'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","f","f"
"'93'",3,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'94'",2,"f","'1996'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'95'",2,"f","'1996'","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f"
"'96'",4,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'97'",3,"t","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'98'",1,"f","'1994'","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f"
"'99'",4,"f","'1995'","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f"
"'100'",2,"f","'1996'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","f","f"
"'101'",2,"f","'1996'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'102'",2,"f","'1996'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'103'",1,"f","'1996'","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f"
"'104'",2,"f","'1996'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'105'",5,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'106'",6,"t","'1994'","f","f","f","f","t","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'107'",3,"f","'1996'","f","t","f","t","t","f","f","f","f","f","f","t","f","f","f","f","f","f"
"'108'",1,"f","'1995'","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f"
"'110'",1,"f","'1995'","t","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f"
"'111'",2,"f","'1976'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","f","f"
"'112'",4,"f","'1995'","t","t","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f"
"'113'",3,"f","'1996'","f","f","f","f","f","f","f","t","f","f","f","f","t","f","f","f","f","f"
"'114'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'116'",3,"f","'1995'","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f"
"'117'",4,"f","'1995'","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f"
"'118'",3,"f","'1996'","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'119'",4,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'120'",3,"f","'1996'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'121'",5,"f","'1993'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'122'",1,"f","'1992'","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'123'",2,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","t","t","f","f","f","f"
"'124'",7,"t","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'125'",3,"f","'1996'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'126'",4,"f","'1994'","f","t","f","t","f","f","f","f","t","f","f","f","f","f","f","f","f","f"
"'127'",8,"t","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'128'",2,"f","'1994'","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f"
"'129'",4,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'130'",1,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'131'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'132'",1,"f","'1995'","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f"
"'133'",2,"f","'1995'","f","f","f","f","t","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'134'",2,"f","'1995'","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f"
"'135'",2,"f","'1996'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'136'",6,"f","'1995'","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f"
"'137'",4,"f","'1995'","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f"
"'138'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'139'",1,"f","'1995'","t","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'140'",4,"f","'1996'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'141'",2,"f","'1996'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'142'",2,"t","'1988'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'144'",3,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'145'",2,"f","'1995'","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'146'",4,"f","'1995'","f","t","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'147'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'148'",4,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'149'",1,"f","'1994'","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","t","f","f"
"'150'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'151'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","t","f"
"'152'",2,"f","'1995'","f","f","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f"
"'153'",2,"f","'1995'","t","t","f","f","t","t","f","f","f","f","f","f","f","f","f","f","f","f"
"'154'",3,"f","'1967'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'155'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f"
"'156'",4,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'157'",2,"f","'1994'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","t","f"
"'158'",1,"f","'1995'","f","t","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'159'",1,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'160'",1,"f","'1995'","t","t","f","f","f","f","f","f","f","f","f","f","t","f","t","f","f","f"
"'161'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","t","f"
"'162'",1,"f","'1994'","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f"
"'163'",1,"f","'1995'","t","f","f","f","f","f","f","f","f","f","f","f","f","t","f","t","f","f"
"'164'",5,"f","'1995'","f","f","f","f","f","t","f","f","f","t","f","f","t","f","f","t","f","f"
"'165'",5,"f","'1995'","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f"
"'166'",3,"f","'1995'","f","f","f","f","t","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'167'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'168'",2,"f","'1995'","t","t","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'169'",6,"f","'1995'","f","t","f","t","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'170'",1,"f","'1995'","t","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","f","f"
"'171'",1,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'172'",2,"f","'1995'","t","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","f","f"
"'173'",2,"f","'1995'","t","t","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f","f"
"'174'",2,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'175'",1,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'176'",3,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'177'",3,"f","'1995'","f","f","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f"
"'178'",4,"f","'1993'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'179'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'180'",1,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'181'",6,"f","'1995'","t","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'182'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'183'",2,"f","'1994'","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f"
"'184'",1,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'185'",2,"f","'1995'","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","f","f"
"'186'",2,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'187'",2,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'188'",2,"f","'1995'","f","f","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f"
"'189'",1,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'190'",1,"f","'1995'","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f"
"'191'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'192'",2,"f","'1995'","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f"
"'193'",1,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'194'",1,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'195'",4,"f","'1995'","f","f","f","f","t","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'196'",1,"f","'1995'","f","f","f","f","f","f","f","f","f","f","t","f","f","f","t","f","f","f"
"'197'",5,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'198'",2,"f","'1995'","t","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f"
"'199'",8,"t","'1964'","f","f","f","f","f","f","f","t","f","f","f","t","f","f","f","f","f","f"
"'200'",4,"f","'1995'","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f"
"'201'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'202'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'203'",8,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'204'",5,"f","'1995'","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'205'",2,"f","'1995'","f","f","f","f","t","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'206'",1,"f","'1995'","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f"
"'207'",5,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'208'",1,"f","'1995'","t","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'209'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'210'",2,"f","'1995'","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t"
"'211'",3,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'212'",1,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'213'",6,"t","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'214'",5,"t","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'215'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'216'",2,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'217'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","f","f"
"'218'",4,"f","'1995'","f","f","f","f","t","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'219'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'220'",2,"f","'1995'","f","f","f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f"
"'222'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'223'",1,"f","'1994'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'224'",3,"f","'1995'","f","f","f","f","t","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'225'",1,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","f","f"
"'226'",2,"f","'1995'","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f"
"'227'",2,"f","'1994'","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'228'",5,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'229'",4,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","f","f"
"'230'",2,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","f","f"
"'231'",3,"f","'1994'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'232'",4,"f","'1994'","f","f","f","f","t","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'233'",1,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'234'",3,"f","'1994'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'235'",2,"f","'1994'","f","f","f","f","t","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'236'",2,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'237'",2,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'238'",8,"f","'1995'","f","t","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'239'",3,"f","'1995'","f","f","t","t","t","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'240'",1,"f","'1995'","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f"
"'241'",1,"f","'1995'","f","f","f","t","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'242'",3,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","t","f","f","f","f","f","f"
"'243'",1,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'244'",3,"f","'1995'","f","f","t","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'245'",3,"f","'1994'","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","f","f","f"
"'246'",2,"f","'1994'","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f"
"'247'",2,"f","'1994'","f","f","f","f","f","f","f","t","t","f","f","f","f","t","f","t","f","f"
"'248'",1,"f","'1994'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'249'",2,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'250'",1,"f","'1994'","f","f","f","t","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'251'",2,"f","'1995'","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'252'",1,"f","'1994'","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'253'",4,"f","'1994'","f","f","f","f","f","f","f","t","f","f","t","f","f","f","f","f","f","f"
"'254'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'255'",3,"f","'1994'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'256'",1,"f","'1994'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","f","f","f"
"'257'",2,"f","'1995'","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f","t","f","f"
"'258'",6,"f","'1995'","f","t","f","t","t","f","f","f","t","f","f","f","f","t","f","f","f","f"
"'259'",3,"f","'1995'","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","t","f","f"
"'260'",8,"f","'1977'","t","t","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f"
"'261'",2,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'262'",3,"f","'1995'","f","f","f","t","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'263'",2,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'264'",2,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'265'",8,"t","'1992'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'266'",4,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","t","t"
"'267'",2,"f","'1994'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'268'",2,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'269'",6,"t","'1993'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'270'",2,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'271'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'272'",5,"f","'1994'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
