"userid","ureviewcnt","ustars","vuseful","vfunny","vcool","gender"
"_3CWDp8DsuG6cZ9ihxcgTw",4,5,4,1,1,"F"
"_3e9UDDby7sExouRX_d4Fg",3,4.5,0,0,0,"M"
"_3EgAzFn-sK8nJRmWtnEeQ",55,3.6,42,20,12,"F"
"_3KEZG4L2T8G9oJVkRMHEg",32,3.53,20,7,3,"F"
"_3QWAaheHYOX-WFX_2VbhQ",11,4,13,3,0,"M"
"_3WpyjQ7iNaF-RTJfsQ4jA",2,5,2,0,0,"M"
"_4GKfTktcFobMsJwQ6YxHQ",10,4.44,3,0,3,"M"
"_4igKq8-obv1_sZhgFX_qA",73,3.99,78,21,21,"M"
"_4iPnnJMGYdtnnc2U0Z7AA",5,2.8,5,1,0,"M"
"_4lqpCYCqOQzbB6xQGGhrQ",229,3.79,252,80,81,"F"
"_4NQSG70ymRddiUYjsUogw",1,4,1,0,1,"M"
"_4RSBo8Lo_Bv83JcpugyMg",1,5,2,0,1,"F"
"_4Tr9rUG25vgYorcyqUn6g",1,3,0,0,1,"F"
"_4umSy_VSD8-a5zy-Ebhlw",58,3.81,39,8,5,"F"
"_4vrShcrLqy-e7Otiqm2FQ",5,5,2,0,0,"F"
"_4VSiJDR3z7lCF3Mv8MgbQ",14,4.21,23,2,7,"M"
"_4z1jVLsgmr8mYjnFxxJEQ",85,3.76,83,14,37,"F"
"_5_2_XVx1PEptlXb7Y2bJw",10,4,1,1,0,"M"
"_5bJpULon4g1Oa_NtzFZRw",7,4.14,5,2,4,"M"
"_5DehTLyFIH5kQv18Iv_qA",365,3.48,757,123,303,"F"
"_5EJuVF8Cz5Qn2d4DnbC0A",33,4.15,60,15,32,"M"
"_5Hz75GVUik1-lw8S1OEbg",17,3.41,4,0,1,"M"
"_5JSb6VWA3qmxoDKWFFPxQ",21,4.14,18,4,5,"M"
"_5l2Tlt-LP3Smkka0ZzDZg",4,3,2,0,1,"M"
"_5TjN8lnIu_8dLO4FxXmQw",46,3.41,96,197,63,"M"
"_5Xbe23yDhtR0D_q3yJqwA",7,3.71,18,3,16,"F"
"_5YAPrghOEtT7a1d3ooQyg",10,4.7,16,5,6,"F"
"_6fYHMGpjahfG-r6UanCTg",17,3.8,14,7,1,"F"
"_6HunH7OFmUsNRCfr8oWKQ",131,3.1,336,176,143,"F"
"_6icaHXzsq9z9c83mZMzkg",12,4.17,12,4,7,"M"
"_6NI9_kujXCUEiwrnDI53g",28,3.68,96,49,45,"F"
"_6seymnSl8rS-pw801ENAg",11,3.36,11,1,1,"F"
"_7-FbsBkgouQmJQHUw7U0w",44,3.66,81,38,26,"M"
"_7aj1m9cW2k_Bd7uyTLpPg",12,4.67,10,2,3,"F"
"_7el1cOgnfkNfmZKi277bQ",149,3.62,645,446,474,"M"
"_7EoK1dPo1Q7XlR-cS_bhA",37,4.14,21,4,13,"F"
"_7g-JeyECfjbNTxWAn_97g",2,5,0,0,0,"F"
"_7g0K2fDeQmIxnxOd93LCQ",14,3.29,4,4,2,"M"
"_7NWTyNa1mNloaPBmrl-Xg",3,1,0,0,0,"F"
"_7QOC4oFtzx7j7B-TrVJJw",69,3.8,28,7,8,"M"
"_7WrYlsMWPqK4bOfarhRjw",13,3.25,2,1,0,"F"
"_82TcFsa-3NjW9s3LAJA6A",57,3.96,27,6,6,"F"
"_832qYLHSRYt5HTTop-Dyg",3,5,6,1,2,"M"
"_87ULwGqhTssgXV8U7J6qg",1,4,1,0,1,"M"
"_8BmEheMlHv5FBXN_CVSWw",6,4.8,1,0,0,"F"
"_8eGLKjVpGK_mxwM8mlOgA",25,3.96,11,4,2,"F"
"_8g3cUenVmEKb25NIsmG3Q",55,2.96,40,27,12,"F"
"_8hDtwMhdGtkmuhQWFsG1g",2,5,1,0,0,"F"
"_8jEwH_N-hUXIG6X11H2VQ",4,4.67,0,0,0,"F"
"_8KAa1lhcX0JEmDqvODwFg",40,3.42,32,11,10,"M"
"_8o_CVDQNWx3QluULdaTdQ",21,3.62,38,4,6,"M"
"_8ODJpxxVHAKrkZ8lh766w",10,4.2,17,2,3,"F"
"_8PFw-krrj97F9r_zCiI2g",1,1,1,0,0,"M"
"_8PODHvVfNgbC08X0MnnDw",5,4.2,2,0,1,"F"
"_8u1TZwjpp3Gq3ME3O9l7g",1,1,0,0,0,"F"
"_8WRSGHw6lHgchVK3Apqgg",7,4,16,8,12,"M"
"_8yjM6Z53OAaOgHOJbWg4A",4,4,2,0,1,"F"
"_96xKqt3inhNw55R_eLZgA",3,4,4,3,3,"M"
"_977TriQp2lqEBv89FuNSA",12,3.82,6,1,11,"F"
"_9e363BqgWI3EWHLHLZPjQ",2,3,1,1,0,"F"
"_9GXoHhdxc30ujPaQwh6Ew",2,1,1,0,0,"F"
"_9hdNr2ZLIkF5P-pMT8TOQ",17,3.76,13,2,5,"M"
"_9JLuIB0QtpGxNwAW2uWsA",6,3.6,4,2,1,"M"
"_9ky52n1V2lnemIqG41BSw",1,5,0,0,0,"M"
"_9RmR5IYga72_RhM__f0vg",1,5,0,1,0,"M"
"_9rRTBV6I_ibRi6ZPVHaGg",1,4,0,0,0,"M"
"_9t3EWCM8eMd9lGdV6M8lA",5,3.25,6,1,0,"F"
"_9vdIrQBlv6clAEC9xQr9w",2,5,3,0,1,"F"
"_9WdLStCJUKWiQhyCzckoA",58,4.07,13,14,3,"M"
"_9xsTMY5Ws_v-0rZWv51ig",14,3.86,23,15,13,"M"
"_9ZMEO9zntJGeaLWnocN9A",6,4.33,3,0,0,"F"
"_A_Ws2OV91iYqdVIsp6FJg",17,3.75,10,2,3,"F"
"_a3V74fX1wfOu0WuAlhOiw",3,4,3,0,0,"F"
"_A6Cq2day7XFnw_h8F7nVw",3,3.33,1,0,0,"M"
"_A8kGzGF2zPiMUHy0WTrlg",8,4.5,1,1,1,"M"
"_AAn4NqCmtYuEzxl4BFMQA",39,4.13,35,8,14,"M"
"_abno-k9sm9JYzwPL9O8xQ",3,4.5,1,0,1,"M"
"_AcWJc5AZGKHwrhC_KoBTQ",28,3.46,24,16,8,"M"
"_agQJoobAyfYtMUn78NdtQ",19,3.56,3,0,2,"M"
"_aguQTUp7kMlWhWr2mojdA",90,3.92,73,39,32,"M"
"_AK2GvFhdZc9EYa6O3KvIQ",10,4,9,2,2,"F"
"_AmdPmOiR00XdTx_BIDMFA",6,4.2,0,0,0,"M"
"_aO12c-vOGiHNXVMcauNMQ",6,4.2,4,1,3,"F"
"_ap0yLhRPAHwEeHAMFSYmw",142,3.62,367,384,269,"F"
"_aQe1Fbs61ZAj4IZ_hCvNA",14,2.93,27,7,5,"M"
"_At5LBuJ6IlS5fg_aG8Uog",3,1,6,0,0,"F"
"_AuFTKgNYxqNFPyZMeA0qA",5,3,3,0,0,"M"
"_AWfSy-ny0zaoRxfQS_sIg",85,3.79,40,11,9,"F"
"_AX_2dFQCPEhSJzvgLJoHA",43,3.56,30,8,6,"M"
"_AYoRz8NCNWNL1jbNoFn4w",215,3.38,182,73,82,"F"
"_azAyKXQJ-porpjss_pdUg",2,5,1,0,0,"M"
"_aztBhcgW3xZ2rBa4j5HPg",3,5,1,0,1,"F"
"_b68RipnzLZ0gTtFh5ytzg",1,4,1,1,1,"F"
"_B72jclLvVoWqMuGmqZuhg",2,3.5,2,1,1,"F"
"_BByjGKiNfWTMJH1RmpA5A",3,5,1,1,1,"F"
"_BcyuDANZtPA81G4Ik268Q",1,5,1,0,0,"F"
"_BELHUOGGQ4aMkLmejRuJw",1,5,2,0,0,"F"
"_bHzW18Vg1gxTMoR1fFZhA",24,3.12,3,1,0,"M"
"_BixD7yelciWJchKldbKkQ",5,4.2,15,0,0,"M"
"_bjMq-i-2Us4iVk6LPuOtw",356,3.06,309,207,188,"M"
"_bK_V0adFVpP6CLAZU9R5w",4,3.5,4,0,0,"M"
"_BKj75fmYYJOHDYNshFW6Q",3,5,4,0,3,"M"
"_BkXqXMCn1Wu2Bv7PgvVdQ",62,3.76,75,25,35,"F"
"_boBQx1hhICx8y4GWnivLA",177,3.17,431,125,83,"M"
"_BOToivFIF4EYRZIJsWNuw",3,4.33,3,2,2,"F"
"_bqNPtKwnF6MRhEWodtiDg",13,3.92,3,1,1,"M"
"_btf1u6_jezUoy-H1nChew",6,4.4,3,0,0,"F"
"_Buiwg0B4WoFVuEltabuSQ",312,3.34,1176,703,912,"M"
"_bwau2ACSfrUCG_KC2R9DQ",1,4,0,0,0,"F"
"_bWDSCfpMSeg9MG6FCSkCA",1,4,0,0,0,"F"
"_bX5znziYf1uBBYuxiHKfQ",287,3.74,582,161,498,"F"
"_bxCv9-IV7uLMF-fKYJEOg",8,4.14,2,0,0,"M"
"_bYIJdwBzZhHGcDQjiFeEQ",9,4.25,1,0,0,"M"
"_byPkPMjZEIBgj-BmPfm_Q",1,4,4,0,3,"M"
"_bzHSbHqep5HvxSlwBgnxA",10,4.8,6,0,1,"M"
"_c4Mzr-D6jEoq6vB4_Dasg",6,3.33,1,1,1,"F"
"_C4nCnsW1DC-IdvBbBBcLw",80,4.2,86,37,55,"M"
"_c7M-D-VEhMSMnPceXquQg",3,2.33,2,0,1,"M"
"_C8Cx6g2qowNt9RfhENrFQ",14,4,36,17,18,"M"
"_caYjV_hptPhQTYCxUaqzA",1,1,7,2,1,"F"
"_cdMBZBj7SVw7H7Tyb6DPQ",5,5,4,1,1,"M"
"_cfkppu33JhdiZknBSM50A",7,4,4,0,1,"M"
"_CMNG8fV-wkWmUIGrtr7-g",40,3.46,42,17,8,"M"
"_COYocN_LAQT37bttDfZOA",1,1,3,1,1,"M"
"_CqFiqRtltyla08VndhBrQ",5,4.2,2,2,1,"M"
"_cqVj_WeSeNmYnI6_GM4bQ",9,4.67,2,1,2,"M"
"_csMVWq7uZC4cUNqh5Ufng",44,3.11,49,22,21,"F"
"_cTsiT441B6VM0zAH17wNA",6,4.33,9,1,3,"M"
"_Cu5Bvl6ZJc1v0lN9LXuAg",18,4,29,11,15,"M"
"_cUN03PYK-KDbyhOFSwMeQ",64,3.92,9,3,4,"F"
"_CVy2FMNwlCobah51I8GFg",43,3.77,20,3,3,"M"
"_cw9UBk_v0ABz8qv5SgT6w",3,5,1,0,0,"F"
"_cyKO3ZddlQIfxU11qLFHQ",1,1,1,0,0,"M"
"_czVhMtgTqM0BMT8VwocVg",356,3.79,345,110,133,"M"
"_D-d_S2P2ALyp0j0RF2C4w",3,4.67,0,0,0,"F"
"_D1zyYMjll4almoGZjBmkA",5,5,5,1,1,"F"
"_d7isB51eOdATFvr0_32jw",3,4.33,1,0,0,"F"
"_d7JPhUHOhEYXwBVvifpHQ",71,3.48,87,22,26,"M"
"_D8IoXGSbyHLR_7nm07E1g",19,4.63,29,5,10,"M"
"_dcXLUP083oOpAGIRBfnpA",2,4,0,0,0,"M"
"_DegwCB-7qdPSfmSoQ5Gbw",4,3.75,2,1,0,"M"
"_DfaU5uhMx-34wRfTj15pw",6,3.67,7,2,2,"M"
"_Dg0SVlkPBL3WHau7tKGhA",4,2.75,2,0,0,"M"
"_dgWjK6kXXAz5DM-gw5CDA",10,3.9,23,14,10,"F"
"_dIi1H1FQNTlqEVeLX9dpQ",37,3.86,42,14,11,"M"
"_dkn-VzpoozuB4x94Myrsg",12,4.08,6,2,2,"M"
"_DlN4skyQblMVJgtbKke5A",23,2.09,196,37,20,"F"
"_dLVG0Z42B6QzvPQk-i6Yg",5,4.75,0,0,0,"M"
"_dN47iPElN0QqRc1pmntvA",58,3.81,59,7,17,"F"
"_dnPdok9c9eTf_IZrXcFCw",2,4.5,6,0,0,"F"
"_drH36K4L-ygi8Q-7qA4rg",1,4,0,0,0,"M"
"_dSomu2s3PuVar57Zrpu6A",60,3.57,9,4,3,"M"
"_dsR81Fyw5FcOjciVZY__g",2,4.5,0,0,0,"M"
"_DSRqxLi6HxlMv5D1r0Jfw",8,4.38,18,10,10,"M"
"_duUxZGgjJFRfREjaJCq8Q",25,4.2,36,16,26,"F"
"_dvBaJ7XAb6UE3R4S24P4w",3,3.67,0,0,0,"M"
"_dvnkM0Moww9jTIQJuQ3DQ",1,5,2,0,1,"F"
"_e5drmTJBSV0yiFBrTimtg",475,3.82,662,174,424,"F"
"_E5w7CM-NtoSnz7KlZ0cYw",1,3,1,0,0,"M"
"_E65XMhRQgtMxfBOrxIrDA",8,3.38,10,1,2,"F"
"_E6mujaapsBNIJkD8az6Jw",129,3.61,74,21,30,"F"
"_E8bCGlloqFYa-FDVmTMMw",4,3.25,0,0,0,"F"
"_Ebs69dhGNpbGpPsUySc0w",3,3.67,3,0,1,"F"
"_eCkybEnsxH_hW7Kx72WJQ",1,3,0,0,0,"F"
"_edrplf5dR9FHRfpcxz7ig",3,3.33,4,1,1,"M"
"_EfG6w750cJgwiyk9AjE5g",1,5,0,0,0,"F"
"_EfzVg1nt_dWCYgpcgn9BQ",11,4,12,5,6,"F"
"_ei7Bs7tciprz4im-_0kxg",9,4.56,43,32,31,"M"
"_EiDn3bdwOU0CrOjRhwl9Q",2,5,3,0,0,"F"
"_EM3EUe9_ChfqyWTEXAOww",1,5,0,0,0,"F"
"_Ep40fjOJAZTD1fsU_G1sg",1,5,0,0,0,"M"
"_epzmxZ1Z9KNhtnKdDv4kQ",10,3.9,6,6,4,"M"
"_eqQoPtQ3e3UxLE4faT6ow",20,3.58,17,8,5,"F"
"_eqR7bsvN7pQrAGAMrcLSg",4,4,1,1,1,"F"
"_eT35zGsJQ5z1A6Q1v7kcw",3,4,11,3,3,"M"
"_ewZjLg0937kjPB7nPkosQ",1,4,0,0,0,"F"
"_Ex1lXvejGpwn-PklsOUkw",129,3.97,299,189,211,"F"
"_EzXvTXSVNqwgujyF89HPg",10,4.25,3,0,0,"F"
"_F_Djvhmgrkq1mW7_RpNuA",1,5,0,0,0,"M"
"_F_Veo7apY0NbBhKWJ7DJg",21,3.81,6,1,2,"M"
"_f-mJqH6NdX1ag0yZqxQLQ",1,1,1,0,0,"F"
"_F7Pfexnpn9Rmn42oPmVmw",96,3.72,26,1,7,"M"
"_FAs7lqBtDitWxTRpCJt4g",1,5,0,0,0,"M"
"_FBmWTiq37OphKPtLZNfMw",6,2.67,4,1,0,"F"
"_fbvlajq2-rkZpu_n2FeHA",483,4.2,282,91,163,"F"
"_FbZ1gXZL349iiz5D8gz2Q",22,3.64,34,10,14,"M"
"_FdYa_Zzj8h6oZ_hRPVN2A",1,3,0,0,0,"F"
"_fe81C5W_zvmuV7NgK518A",2,5,1,0,1,"F"
"_Ff0Kuc6t3RORTdptMKi-w",2,1.5,4,3,2,"F"
"_FF9KTe3TfLgTdHZNASxYw",5,2.75,1,2,2,"M"
"_fg8cEcbiS9qY1WoR77ePA",1,3,2,1,0,"M"
"_fgMMVUusyr0AKe4666DYQ",2,5,2,0,0,"M"
"_FKarclmeSODZdORt3IWAw",7,4.29,9,2,9,"M"
"_fncczCGkKc2wHquzL6iIA",2,1,1,0,2,"M"
"_FNlS3ONBascgBdbNIYPgg",5,3.4,1,4,1,"M"
"_FnxlobUPQ4KU87CwBRX8A",17,2.65,13,19,6,"M"
"_fp3oLtFf69zucwTeDiIUw",11,4.18,10,1,4,"F"
"_fRCfwCzY5uLZNf-qJHGhQ",7,3.33,8,0,0,"M"
"_freuda6ZERPF5rqQ2rdGA",11,3.45,6,1,1,"F"
"_frRF0O7MHBge800T3dAQQ",4,3.75,33,28,19,"F"
"_FTWOKjNKaMziJUhufFQPA",4,4.5,0,0,0,"F"
"_FU448lj8RUeTbMulGMZdQ",15,2.79,10,1,2,"F"
"_fuVjNCSbfVLzdrwSvUEMQ",1,2,0,0,0,"F"
"_Fxrn9P_nvvIY4JCvD5tOw",556,3.23,478,149,162,"M"
"_fy0DKADzLn29nTQBoqsXw",2,2,1,0,0,"M"
"_Fy3JqODFNAsqq09WxkTZg",23,4.57,39,6,16,"M"
"_fYurOhUh42yskTGNsBhkQ",1,5,0,0,0,"M"
"_FzL9OEPSo-zj5RKwfTu1g",3,4.67,2,0,0,"M"
"_G1IeedTiTN4dR3kAWDwUQ",1,5,1,0,0,"M"
"_G5pCJwOZkRDGRfw7LQv4A",3,4,0,0,0,"M"
"_G5WYHnkFXIc-5di3pQJ8Q",1,5,0,0,0,"M"
"_GBH0zyY2Kp5vWdvyL4W6A",5,4.75,3,0,0,"F"
"_GdUtltTWiJz5SoGfPkXAQ",21,4.48,7,3,0,"M"
"_GEFAi813MPH9Zjnmla94A",3,3.33,0,0,0,"M"
"_GEQxhvVDdE4qBYNem4aZg",3,4,5,2,6,"M"
"_gFIIYVUQAXzwSfrdfuRfw",1,5,0,0,0,"F"
"_gIJJOa99RNOgwINyFne4Q",25,3.24,14,2,2,"M"
"_gJnGS0wnZh5NODtXdiguw",2,3,3,5,2,"F"
"_gkdU1nMbm-4ZcfwYimeAg",3,5,3,0,0,"M"
"_GlP-J5IFotaIwuTJ0ezBQ",281,4.07,818,583,676,"M"
"_gQMUP9ElGyHUxUFI5YLyA",1,1,2,1,0,"F"
"_gUDcdDWLlpfEuqBoZZMGw",1,5,0,0,0,"M"
"_GUz8cajYTgteYNr-8e1VA",2,4.5,0,0,0,"M"
"_GVAV2LjUWEs9fGjslex_A",154,4.08,119,45,37,"M"
"_Gwz2yLErh8pRCdluzr2rA",2,5,3,1,1,"F"
"_gxzkxL248ipPONmuhuuiw",2,3.5,3,3,0,"M"
"_gZjcAu7mQEzyZsYeqfIMA",21,3.81,23,4,2,"F"
"_h-YMnASnzG1Dkvt3E2pYg",1,5,0,0,0,"M"
"_h2h6TX5xhhWFIPMnpMd3g",20,3.8,10,2,0,"M"
"_h3SDuM1alRsepLk63KxhQ",2,4.5,1,1,0,"F"
"_H7YQYiXToV0paIoOeFNng",13,3.08,23,14,6,"F"
"_H9k8h0T6Jg5EJ2oZ_ZlhA",509,3.66,472,345,334,"F"
"_haLHDP1L8zYIoZUqmlX_A",9,4.56,14,3,6,"M"
"_hC1JhaqxnBU2CKvW64Cxw",2,5,2,0,0,"M"
"_hCoELWb_ERmEhR_ZJdgPw",5,5,4,0,2,"F"
"_hiTqu2Yh0VNlNFB_ZfJ0g",20,4.25,26,2,11,"F"
"_hjpSH7vRXqjlD6usKNuHg",38,3.35,22,4,14,"M"
"_HLJC6BNod6cuv08IW-ygA",30,4.13,46,17,26,"F"
"_HLqSxJi29D1Awt4VgWxpg",16,3.25,8,0,1,"M"
"_HmoYjWjxxH3hxutoZ-43w",4,3.5,6,3,3,"F"
"_HnOSKVfmq4HDhM0MZOCFA",82,3.8,476,422,433,"M"
"_HnuImgK2JcqtnYy26GjIg",10,4.6,3,0,0,"F"
"_HoX1WL8zbfvi-p-TrM-Ig",2,1,0,0,0,"F"
"_HpozvXg8ie16oGhwif2_w",2,2.5,0,0,0,"F"
"_hRW2sdeatdsuKrOxP0lLQ",1,5,0,0,0,"M"
"_hU2Qq4KUtCYxdZBFuZ9Cw",1,5,2,0,0,"M"
"_HvJzf1-4g5isNFaOEAIrQ",33,4,72,30,34,"F"
"_HWRiGMD14EvmTik8EqP0Q",32,3.81,26,10,5,"F"
"_hX3IbFF88sVRVG8EXF2hQ",4,3,2,0,0,"F"
"_HXvtPeGmaiR6Qw5x7Z0_Q",22,4.09,12,5,9,"M"
"_HYKAlLnRLNWk_BCfCihTw",2,4.5,1,0,0,"F"
"_IapBBI_StCvz9VJVsgN9Q",81,2.94,127,51,32,"M"
"_Ibmt4n-7E3MvR2KYXOexA",1,5,0,0,0,"M"
"_IbTUk58api4jiv0YBVFOA",7,4.29,9,2,3,"F"
"_IBuP5TOW6-83rDm5zSLhA",38,3.87,23,13,14,"M"
"_IBWSXocgmX-m20Dm4m2YA",17,4.47,34,1,12,"M"
"_Ico-McnANpys4AMScbkbQ",13,4.42,13,3,2,"M"
"_iCvGauQQDrEMArOp9voUA",44,4.59,24,8,17,"M"
"_IET3gTFGm_BUVmOgKjC9g",2,5,4,0,1,"M"
"_IfgQ8wABCdRxvTt36TZ2Q",15,3.4,28,6,8,"F"
"_iFLEqdCOcxZ4wewNR3edg",1,5,0,0,0,"M"
"_iiiuZv4h2TvuWY9iaCOiQ",1,5,0,1,0,"M"
"_IIx4BPhKdYQx-e_wK-g0w",5,4.25,4,0,0,"F"
"_IJEA20VGmwFptePgCkPkw",5,4.6,3,1,1,"F"
"_iN4C4MIQy0zf282D0sdkA",8,3.75,14,6,6,"M"
"_InpcfMv99yln5QgTP38qw",97,3.35,119,32,25,"M"
"_iqC2QdP2nktChN6-jAKWQ",4,4.75,3,1,1,"M"
"_iQuTvBwdz1rjvJVbv8ECA",3,5,2,0,0,"M"
"_irS9baysa8fxt63LkMQUw",2,3,1,0,0,"M"
"_it--GO22unsequZeZyLrQ",1,2,0,0,0,"M"
"_ItBglS_qJbQ1ii_kOgW0g",4,4.5,1,1,1,"F"
"_iUJOb9V4Y6k7GqoSkpVkw",3,4.67,3,2,3,"M"
"_IZ1O0J7Q66j30Um33uMAg",2,4,1,0,0,"M"
"_izaXiw2oFaKaadoqWKBsQ",5,3.8,1,0,0,"F"
"_j4PdUTEw7N3NXQM628ZKA",8,3.75,14,2,6,"M"
"_J6wQsfK_2QMWxRLbLtxrw",1,1,0,0,0,"M"
"_j70DLAT_Unc8uR_PNkp_Q",5,5,6,5,5,"M"
"_j7l-gR6EezfLuMya9lDDw",23,4.43,10,2,2,"M"
"_JBVQQ8pR_DutAdVbY2G1A",95,3.72,122,33,68,"M"
"_JdBh0bj-O5TxK85WnbB9w",6,2.83,2,0,1,"M"
"_JdXcWfGVHZuAZ08dMAUvg",3,1.33,10,7,2,"M"
"_je3JpAk2SghGPgd9LIJ_A",10,4.8,5,1,2,"M"
"_JfevWKh_z7AUSyEfTRb1g",1,2,4,1,3,"F"
"_JHs2fAdeWf0Wp_rAAg4iw",13,4.31,7,0,0,"F"
"_JhxC3rjVkeWJzrFVxjPXA",8,3.75,8,2,5,"F"
"_JIAU-Y1mYosiRiWfMxQCA",42,3.5,47,9,14,"M"
"_jj-BMj0Wz1e3hRrFzqyHQ",30,3.47,17,3,5,"M"
"_JJgknodFeeqOW2e9a3kKw",81,3.86,45,3,9,"F"
"_jjIaczpcVDpHlH6l334rQ",118,4.05,195,77,102,"M"
"_jKweejaiA14hbDI9YTf6A",20,4.15,4,1,2,"M"
"_jLc_JM-_t-X4ym__6zTvQ",5,2.8,6,0,0,"M"
"_JlgkmdTTa57zERzsYR13w",9,4.14,5,2,2,"M"
"_jNXQZR4RVDSk9QTNuoLKw",28,3.39,26,10,13,"M"
"_jOiwCtFJX8QC8F8UNY5eA",45,4.73,102,10,25,"M"
"_JsKqHuTlseBUsK4zmBQDA",134,4.33,349,88,155,"M"
"_JTIS12jwEMVUwaoQWPFog",14,4.5,20,3,4,"M"
"_ju0P_eGbCYI43Pj3BTckQ",23,3.39,2,0,0,"F"
"_JUAxvr5DSEcHTvvXnUsxg",42,3.86,83,36,50,"M"
"_JvFaKXCPTIRlLZRtW-YuQ",2,3.5,6,3,4,"M"
"_JvSsjl3YUZBfhgDxagyTQ",1,5,0,0,0,"F"
"_JyHdZJi09UkCEItygZAhQ",9,3,3,0,0,"F"
"_jZ0G-7mvDbY4KSIfx3U-Q",141,3.56,154,106,67,"F"
"_jzVnmL77aMGI4QiCoYsHQ",6,2.67,8,7,1,"M"
"_k1lZP9bVrmIYpfwLLtZZA",19,4.31,2,2,1,"F"
"_k4YraIsteWuxtrAcnTGIg",48,4.02,14,6,9,"M"
"_KaAYSuJP6mMqDfK0r5dBQ",3,5,0,0,0,"M"
"_KAH-WmOz1pR1NBKgyDeUg",1,3,0,0,0,"M"
"_Kb9FGYCXfK9ba6dnDBaMg",4,3.33,2,1,2,"F"
"_KbI23DDM-fEQ9htUIsNng",2,3,5,2,1,"F"
"_kGymkNSSthblVXTJglZtg",40,3.75,53,24,19,"F"
"_ki8TQWep4CJTfF4kzyMtw",11,4.18,18,4,5,"M"
"_kIJcnfJKdo_NwxN0dxZlQ",43,4.42,38,5,8,"F"
"_kKtez1-ZySiO7LJKL4shA",90,3.97,59,24,27,"F"
"_KLuQrEOnb8pQU-Hj1rSBg",3,4.5,4,3,3,"F"
