"businessid","cat109","cat363","cat361","cat366","cat344","cat33","city","cat501","cat444","cat404","cat259","cat246","cat79","open","cat221","cat314","cat104","state","latitude","longitude","bstars","breviewcnt","wday1","wday2","wday3","wday4","wday5","wend1","wend2","wend3","wend4","wend5"
"_EgnnGIcy993Bq4oIHxK5Q","f","t","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.3788436,-111.6330824,5,5,4,4,4,4,4,4,4,4,4,4
"_ELurClSg26jIcRmhq3F_w","f","f","f","f","f","f","Queen Creek","f","f","f","t","f","f","t","f","f","f","AZ",33.2528,-111.5239,3,4,4,4,4,4,4,4,4,4,4,4
"_EMJx6Rq6E1Lwc52V3YJ5A","f","f","f","f","f","f","Mesa","f","f","f","f","f","f","f","f","f","f","AZ",33.4073986,-111.8758898,4,3,4,4,4,4,4,4,4,4,4,4
"_EO58DNHOuyTst9vbTfizw","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5990432,-111.9812072,4.5,6,0,0,3,3,1,0,0,2,1,0
"_Eokx-PeCWvsZEWGU-278A","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.631937,-111.91374,5,10,0,2,1,1,6,0,0,0,0,1
"_Ex3OUT0CBJxmn7M_ihzjg","t","f","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.424008,-111.719639,2,3,4,4,4,4,4,4,4,4,4,4
"_FDCautNaIHb-8n1pR2Hlg","f","f","f","f","f","f","Tempe","f","f","f","f","f","f","t","f","f","f","AZ",33.413696,-111.925686,2.5,3,4,4,4,4,4,4,4,4,4,4
"_FgyuDnyDCXmWBy03Tq8TQ","t","f","f","f","t","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.639241,-111.881719,3,25,1,5,10,6,18,0,2,1,4,3
"_FnQ-PWDknNpjxv8FsqnZQ","f","f","f","f","f","f","Avondale","f","f","f","f","f","f","t","f","f","f","AZ",33.46448,-112.276166,3.5,4,0,1,6,4,1,0,0,2,3,2
"_fTwf7Oo5DqiCpgEhDZ9VA","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.6011167,-111.9834389,3.5,3,0,0,1,1,0,0,0,2,0,0
"_FXql6eVhbM923RdCi94SA","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5062078,-112.0739142,4,444,2,6,20,15,27,3,3,8,6,10
"_fYoH2rzVyPYkzMiAOlDlg","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4795094,-112.1125311,1.5,3,4,4,4,4,4,4,4,4,4,4
"_Gk8RkqSf3g0-wgxFK0Uvg","f","t","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.628306,-111.91572,4,4,4,4,4,4,4,4,4,4,4,4
"_grGGf6_m3fGW_U9lY-pXg","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.6524229,-111.9277668,4.5,7,0,7,8,4,1,0,2,2,1,1
"_GS1R0LTwr6h8rMWY_8U9Q","f","f","f","f","f","f","Phoenix","f","f","f","f","t","t","t","f","f","f","AZ",33.517587,-112.064795,3.5,28,1,0,8,11,19,0,1,1,3,6
"_Gwva9y6M4sjU8OTsrkBrA","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.572269,-112.115428,3.5,3,0,1,1,3,2,1,0,1,0,1
"_gXpjRIjb5fv5f5IVGXvsw","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.466688,-111.987753,2.5,6,5,5,6,5,10,1,2,4,1,4
"_GyBoKI4wIX4iBbGmXKQ6g","f","f","f","f","f","t","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.498266,-111.924644,4.5,3,4,4,4,4,4,4,4,4,4,4
"_H7NlVROsWDodfe0mtgC3Q","f","t","f","f","f","t","Chandler","f","f","f","f","f","f","f","f","f","f","AZ",33.351069,-111.857927,5,4,4,4,4,4,4,4,4,4,4,4
"_HGheM2jzKEZFqkT4kyViQ","f","f","f","f","f","f","Phoenix","f","f","f","t","f","f","t","f","f","f","AZ",33.4341900790355,-111.994339227676,4.5,9,3,7,3,0,2,0,1,1,1,0
"_hmeGfByQCV5-dKeC-8zpw","f","f","f","f","f","f","Phoenix","f","f","f","f","t","f","t","f","f","f","AZ",33.655796,-112.132916,3.5,6,1,1,3,4,10,0,0,1,0,4
"_HTE4pOKeJC7kcxiCF9vTA","t","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.4787939,-111.9259092,4,144,1,8,20,15,18,0,2,5,3,7
"_hTnLGWujfiZhIaCwWH8Ng","t","f","f","f","f","f","Glendale","f","f","f","f","f","f","t","f","f","f","AZ",33.7121367,-112.2014742,4,18,0,0,5,6,5,0,0,6,0,4
"_hTuZaWdlnpjmNppNgQwsw","f","f","f","f","f","t","Surprise","f","f","f","f","f","f","t","f","f","f","AZ",33.6387523,-112.3885652,5,3,4,4,4,4,4,4,4,4,4,4
"_I7nVEME1ZJN3WK8xdwNgw","f","f","t","f","f","f","Tempe","f","f","f","f","f","f","t","f","f","f","AZ",33.3333494,-111.9108427,4.5,3,0,3,1,2,0,0,0,1,0,0
"_IaAOzGPzq3JIDKuQlAzvQ","t","f","f","f","f","f","Phoenix","f","f","f","t","f","f","t","f","f","f","AZ",33.5100398,-112.0146407,3.5,19,0,1,4,5,12,0,0,1,2,4
"_IE5XDjxeM47NSzhg7sItg","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","f","f","f","f","AZ",33.639472,-112.071469,3.5,15,0,1,0,0,3,0,0,0,0,0
"_II8JqKz0Eud9t6vxOYPnw","f","f","f","t","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4959222,-112.100192,3.5,3,4,4,4,4,4,4,4,4,4,4
"_ilvDGnUKCpfp4qHvQODlA","t","f","f","f","f","f","Gilbert","f","f","f","f","f","f","t","f","f","f","AZ",33.2937998,-111.7218861,2,6,0,1,1,2,1,0,0,1,0,1
"_ISHH8x8Qe6IoVTQWegbpQ","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4361911,-112.0136128,2,4,1,6,2,1,2,0,0,0,0,0
"_IwgdSjrIMwAcQdeLNhcZQ","f","f","f","f","f","f","Scottsdale","f","f","f","f","t","t","t","f","f","f","AZ",33.5385959,-111.8656895,4,12,5,0,3,7,19,0,0,4,4,7
"_IXpW-VCSib2K1ZHTJSOSA","f","f","f","f","f","t","Chandler","f","f","f","f","f","f","t","f","f","f","AZ",33.317906,-111.964138,4,7,0,0,5,6,0,0,1,0,0,0
"_jaKAiZtJTCR7dOfv-Njsw","f","f","f","f","f","f","Chandler","f","f","f","t","f","f","t","f","f","f","AZ",33.319395,-111.874965,4,12,0,1,4,5,13,0,0,1,0,6
"_jbeTDw6XSuvLaR1V_z8jw","t","f","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.3061292,-111.6692535,4,5,0,3,5,3,2,0,0,1,4,1
"_JnSgL8E43Qu4P_C7vPMvg","f","f","f","t","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.324693,-112.003805,5,3,4,4,4,4,4,4,4,4,4,4
"_JnuEFoc8rDy6ypSMhqanA","f","f","t","f","f","f","Avondale","f","f","f","f","f","f","t","f","f","f","AZ",33.465169,-112.271901,3,3,0,2,4,6,0,0,0,1,0,0
"_jZW7ZeBWlcQ1JJeNQsygA","f","f","f","f","f","f","Gilbert","f","f","f","t","f","f","t","f","f","f","AZ",33.3513086,-111.8071527,3.5,3,4,4,4,4,4,4,4,4,4,4
"_KGe3v1OzRnUmKhb3VkDgg","t","f","f","f","t","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.3751825,-111.8782339,4,3,0,3,3,0,0,0,0,0,1,0
"_kL4evOcRHHEquKnndUTkg","f","f","f","f","f","f","Gold Canyon","f","f","f","f","f","f","t","f","f","f","AZ",33.362439,-111.445693,3.5,20,0,8,8,6,5,1,6,3,1,1
"_L5kScT8_QCmFoHV6fmrqg","f","f","f","f","f","f","Glendale","f","f","f","f","f","f","t","f","f","f","AZ",33.7127828,-112.1414638,2.5,3,0,0,2,0,0,0,0,1,0,0
"_L9E4eZWX0vdePNjU1xtuQ","t","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.701112,-111.924054,4.5,48,0,0,0,6,16,0,0,1,1,3
"_lanRtzQGRkbhd2b6pQleQ","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4402837,-111.9307701,4.5,60,2,15,12,7,8,1,6,6,4,2
"_lDDgqKSwzYKNiCqdGQLHw","f","f","f","f","f","f","Phoenix","f","f","f","t","f","f","t","f","f","f","AZ",33.711091,-112.1122766,3.5,11,6,21,18,12,11,1,10,7,4,3
"_lN2rVi5d7d5AiGqFoTOgw","f","f","f","f","f","f","Glendale","f","f","f","f","f","f","t","f","f","f","AZ",33.6441894,-112.2273134,4,3,0,1,8,9,4,0,1,2,4,0
"_Lpkv16I9G0t6Rxq_B7y4g","f","f","f","t","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.6842161,-111.9226651,5,4,4,4,4,4,4,4,4,4,4,4
"_LuFh4iAKoN5YrR3VEkMPw","t","f","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.451477,-111.839884,1.5,4,0,2,5,2,1,0,1,0,3,0
"_lZTISCRAM2CzWj9vzifBg","f","t","f","f","f","f","Peoria","f","f","f","f","f","f","t","f","f","f","AZ",33.673033,-112.237787,5,3,4,4,4,4,4,4,4,4,4,4
"_mADamYQGcQhKru2hcQUxw","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.598462,-111.92456,4.5,3,1,8,6,3,7,0,4,4,1,2
"_mFZT2Ar2ayJ5kP35i79ZA","f","f","f","f","f","f","Phoenix","f","f","f","t","f","f","t","f","f","f","AZ",33.458856,-112.072156,2.5,5,4,4,4,4,4,4,4,4,4,4
"_mt0EQgGCG-qrLy51RnQag","t","f","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.4230663,-111.7887534,3.5,22,0,0,11,5,11,0,0,4,3,3
"_n11NXNA9GrQZR_l1GLomg","f","f","f","f","f","t","Tempe","f","f","f","f","f","f","t","f","f","f","AZ",33.365327,-111.860206,4.5,3,4,4,4,4,4,4,4,4,4,4
"_Ne4sL68IW6lEXYvrnkt-w","f","f","f","f","f","f","Tempe","f","f","f","t","t","t","t","f","f","f","AZ",33.423901989755,-111.940287351608,3.5,41,5,1,14,13,28,2,1,6,6,4
"_nixwTDJAfdLByIQs4rzig","f","f","f","f","f","f","Phoenix","f","f","f","t","f","f","t","f","f","f","AZ",33.4324285,-112.0479151,2.5,5,0,1,2,0,0,0,0,0,0,0
"_NnOolczVHfhEHgCOhpxAw","t","f","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.395974,-111.8406513,4,10,0,1,7,1,3,0,0,1,0,0
"_NqBYzBVvnp8jF14cekBLQ","f","f","f","f","f","f","Scottsdale","f","f","t","f","f","f","t","f","f","f","AZ",33.6341684,-111.9253784,3.5,6,0,1,4,6,4,0,0,1,5,1
"_NWot0cb2Ug3-IzXQY2THw","f","f","f","f","f","f","Scottsdale","f","f","f","t","f","f","t","f","f","f","AZ",33.4654569,-111.9112283,5,3,0,2,1,0,0,0,0,0,0,0
"_Nx8hwTmjR_x62Byjav0Ew","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.3912528,-112.0733807,2.5,6,4,4,4,4,4,4,4,4,4,4
"_oBxfuBd2qDEWaYsdvP_dg","t","f","f","f","f","f","Glendale","f","f","f","t","f","f","t","f","f","f","AZ",33.536066,-112.263551,3.5,51,0,3,14,12,20,2,3,6,5,6
"_ODHYjCmrb3W9hIGJI1uaA","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4950082,-112.0114032,3.5,92,0,6,16,10,16,0,2,1,2,3
"_ofao_kfutdp71Bh9JiyOw","f","t","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","t","t","AZ",33.616012,-112.064644,5,3,4,4,4,4,4,4,4,4,4,4
"_OPYzJuVA-AyXyspbPZYOg","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","t","f","f","AZ",33.652673,-111.890559,4.5,3,4,4,4,4,4,4,4,4,4,4
"_oQN89kF_d97-cWW0iO8_g","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.6391363,-112.150244,4.5,104,0,1,16,8,13,0,0,2,4,1
"_OT4bXU8cfzZDWCPrM-aWg","f","f","f","f","f","f","Chandler","f","f","t","f","f","f","t","f","f","f","AZ",33.25958,-111.857145,4,3,0,1,3,7,1,0,2,2,2,1
"_oylByc6iTONI5lokMfYHQ","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4299139,-112.082173,3,6,1,0,3,3,1,0,0,1,1,1
"_OYlq2UoKPQO_ElqhC3a8w","f","f","f","f","f","f","Phoenix","t","f","f","f","t","t","t","f","f","f","AZ",33.4471778,-112.0744503,3.5,100,2,4,19,15,28,2,2,8,5,9
"_P4wKLL6cyXWY1EQV2k8WQ","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4532307,-112.0740735,5,10,0,2,7,5,7,0,0,2,3,2
"_p8bPLv2RKSadu_9M83OVA","f","f","f","f","f","f","Mesa","f","f","f","t","f","f","f","f","f","f","AZ",33.45118,-111.80299,4,7,1,0,3,5,5,1,0,1,1,2
"_Pgyo58zwlnkHJZsgo0Rcg","f","f","f","f","f","f","Glendale","f","f","f","f","f","f","t","f","f","f","AZ",33.669655,-112.188538,4.5,3,1,4,14,15,19,0,3,6,6,6
"_PqHNiYiAKzM0TYugQD2_Q","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.566128,-112.07346,5,4,0,2,0,2,1,0,0,0,1,0
"_pTP5e2WgF10i893mgHseg","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.6242682931909,-111.927230358124,3,4,0,1,0,0,1,0,0,0,1,0
"_pw-OnDpCe9XM0rDVvTUMg","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5530705,-112.0998914,4.5,5,3,8,1,0,4,5,2,0,0,2
"_Q9IEf-8XbQR2eutFVhh1w","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.5756408,-111.9262786,3.5,7,0,3,4,2,4,0,2,0,0,1
"_ql42UadWUh9SgU09_c2mQ","t","f","f","f","f","f","Paradise Valley","f","f","f","f","f","f","t","f","f","f","AZ",33.5671501,-111.925924,3.5,26,0,3,16,10,14,0,0,5,6,3
"_qTzOkbin2giDOrFsaxm8A","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.455036,-112.038676,4.5,52,0,5,12,11,6,0,2,7,3,2
"_qwRTOB9oJRSQRN1lv59yg","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.536082,-111.902833,3,5,0,2,0,0,1,0,1,1,1,0
"_RBUU1y4yJrK0SPAd8z0-w","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4657562,-111.9718284,3.5,98,2,2,14,10,14,0,1,6,5,7
"_RGFp7n1u-PBo8BjGXYgRQ","f","f","f","f","f","t","Chandler","f","f","f","f","f","f","t","f","f","f","AZ",33.2624818,-111.85757,3,4,0,1,3,4,1,0,0,3,3,0
"_s1QZIfOXLuPkjVItpT1AQ","f","f","f","f","f","f","Phoenix","f","f","f","t","f","f","t","f","f","f","AZ",33.4657203,-112.0911242,4,4,1,7,1,1,1,0,1,0,0,0
"_S8WosnNDOI4WvRKO9Sxfw","f","f","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.3932413,-111.8550939,3.5,3,4,4,4,4,4,4,4,4,4,4
"_SbBztPWznTFKG8l-fMJEQ","t","f","f","f","f","f","Chandler","f","f","f","f","f","f","t","f","f","f","AZ",33.3215016,-111.8416355,3.5,4,0,0,1,1,2,0,0,0,0,0
