"userid","country","age"
"'101101'","'germany'",26
"'10112'","'usa'",26
"'101123'","'usa'",20
"'101126'","'usa'",28
"'101135'","'switzerland'",17
"'101141'","'usa'",57
"'101150'","'usa'",0
"'101154'","'usa'",30
"'101172'","'canada'",22
"'10118'","'usa'",44
"'101191'","'switzerland'",0
"'101196'","'usa'",36
"'101209'","'usa'",44
"'101214'","'canada'",46
"'101226'","'usa'",59
"'101234'","'hungary'",44
"'101238'","'usa'",0
"'101242'","'netherlands'",24
"'101245'","'italy'",40
"'101251'","'usa'",48
"'101281'","'canada'",70
"'101299'","''unknown''",76
"'101304'","'usa'",68
"'101305'","'usa'",29
"'101311'","'usa'",19
"'101312'","'usa'",0
"'101336'","'usa'",41
"'101338'","'usa'",0
"'101349'","'usa'",0
"'101369'","'usa'",43
"'101381'","'usa'",25
"'101422'","'usa'",44
"'101451'","'usa'",0
"'101475'","'usa'",41
"'101499'","'usa'",0
"'101505'","'usa'",43
"'101513'","'usa'",39
"'101517'","'canada'",0
"'101520'","'usa'",47
"'101527'","''unknown''",0
"'101540'","'usa'",0
"'101546'","'usa'",64
"'101550'","'argentina'",29
"'101559'","'usa'",0
"'101562'","'usa'",0
"'101564'","'australia'",0
"'101566'","'usa'",27
"'101589'","'germany'",46
"'101606'","'canada'",32
"'101614'","'usa'",0
"'101616'","'canada'",0
"'101620'","'usa'",0
"'101626'","'usa'",25
"'101632'","'usa'",30
"'101635'","'usa'",0
"'101666'","'austria'",49
"'101667'","'germany'",30
"'101680'","'usa'",45
"'101681'","'italy'",35
"'101686'","'germany'",0
"'101687'","'new zealand'",0
"'101696'","'usa'",25
"'101699'","'spain'",0
"'101704'","'austria'",32
"'101716'","'usa'",28
"'101731'","'canada'",0
"'101739'","'usa'",66
"'101741'","'usa'",66
"'101742'","'france'",26
"'101744'","'usa'",0
"'101745'","'usa'",0
"'101775'","'spain'",46
"'101790'","'usa'",0
"'101796'","'usa'",59
"'101824'","'usa'",26
"'101830'","'germany'",41
"'101836'","'usa'",34
"'101851'","'usa'",29
"'101874'","'usa'",0
"'101875'","'united kingdom'",0
"'101876'","'usa'",38
"'101882'","'usa'",18
"'101887'","'usa'",31
"'101900'","'usa'",73
"'101901'","'usa'",29
"'101914'","'usa'",0
"'101925'","'usa'",33
"'101945'","'usa'",48
"'101963'","'canada'",53
"'101971'","'canada'",43
"'101973'","'usa'",0
"'101978'","'usa'",23
"'101988'","'usa'",0
"'10199'","'australia'",17
"'102002'","'united kingdom'",38
"'102016'","'usa'",0
"'102019'","'usa'",32
"'102029'","'usa'",44
"'102032'","'usa'",30
"'102033'","'usa'",20
"'102034'","'usa'",32
"'10205'","'usa'",22
"'10207'","'canada'",0
"'10209'","'usa'",29
"'102090'","'united kingdom'",36
"'102099'","'usa'",0
"'1021'","'usa'",0
"'102101'","'canada'",23
"'102110'","'usa'",24
"'102117'","'usa'",19
"'102120'","'usa'",0
"'102129'","'usa'",29
"'102130'","'usa'",39
"'102138'","'cayman islands'",43
"'10215'","'united kingdom'",34
"'102153'","'usa'",45
"'102154'","'usa'",0
"'102158'","'germany'",32
"'102164'","'germany'",44
"'102169'","''unknown''",0
"'102170'","''unknown''",28
"'102189'","'usa'",27
"'102196'","'germany'",28
"'1022'","'usa'",0
"'10221'","'usa'",29
"'102210'","'usa'",0
"'102220'","'mexico'",54
"'102223'","'usa'",42
"'102227'","'germany'",28
"'102232'","'usa'",28
"'102246'","'canada'",35
"'102253'","'spain'",24
"'102255'","'andorra'",34
"'102262'","'usa'",19
"'102275'","'usa'",52
"'102284'","'usa'",71
"'102321'","'united kingdom'",45
"'102322'","'germany'",54
"'102327'","'usa'",0
"'102335'","'usa'",29
"'102341'","'usa'",0
"'102349'","'usa'",0
"'102359'","'usa'",0
"'102375'","'united kingdom'",27
"'102399'","'usa'",25
"'1024'","'usa'",0
"'10241'","'usa'",27
"'102411'","'usa'",0
"'102413'","'germany'",26
"'102414'","'canada'",26
"'102416'","'usa'",19
"'102430'","'usa'",37
"'102452'","'usa'",18
"'102488'","'usa'",46
"'102489'","'usa'",16
"'1025'","'united kingdom'",33
"'102503'","'usa'",0
"'102504'","'usa'",37
"'102505'","'usa'",37
"'102518'","'united kingdom'",54
"'102532'","'spain'",59
"'102542'","'usa'",0
"'102549'","'usa'",34
"'102555'","'usa'",31
"'102564'","'usa'",54
"'102571'","'canada'",0
"'102581'","'usa'",34
"'10261'","'slovakia'",21
"'102621'","'usa'",0
"'102642'","'usa'",0
"'102647'","'usa'",14
"'102668'","'usa'",31
"'102669'","'germany'",0
"'102674'","'canada'",0
"'102676'","'usa'",0
"'102702'","'usa'",34
"'102705'","'canada'",22
"'102719'","'usa'",27
"'10273'","''unknown''",0
"'102733'","'usa'",38
"'102739'","'usa'",0
"'102740'","'usa'",24
"'102758'","'united kingdom'",34
"'102772'","'usa'",74
"'102782'","'usa'",38
"'102800'","'usa'",30
"'102801'","'usa'",48
"'102832'","'germany'",0
"'102842'","'usa'",0
"'102844'","'usa'",27
"'102859'","'usa'",63
"'102891'","'usa'",12
"'102899'","'australia'",0
"'102903'","'new zealand'",30
"'102938'","'usa'",0
"'102939'","'usa'",47
"'102940'","'usa'",0
"'102944'","'usa'",0
"'102945'","'usa'",0
"'102955'","'usa'",33
"'102958'","'usa'",0
"'102967'","'usa'",54
"'102978'","'usa'",52
"'102983'","'india'",35
"'103000'","'usa'",32
"'103009'","'usa'",48
"'103010'","'usa'",34
"'103020'","'usa'",70
"'103024'","'usa'",30
"'103028'","'usa'",25
"'103031'","'usa'",18
"'103041'","'australia'",0
"'103055'","'china'",32
"'103067'","'usa'",0
"'103094'","'usa'",0
"'1031'","'usa'",52
"'103102'","'usa'",28
"'103107'","'germany'",31
"'103108'","'australia'",26
"'103116'","''unknown''",34
"'103134'","'usa'",56
"'10314'","'usa'",0
"'103144'","'malaysia'",19
"'10315'","'canada'",18
"'103150'","'germany'",21
"'103160'","''unknown''",14
"'103164'","'usa'",62
"'103187'","'usa'",60
"'10319'","'usa'",45
"'103190'","'usa'",52
"'1032'","'usa'",0
"'103217'","'austria'",34
"'103225'","'usa'",47
"'10325'","'usa'",18
"'103251'","'canada'",21
"'103277'","'usa'",31
"'10329'","'new zealand'",0
"'103304'","'usa'",44
"'103315'","'usa'",32
"'103336'","'usa'",55
"'10334'","'usa'",0
"'103348'","'usa'",27
"'103350'","'usa'",29
"'103377'","'canada'",34
"'103402'","'usa'",0
"'103416'","'usa'",33
"'103445'","'usa'",50
"'103467'","'usa'",45
"'103477'","'usa'",0
"'103488'","'usa'",0
"'103490'","'usa'",19
"'103496'","'usa'",0
"'10351'","'usa'",15
"'103526'","'usa'",18
"'103537'","'usa'",37
"'10354'","'usa'",15
"'103541'","'austria'",24
"'103550'","'usa'",52
"'103552'","'canada'",29
"'103577'","'usa'",30
"'103579'","'usa'",0
"'103624'","'usa'",53
"'103630'","'usa'",0
"'103636'","'usa'",0
"'103656'","'usa'",28
"'103679'","'usa'",47
"'103685'","'united kingdom'",46
"'103688'","'usa'",29
"'103699'","'usa'",25
"'10373'","'usa'",17
"'103733'","'usa'",16
"'103742'","'usa'",0
"'103748'","'usa'",0
"'103761'","'usa'",37
"'103811'","'usa'",25
"'103824'","'canada'",30
"'103828'","'usa'",0
"'103835'","'usa'",45
"'103849'","'usa'",0
"'103867'","'usa'",25
"'103869'","'usa'",0
"'103871'","'usa'",45
"'103874'","'usa'",47
"'103883'","'usa'",0
"'10390'","'usa'",33
"'103920'","'usa'",29
"'103922'","''unknown''",0
"'103923'","'usa'",49
"'103930'","'greece'",0
"'103935'","'usa'",48
"'10394'","'china'",21
"'103955'","'usa'",41
"'103956'","'usa'",0
"'103969'","'usa'",0
"'104013'","'canada'",0
"'104044'","'usa'",0
"'104051'","'usa'",29
"'104053'","'usa'",44
"'104058'","'usa'",0
"'104059'","'australia'",0
"'104061'","'usa'",48
"'104066'","'australia'",41
"'104072'","'usa'",0
"'104084'","'usa'",0
"'104098'","'canada'",26
"'104103'","'usa'",0
"'104106'","'usa'",53
"'104113'","'usa'",24
"'104123'","'usa'",0
"'104125'","'united kingdom'",39
"'104143'","'usa'",0
"'104144'","'usa'",65
"'104150'","'usa'",54
"'104160'","'usa'",54
"'104165'","'usa'",44
"'104166'","'usa'",46
"'104168'","'australia'",0
"'104176'","'usa'",0
"'104205'","'usa'",0
"'104211'","'usa'",39
"'104212'","'usa'",40
"'104236'","'philippines'",30
"'104240'","'usa'",0
"'104243'","'usa'",60
"'104268'","'usa'",28
"'104276'","'usa'",0
"'104278'","''unknown''",29
"'104284'","'canada'",56
"'104289'","'germany'",34
"'104300'","'australia'",0
"'104310'","'usa'",29
"'104311'","'usa'",0
"'104333'","'usa'",61
"'104334'","'usa'",65
"'104337'","'usa'",0
"'104341'","'usa'",46
"'104362'","'usa'",45
"'104397'","'usa'",39
"'104399'","'usa'",29
"'104404'","'usa'",85
"'104413'","'usa'",53
"'104414'","'usa'",51
"'104429'","'usa'",39
"'104437'","'canada'",0
"'104439'","'canada'",0
"'104443'","'usa'",18
"'104447'","'usa'",0
"'104451'","'usa'",22
"'104454'","'usa'",0
"'104468'","'canada'",0
"'104469'","'usa'",55
"'10447'","'usa'",0
"'104489'","'spain'",26
"'104498'","'usa'",0
"'104505'","''unknown''",34
"'104515'","'usa'",0
"'104517'","'usa'",27
"'104527'","'spain'",19
"'104530'","'usa'",48
"'104532'","'austria'",18
"'104539'","'united kingdom'",34
"'104545'","'germany'",25
"'104550'","'portugal'",22
"'104569'","'usa'",48
"'104570'","'australia'",29
"'104588'","'usa'",16
"'104604'","'canada'",36
"'104607'","'usa'",17
"'104611'","'usa'",0
"'104619'","'usa'",0
"'104624'","''unknown''",24
"'104636'","'usa'",0
"'104654'","'usa'",50
"'104657'","'usa'",25
"'104658'","'usa'",50
"'104659'","'usa'",0
"'104665'","'usa'",30
"'104683'","'canada'",48
"'10470'","'usa'",0
"'104705'","'usa'",54
"'104715'","'usa'",23
"'104722'","'usa'",0
"'104757'","'austria'",0
"'104759'","'canada'",38
"'104771'","'usa'",17
"'104773'","'usa'",48
"'104795'","'usa'",0
"'104796'","'usa'",38
"'1048'","'canada'",22
"'104808'","'usa'",31
"'104812'","'usa'",19
"'104861'","'germany'",20
"'104862'","'usa'",0
"'104864'","'usa'",22
"'104868'","'canada'",0
"'104875'","'japan'",28
"'104880'","'usa'",21
"'104883'","'usa'",73
"'104925'","'usa'",44
"'104927'","'usa'",0
"'104939'","'usa'",43
"'104943'","'germany'",30
"'104959'","'usa'",52
"'104996'","'canada'",35
"'104998'","'usa'",28
"'105012'","'usa'",49
"'10502'","'usa'",0
"'105028'","'malaysia'",22
"'105040'","'usa'",0
"'105054'","'canada'",29
"'105058'","'canada'",32
"'105071'","'usa'",0
"'105076'","'usa'",53
"'105079'","'usa'",44
"'10508'","'usa'",0
"'105098'","'germany'",19
"'105100'","'united kingdom'",38
"'105101'","'usa'",46
"'105108'","'usa'",35
"'105113'","'iceland'",36
"'105114'","'usa'",38
"'105115'","'usa'",41
"'105116'","'austria'",25
"'10512'","'australia'",35
"'105124'","''unknown''",0
"'105128'","'usa'",11
"'105156'","'usa'",22
"'105160'","'usa'",0
"'105168'","'usa'",0
"'105175'","'germany'",28
"'105186'","'usa'",33
"'105187'","'france'",53
"'105206'","'canada'",0
"'105214'","'usa'",34
"'105221'","'usa'",15
"'105236'","'usa'",42
"'105243'","'usa'",0
"'105249'","'germany'",22
"'105262'","'usa'",24
"'105263'","'usa'",19
"'105286'","''unknown''",0
"'105295'","'germany'",0
"'105298'","'usa'",0
"'105313'","'usa'",34
"'105317'","'usa'",32
"'10532'","'united kingdom'",29
"'105324'","'usa'",34
"'105332'","'usa'",57
"'105334'","'usa'",0
"'105335'","'canada'",25
"'105356'","'usa'",59
"'105358'","'usa'",43
"'105360'","'usa'",28
"'105365'","'usa'",0
"'105374'","'canada'",25
"'105381'","'canada'",0
"'105382'","'usa'",0
"'105389'","'usa'",0
"'105395'","'usa'",27
"'1054'","'usa'",37
"'10544'","'usa'",0
"'105441'","'usa'",0
"'105450'","'romania'",15
"'10546'","'germany'",28
"'105475'","'united kingdom'",26
"'105476'","'spain'",22
"'105478'","'united kingdom'",67
"'105502'","'india'",23
"'105503'","'usa'",0
"'105515'","'usa'",19
"'105517'","'canada'",28
"'105533'","'usa'",20
"'105535'","'usa'",24
"'105536'","'usa'",17
"'105551'","'usa'",41
"'105572'","'usa'",0
"'105576'","'usa'",0
"'105580'","'usa'",21
"'105586'","'usa'",23
"'105596'","'canada'",0
"'10560'","'usa'",27
"'10561'","'germany'",16
"'105614'","'usa'",0
"'105627'","'canada'",23
"'105649'","''unknown''",38
"'105664'","'usa'",0
"'105665'","'usa'",29
"'105672'","'usa'",0
"'105677'","'germany'",36
"'1057'","'united kingdom'",19
"'10570'","'singapore'",0
"'105713'","'usa'",30
"'105714'","'usa'",35
"'105716'","'usa'",38
"'105745'","'spain'",0
"'105769'","'usa'",33
"'105771'","'usa'",0
"'105795'","'spain'",24
"'105813'","'usa'",20
"'105829'","'spain'",18
"'105840'","'spain'",19
"'105851'","'spain'",17
"'105869'","'usa'",32
"'105871'","'usa'",0
"'105874'","'canada'",0
"'105881'","'usa'",34
"'10590'","'malaysia'",22
"'105904'","'usa'",35
"'105911'","'usa'",0
"'105917'","'usa'",0
"'105925'","'usa'",0
"'105937'","'usa'",27
"'105948'","'usa'",0
"'105956'","'canada'",30
"'105965'","'spain'",29
"'105968'","'usa'",41
"'105972'","'canada'",0
"'105974'","'usa'",0
"'105979'","'usa'",26
"'105982'","'usa'",54
"'105986'","'usa'",0
"'105987'","'usa'",0
"'106007'","'usa'",29
"'10601'","'canada'",58
"'106018'","'usa'",28
"'106028'","'italy'",39
"'106040'","'france'",29
"'106056'","'usa'",0
"'106059'","'usa'",34
"'106064'","'usa'",0
"'10607'","'usa'",60
"'106078'","'usa'",18
"'106086'","'usa'",9
"'106114'","'usa'",0
"'106128'","'canada'",31
"'106131'","'usa'",32
"'106155'","'italy'",27
"'106173'","'switzerland'",40
"'106179'","'spain'",23
"'10619'","'usa'",33
"'106198'","'canada'",34
"'106206'","''unknown''",62
"'106208'","'philippines'",22
"'106220'","'usa'",16
"'106225'","'usa'",38
"'106230'","'usa'",0
"'106236'","'usa'",43
"'106238'","'usa'",46
"'106245'","'usa'",33
"'106262'","'usa'",30
"'106265'","'usa'",0
"'106280'","''unknown''",0
"'106282'","'usa'",28
"'106294'","'usa'",0
"'1063'","'canada'",19
"'10630'","'canada'",23
"'106302'","'usa'",58
"'106331'","'canada'",0
"'106338'","'australia'",31
"'106369'","'usa'",30
"'106388'","'usa'",27
"'106397'","'usa'",22
"'106398'","'usa'",0
"'106402'","'germany'",28
"'106406'","'usa'",34
"'106411'","'usa'",0
"'106414'","''unknown''",0
"'106417'","'usa'",0
"'106423'","'usa'",0
"'106426'","'netherlands'",48
"'10643'","'usa'",0
"'106434'","'usa'",0
"'106437'","'usa'",35
"'106450'","'usa'",34
"'106453'","'usa'",26
"'106503'","'usa'",52
"'106514'","'usa'",25
"'106534'","'switzerland'",18
"'106538'","'usa'",44
"'10654'","'new zealand'",16
"'106550'","'usa'",0
"'106553'","'canada'",0
"'106583'","'usa'",37
"'106595'","'usa'",27
"'10660'","'switzerland'",37
"'106614'","'usa'",33
"'106632'","'usa'",20
"'106638'","'usa'",22
"'106673'","'usa'",0
"'106678'","'canada'",0
"'10668'","'usa'",0
"'106682'","'usa'",37
"'106683'","'united kingdom'",29
"'106685'","'canada'",48
"'106692'","'usa'",0
"'106714'","'germany'",38
"'106768'","'usa'",23
"'106777'","'canada'",15
"'106782'","'usa'",32
"'106803'","'spain'",22
"'10681'","'netherlands'",0
"'106816'","'usa'",57
"'106821'","'usa'",0
"'106825'","'usa'",0
"'106845'","'usa'",0
"'106846'","'usa'",0
"'106848'","'usa'",0
"'106849'","'usa'",39
"'106862'","'usa'",43
"'106874'","'usa'",33
"'106893'","'united kingdom'",32
"'106895'","'usa'",29
"'106928'","'indonesia'",33
"'106937'","'usa'",43
"'106946'","'usa'",0
"'106948'","'usa'",31
"'106950'","'canada'",0
"'106954'","''unknown''",24
"'10697'","'usa'",20
"'106979'","'usa'",34
"'106988'","'usa'",52
"'10699'","'canada'",0
"'107005'","'usa'",54
"'107020'","'usa'",0
"'107021'","'usa'",45
"'107026'","'usa'",46
"'107042'","'germany'",0
"'107044'","'australia'",24
"'107073'","'usa'",23
"'107087'","'usa'",43
"'107099'","'usa'",27
"'10710'","'usa'",13
"'107103'","'usa'",27
"'107109'","'canada'",0
"'107121'","'usa'",0
"'107133'","'canada'",0
"'107140'","'usa'",0
"'10716'","'usa'",54
"'107170'","'germany'",0
"'107187'","'canada'",69
"'107191'","'usa'",0
"'107208'","'usa'",0
"'107214'","''unknown''",41
"'107216'","'usa'",0
"'107234'","'australia'",38
"'107244'","'usa'",50
"'107252'","'spain'",39
"'107258'","'usa'",0
"'107265'","'usa'",36
"'107270'","'germany'",38
"'107283'","'usa'",0
"'107288'","'usa'",25
"'107289'","'usa'",0
"'10729'","'usa'",35
"'107301'","'united kingdom'",31
"'107305'","'usa'",0
"'107324'","'usa'",0
"'107326'","'usa'",28
"'107329'","'canada'",0
"'107333'","'usa'",0
"'107349'","'spain'",29
"'107376'","'australia'",35
"'107382'","'usa'",22
"'107383'","'usa'",0
"'107394'","'usa'",0
"'107416'","'singapore'",22
"'107431'","'usa'",0
"'107438'","'usa'",20
"'107441'","'spain'",26
"'107447'","'united kingdom'",21
"'107453'","'usa'",18
"'107466'","'germany'",31
"'107473'","'canada'",31
"'107490'","'usa'",17
"'107491'","'usa'",47
"'1075'","'usa'",49
"'10750'","'usa'",24
"'107510'","'portugal'",27
"'107514'","'usa'",8
"'107523'","'usa'",0
"'107531'","'usa'",0
"'10754'","'usa'",38
"'107540'","'usa'",42
"'107577'","'usa'",0
"'107581'","'spain'",35
"'107592'","'usa'",34
"'107594'","'canada'",27
"'107616'","'usa'",0
"'107620'","'usa'",40
"'10764'","'finland'",22
"'107640'","'usa'",0
"'107645'","'spain'",24
"'107654'","'usa'",33
"'107657'","''unknown''",0
"'107663'","'usa'",0
"'107664'","'netherlands'",0
"'107675'","'usa'",40
"'107697'","'united kingdom'",44
"'107718'","'usa'",28
"'107726'","'usa'",21
"'107731'","'usa'",33
"'107736'","'italy'",0
"'107756'","'usa'",55
"'107758'","'usa'",60
"'10776'","'germany'",29
"'107767'","'france'",17
"'107768'","'usa'",54
"'107780'","'canada'",0
"'107784'","'usa'",0
"'107795'","'united kingdom'",28
"'107825'","'canada'",42
"'107834'","'usa'",17
"'107842'","'australia'",0
"'107850'","'usa'",37
"'107852'","'usa'",48
"'107865'","'usa'",0
"'107880'","'canada'",25
"'107889'","'usa'",0
"'107892'","'germany'",41
"'107895'","'usa'",0
"'107899'","'spain'",51
"'107921'","'usa'",47
"'107951'","'germany'",0
"'107960'","'usa'",63
"'107966'","'usa'",0
"'107969'","'usa'",51
"'107972'","'usa'",0
"'107975'","'usa'",49
"'107984'","'united states'",0
"'108005'","'usa'",29
"'108016'","'usa'",61
"'108023'","'united kingdom'",59
"'108044'","'germany'",26
"'108104'","'usa'",56
"'10811'","'united kingdom'",0
"'108123'","'usa'",30
"'108127'","'usa'",0
"'10813'","'usa'",45
"'108130'","'usa'",25
"'108132'","'usa'",0
"'108141'","'usa'",0
"'108143'","'usa'",17
"'108153'","'france'",53
"'108155'","'usa'",29
"'108158'","'usa'",46
"'108182'","'usa'",32
"'10819'","'usa'",27
"'108194'","'usa'",34
"'108197'","'usa'",25
"'108213'","'usa'",55
"'108228'","'usa'",46
"'108237'","'usa'",56
"'108243'","'usa'",14
"'108247'","'usa'",0
"'108254'","'ireland'",18
"'108261'","'usa'",66
"'108264'","'usa'",0
"'108267'","'usa'",0
"'108271'","'usa'",0
"'108272'","'china'",40
"'108275'","'canada'",66
"'108285'","'usa'",22
"'10829'","'usa'",38
"'1083'","'usa'",0
"'10830'","'usa'",21
"'108306'","'usa'",38
"'108332'","'usa'",24
"'108336'","'usa'",0
"'108352'","'usa'",37
"'10836'","'usa'",0
"'108379'","'canada'",39
"'108392'","'usa'",34
"'108397'","'usa'",0
"'108405'","''unknown''",49
"'108406'","'usa'",0
"'108421'","'usa'",0
"'108425'","'germany'",24
"'108445'","'usa'",43
"'108448'","'usa'",22
"'108455'","'usa'",0
"'108478'","''unknown''",0
"'108480'","'venezuela'",0
"'108481'","'canada'",0
"'108485'","'usa'",32
"'108487'","'usa'",42
"'108488'","'usa'",36
"'108493'","'usa'",44
"'108525'","'germany'",33
"'108526'","'usa'",0
"'108535'","'usa'",0
"'108547'","'usa'",35
"'108551'","'france'",28
"'108563'","'usa'",53
"'108569'","'germany'",29
"'10857'","'usa'",38
"'108583'","'canada'",0
"'108593'","'austria'",29
"'108622'","'usa'",25
"'108625'","'canada'",0
"'10863'","'australia'",0
"'108638'","'canada'",0
"'10865'","'germany'",14
"'108685'","'canada'",31
"'108687'","'spain'",28
"'108700'","'usa'",49
"'108706'","'austria'",33
"'108711'","'usa'",55
"'108726'","'spain'",29
"'108747'","'canada'",0
"'108752'","'usa'",31
"'108753'","'usa'",48
"'108763'","'canada'",36
"'108773'","'spain'",57
"'108786'","'usa'",23
"'108789'","'usa'",27
"'108799'","'usa'",0
"'108815'","'usa'",0
"'108827'","'usa'",0
"'108836'","'usa'",29
"'108854'","'usa'",32
"'108860'","'canada'",0
"'108865'","'usa'",0
"'108950'","'usa'",43
"'108997'","'usa'",0
"'109004'","'usa'",0
"'109009'","'usa'",0
"'109012'","'usa'",34
"'109013'","'usa'",39
"'109014'","'usa'",34
"'109029'","'australia'",63
"'109033'","'usa'",0
"'109040'","'france'",26
"'109049'","'usa'",34
"'109069'","'usa'",0
"'109079'","'usa'",51
"'109081'","'usa'",21
"'109082'","'usa'",0
"'109084'","'usa'",44
"'109103'","'usa'",0
"'109107'","'usa'",19
"'109110'","'usa'",54
"'109115'","'usa'",18
"'109122'","'australia'",42
"'109126'","''unknown''",39
"'109131'","'usa'",0
"'109135'","'usa'",29
"'109146'","'usa'",0
"'10917'","'united kingdom'",0
"'109176'","'usa'",43
"'109180'","''unknown''",60
"'10921'","'usa'",65
"'109223'","'switzerland'",31
"'109228'","'usa'",23
"'10924'","'usa'",20
"'109247'","'spain'",47
"'109248'","'italy'",56
"'10927'","''unknown''",31
"'109276'","'usa'",62
"'109278'","'usa'",24
"'109287'","'canada'",19
"'109293'","'usa'",33
"'109295'","'usa'",39
"'10930'","''unknown''",0
"'10932'","'usa'",49
"'109321'","'usa'",0
"'109333'","'portugal'",0
"'109335'","'usa'",0
"'109340'","'australia'",28
"'109344'","'germany'",46
"'109349'","''unknown''",0
"'109356'","'usa'",0
"'109357'","'belgium'",0
"'109360'","'usa'",0
"'109363'","'usa'",19
"'109367'","'usa'",48
"'109370'","'usa'",22
"'109372'","'usa'",34
"'109388'","'usa'",23
"'109399'","'canada'",34
"'109403'","'canada'",27
"'109405'","'germany'",0
"'109410'","'switzerland'",24
"'109412'","'usa'",0
"'109416'","'usa'",23
"'10942'","'usa'",0
"'109420'","'usa'",38
"'109422'","'usa'",31
"'109427'","'singapore'",37
"'10946'","'canada'",0
"'109461'","'usa'",30
"'10949'","'usa'",0
"'109491'","'usa'",40
"'109502'","'usa'",0
"'109503'","'malaysia'",32
"'109508'","'usa'",40
"'10951'","'usa'",62
"'109516'","'usa'",25
"'109518'","'usa'",48
"'109519'","'usa'",32
"'109520'","'united kingdom'",30
"'109544'","'usa'",0
"'109562'","'usa'",0
"'109567'","'usa'",29
"'109574'","'canada'",50
"'10959'","'usa'",57
"'109591'","'germany'",20
"'109605'","'usa'",31
"'109620'","'usa'",37
"'109625'","'usa'",35
"'109639'","''unknown''",22
"'109649'","'usa'",43
"'10965'","'sweden'",22
"'109695'","'usa'",0
"'109700'","'usa'",47
"'109702'","'germany'",31
"'109709'","'usa'",24
"'109727'","'usa'",27
"'109741'","'germany'",26
"'109751'","'united kingdom'",24
"'109752'","'united kingdom'",21
"'109776'","'usa'",0
"'109779'","'usa'",25
"'109780'","'usa'",25
"'109783'","'united kingdom'",0
"'109785'","'usa'",40
"'109789'","'usa'",57
"'109808'","'canada'",42
"'109837'","''unknown''",50
"'109845'","''unknown''",61
"'10985'","'united kingdom'",38
"'109864'","'usa'",0
"'109873'","'usa'",0
"'109899'","'usa'",0
"'109901'","'australia'",59
"'109903'","'usa'",36
"'109916'","'usa'",39
"'109921'","'usa'",0
"'109940'","'usa'",0
"'109949'","'united kingdom'",50
"'109955'","'australia'",0
"'109963'","'usa'",0
"'109971'","'usa'",71
"'109972'","'usa'",0
"'109991'","'usa'",0
"'109998'","'australia'",52
"'110019'","'usa'",0
"'110022'","'australia'",0
"'110029'","'united kingdom'",27
"'110031'","'usa'",0
"'110040'","'usa'",23
"'110044'","'usa'",30
"'11006'","'new zealand'",49
"'110069'","'usa'",18
"'110076'","'canada'",52
"'110093'","'usa'",43
"'110110'","'canada'",25
"'110112'","'usa'",31
"'110127'","'usa'",0
