"bookid","titlewords","authorwords","year","publisher"
"'80'",4,2,"'1995'","'60'"
"'81'",2,2,"'2000'","'61'"
"'83'",8,2,"'1990'","'63'"
"'84'",2,2,"'2000'","'64'"
"'85'",1,2,"'2002'","'65'"
"'86'",13,3,"'1999'","'66'"
"'91'",5,2,"'1991'","'69'"
"'92'",14,4,"'2001'","'70'"
"'93'",13,4,"'2001'","'70'"
"'94'",18,4,"'2001'","'71'"
"'95'",11,2,"'1994'","'9'"
"'96'",5,3,"'1998'","'40'"
"'97'",2,2,"'2001'","'53'"
"'98'",2,2,"'2001'","'53'"
"'99'",8,2,"'2002'","'72'"
"'102'",19,3,"'2000'","'74'"
"'103'",5,2,"'1996'","'57'"
"'104'",4,3,"'1995'","'36'"
"'105'",13,3,"'1986'","'37'"
"'106'",5,3,"'1995'","'75'"
"'108'",7,2,"'2003'","'76'"
"'110'",6,3,"'1992'","'78'"
"'111'",11,2,"'1995'","'40'"
"'112'",14,3,"'1996'","'19'"
"'113'",2,2,"'1994'","'53'"
"'114'",2,2,"'2000'","'74'"
"'115'",3,2,"'2003'","'74'"
"'116'",3,2,"'2003'","'74'"
"'117'",3,2,"'2003'","'57'"
"'118'",2,2,"'2004'","'39'"
"'119'",3,2,"'2001'","'79'"
"'120'",2,2,"'2000'","'80'"
"'121'",6,2,"'2004'","'72'"
"'122'",13,2,"'2002'","'40'"
"'123'",15,2,"'1991'","'28'"
"'124'",3,2,"'1990'","'81'"
"'126'",15,2,"'1996'","'83'"
"'127'",6,2,"'2000'","'40'"
"'128'",16,2,"'2003'","'84'"
"'130'",5,2,"'2002'","'7'"
"'131'",12,2,"'1999'","'9'"
"'132'",5,1,"'1998'","'86'"
"'133'",7,2,"'2002'","'57'"
"'134'",5,3,"'1998'","'66'"
"'135'",5,2,"'1996'","'66'"
"'136'",6,2,"'1992'","'38'"
"'137'",4,3,"'2001'","'40'"
"'138'",5,3,"'1994'","'74'"
"'140'",4,2,"'2003'","'88'"
"'141'",5,2,"'2001'","'89'"
"'144'",1,2,"'2002'","'92'"
"'145'",1,2,"'2002'","'83'"
"'146'",7,2,"'2002'","'39'"
"'149'",1,3,"'1994'","'35'"
"'150'",2,2,"'1993'","'57'"
"'152'",5,2,"'2003'","'96'"
"'153'",6,2,"'1986'","'97'"
"'155'",3,2,"'1997'","'99'"
"'157'",4,2,"'2002'","'101'"
"'158'",3,3,"'1995'","'74'"
"'159'",4,2,"'1988'","'102'"
"'160'",24,2,"'2001'","'46'"
"'161'",2,2,"'1995'","'56'"
"'162'",3,2,"'2000'","'74'"
"'163'",6,2,"'1982'","'40'"
"'164'",7,2,"'2003'","'96'"
"'165'",2,2,"'1995'","'103'"
"'166'",2,2,"'2002'","'57'"
"'167'",3,2,"'1997'","'104'"
"'168'",6,2,"'1995'","'105'"
"'169'",6,3,"'1998'","'26'"
"'170'",3,3,"'2000'","'26'"
"'172'",9,3,"'1994'","'6'"
"'175'",5,2,"'1990'","'109'"
"'176'",3,2,"'1984'","'110'"
"'177'",3,1,"'0'","'111'"
"'178'",4,2,"'2002'","'112'"
"'180'",2,2,"'1994'","'114'"
"'187'",7,2,"'1988'","'113'"
"'188'",9,2,"'2002'","'71'"
"'189'",5,3,"'0'","'115'"
"'193'",9,2,"'2002'","'118'"
"'195'",4,2,"'2003'","'120'"
"'196'",2,2,"'2002'","'121'"
"'197'",2,3,"'1968'","'122'"
"'202'",5,2,"'2000'","'126'"
"'203'",5,2,"'1998'","'66'"
"'205'",6,2,"'2003'","'69'"
"'206'",3,2,"'2002'","'69'"
"'207'",2,3,"'1994'","'28'"
"'208'",1,2,"'1995'","'28'"
"'209'",3,3,"'2001'","'28'"
"'210'",4,2,"'1999'","'28'"
"'211'",4,2,"'1997'","'32'"
"'212'",3,2,"'2000'","'75'"
"'213'",7,3,"'1992'","'35'"
"'214'",7,3,"'1993'","'35'"
"'216'",4,3,"'1997'","'55'"
"'217'",3,3,"'1999'","'35'"
"'218'",3,2,"'1998'","'128'"
"'219'",2,2,"'2000'","'129'"
"'220'",4,2,"'2003'","'73'"
"'221'",12,2,"'2003'","'129'"
"'222'",1,2,"'2003'","'129'"
"'223'",5,2,"'2003'","'130'"
"'224'",4,2,"'1998'","'7'"
"'226'",6,2,"'2001'","'132'"
"'227'",2,2,"'2001'","'74'"
"'228'",3,2,"'2002'","'28'"
"'229'",8,2,"'1996'","'28'"
"'230'",2,2,"'1994'","'57'"
"'231'",2,2,"'2000'","'57'"
"'232'",5,2,"'2001'","'133'"
"'233'",3,2,"'2002'","'134'"
"'234'",2,2,"'2001'","'39'"
"'236'",3,2,"'1996'","'25'"
"'237'",5,2,"'1998'","'40'"
"'238'",2,2,"'2002'","'40'"
"'239'",4,2,"'1999'","'10'"
"'240'",3,2,"'2003'","'135'"
"'241'",3,2,"'1998'","'76'"
"'243'",7,2,"'1998'","'137'"
"'244'",11,3,"'2004'","'88'"
"'245'",10,2,"'1993'","'15'"
"'246'",12,2,"'1996'","'138'"
"'247'",3,2,"'2002'","'139'"
"'248'",4,2,"'2000'","'140'"
"'249'",16,2,"'2003'","'141'"
"'250'",2,2,"'1993'","'28'"
"'251'",13,2,"'1996'","'15'"
"'253'",4,2,"'2001'","'69'"
"'254'",5,2,"'2002'","'38'"
"'255'",2,2,"'2002'","'143'"
"'256'",3,2,"'2001'","'43'"
"'258'",7,3,"'2003'","'144'"
"'260'",10,2,"'2001'","'143'"
"'261'",7,2,"'1998'","'145'"
"'262'",12,2,"'1997'","'145'"
"'263'",6,2,"'1997'","'34'"
"'264'",17,2,"'2002'","'146'"
"'265'",5,2,"'1994'","'99'"
"'267'",11,2,"'1997'","'147'"
"'268'",2,3,"'1994'","'148'"
"'269'",8,6,"'1999'","'109'"
"'270'",3,2,"'2004'","'149'"
"'271'",8,2,"'1998'","'150'"
"'274'",8,2,"'2002'","'151'"
"'275'",8,2,"'2002'","'151'"
"'276'",8,2,"'2002'","'151'"
"'277'",21,2,"'1997'","'66'"
"'278'",2,2,"'1997'","'152'"
"'280'",3,3,"'1990'","'154'"
"'281'",2,3,"'2003'","'155'"
"'282'",4,2,"'2003'","'19'"
"'283'",3,2,"'2000'","'83'"
"'284'",4,3,"'1988'","'156'"
"'285'",4,2,"'1996'","'156'"
"'286'",2,2,"'2004'","'157'"
"'287'",5,2,"'2001'","'105'"
"'288'",2,2,"'1989'","'39'"
"'289'",4,2,"'0'","'158'"
"'292'",6,2,"'1994'","'75'"
"'293'",2,2,"'1996'","'160'"
"'294'",11,2,"'2002'","'161'"
"'298'",7,2,"'2003'","'164'"
"'300'",7,2,"'2002'","'164'"
"'301'",2,2,"'2002'","'165'"
"'303'",4,2,"'1998'","'167'"
"'304'",8,2,"'2002'","'140'"
"'305'",4,2,"'1999'","'19'"
"'306'",3,2,"'2001'","'168'"
"'307'",3,2,"'1996'","'169'"
"'308'",7,2,"'1997'","'52'"
"'309'",12,2,"'1999'","'66'"
"'310'",4,2,"'2001'","'28'"
"'311'",4,2,"'1958'","'170'"
"'312'",4,2,"'1990'","'171'"
"'313'",3,3,"'1995'","'172'"
"'319'",5,2,"'2000'","'178'"
"'320'",2,2,"'2002'","'179'"
"'321'",3,2,"'1997'","'53'"
"'322'",4,2,"'1999'","'28'"
"'323'",12,2,"'1999'","'180'"
"'324'",1,2,"'1998'","'35'"
"'325'",6,3,"'2001'","'181'"
"'326'",4,2,"'1997'","'28'"
"'328'",6,2,"'2000'","'40'"
"'329'",1,3,"'2000'","'41'"
"'330'",3,3,"'2004'","'182'"
"'331'",4,3,"'1994'","'105'"
"'336'",3,2,"'1992'","'10'"
"'337'",4,2,"'1992'","'28'"
"'338'",6,3,"'1998'","'66'"
"'339'",1,2,"'2002'","'169'"
"'340'",4,2,"'2000'","'187'"
"'341'",3,2,"'1990'","'188'"
"'342'",15,2,"'2003'","'133'"
"'343'",5,2,"'1990'","'7'"
"'344'",3,2,"'1998'","'40'"
"'345'",6,2,"'2000'","'35'"
"'346'",5,2,"'1996'","'189'"
"'348'",6,2,"'1999'","'74'"
"'349'",8,2,"'2002'","'190'"
"'351'",5,2,"'1996'","'192'"
"'352'",7,1,"'0'","'193'"
"'355'",2,2,"'2001'","'43'"
"'356'",5,2,"'2000'","'196'"
"'357'",5,3,"'2003'","'56'"
"'359'",5,2,"'2003'","'53'"
"'360'",4,2,"'1988'","'35'"
"'361'",5,2,"'2001'","'66'"
"'362'",2,2,"'1991'","'73'"
"'363'",26,2,"'1996'","'88'"
"'364'",2,2,"'1993'","'73'"
"'366'",5,2,"'2001'","'28'"
"'367'",1,2,"'1985'","'92'"
"'368'",1,2,"'1990'","'92'"
"'369'",6,2,"'2000'","'134'"
"'370'",2,2,"'1992'","'154'"
"'371'",7,2,"'1992'","'25'"
"'372'",12,2,"'1996'","'25'"
"'373'",2,2,"'2000'","'40'"
"'376'",3,2,"'2003'","'198'"
"'377'",3,2,"'2004'","'79'"
"'379'",10,2,"'2000'","'200'"
"'383'",2,3,"'1988'","'204'"
"'388'",3,2,"'1991'","'209'"
"'389'",3,3,"'1968'","'139'"
"'390'",3,2,"'1976'","'35'"
"'392'",5,2,"'2002'","'210'"
"'393'",11,2,"'1989'","'211'"
"'395'",6,2,"'1998'","'211'"
"'396'",3,2,"'2000'","'212'"
"'398'",5,2,"'2001'","'1'"
"'399'",12,2,"'2003'","'213'"
"'401'",9,2,"'2000'","'156'"
"'402'",3,3,"'1997'","'40'"
"'403'",5,2,"'1989'","'41'"
"'404'",9,2,"'1996'","'143'"
"'405'",2,3,"'1991'","'66'"
"'406'",12,2,"'1998'","'38'"
"'409'",5,2,"'2002'","'69'"
"'410'",2,2,"'1992'","'154'"
"'411'",1,2,"'2000'","'168'"
"'412'",4,2,"'1998'","'215'"
"'413'",3,2,"'1990'","'92'"
"'414'",1,2,"'1999'","'133'"
"'415'",3,2,"'1995'","'36'"
"'416'",7,2,"'1993'","'9'"
"'418'",2,3,"'1993'","'205'"
"'423'",10,2,"'1997'","'169'"
"'425'",9,3,"'1997'","'220'"
"'428'",10,2,"'1982'","'223'"
"'440'",13,2,"'1990'","'231'"
"'445'",5,2,"'1997'","'52'"
"'451'",2,2,"'2001'","'147'"
"'452'",2,2,"'1982'","'28'"
"'453'",2,2,"'1985'","'28'"
"'454'",6,2,"'1991'","'109'"
"'456'",3,2,"'2000'","'235'"
"'457'",2,2,"'1992'","'236'"
"'458'",8,2,"'1990'","'92'"
"'459'",9,2,"'2000'","'39'"
"'460'",6,2,"'1997'","'237'"
"'465'",7,2,"'1994'","'242'"
"'467'",5,2,"'1989'","'243'"
"'469'",4,3,"'1992'","'245'"
"'470'",3,2,"'1965'","'36'"
"'471'",4,2,"'1977'","'36'"
"'474'",2,2,"'2000'","'39'"
"'475'",3,2,"'2004'","'72'"
"'476'",3,3,"'1996'","'56'"
"'477'",2,2,"'1998'","'72'"
"'478'",5,2,"'1999'","'28'"
"'479'",2,2,"'2003'","'61'"
"'480'",2,2,"'2002'","'140'"
"'481'",3,2,"'2003'","'248'"
"'482'",12,2,"'1997'","'7'"
"'483'",3,2,"'1999'","'19'"
"'484'",5,2,"'1997'","'133'"
"'485'",2,2,"'2003'","'36'"
"'486'",6,2,"'1998'","'40'"
"'487'",10,3,"'1999'","'200'"
"'488'",9,2,"'2002'","'249'"
"'489'",7,2,"'1997'","'75'"
"'490'",3,3,"'1990'","'36'"
"'492'",7,2,"'1996'","'40'"
"'493'",5,2,"'1995'","'41'"
"'497'",10,2,"'1991'","'140'"
"'498'",13,2,"'1996'","'42'"
"'499'",1,2,"'2002'","'28'"
"'500'",7,2,"'2002'","'252'"
"'501'",4,3,"'1999'","'152'"
"'503'",2,2,"'2001'","'40'"
"'504'",10,2,"'2001'","'76'"
"'505'",4,2,"'2001'","'74'"
"'507'",12,3,"'2002'","'160'"
"'509'",5,2,"'2000'","'38'"
"'510'",3,2,"'2003'","'185'"
"'511'",2,2,"'2000'","'168'"
"'513'",7,2,"'2002'","'253'"
"'514'",2,2,"'2003'","'63'"
"'517'",3,2,"'1989'","'66'"
"'518'",4,2,"'1990'","'66'"
"'519'",6,2,"'1994'","'66'"
"'520'",3,2,"'2000'","'66'"
"'521'",5,2,"'1990'","'38'"
"'523'",5,2,"'1998'","'255'"
"'524'",5,2,"'1997'","'35'"
"'525'",3,2,"'2000'","'89'"
"'526'",5,3,"'1992'","'6'"
"'527'",3,3,"'2001'","'256'"
"'528'",4,2,"'2001'","'57'"
"'529'",11,2,"'2002'","'83'"
"'531'",9,3,"'1994'","'105'"
"'534'",1,2,"'1996'","'10'"
"'536'",10,2,"'2003'","'258'"
"'541'",3,2,"'1941'","'105'"
"'542'",5,2,"'2002'","'53'"
"'543'",8,2,"'0'","'263'"
"'544'",3,2,"'2002'","'264'"
"'545'",2,2,"'1995'","'265'"
"'546'",13,4,"'1993'","'266'"
"'548'",9,2,"'1998'","'53'"
"'550'",15,2,"'1995'","'268'"
"'551'",11,3,"'1996'","'269'"
"'554'",15,2,"'2002'","'272'"
"'556'",1,3,"'1993'","'81'"
"'557'",2,2,"'1996'","'134'"
"'558'",3,2,"'1991'","'39'"
"'559'",6,2,"'1996'","'40'"
"'560'",5,3,"'1990'","'40'"
"'562'",7,2,"'2001'","'7'"
"'563'",5,3,"'2002'","'253'"
"'564'",3,2,"'2003'","'44'"
"'565'",4,2,"'1998'","'154'"
"'566'",2,2,"'2003'","'88'"
"'567'",2,2,"'2001'","'57'"
"'568'",6,2,"'2002'","'275'"
"'569'",2,2,"'2001'","'185'"
"'571'",7,2,"'1992'","'66'"
"'572'",9,3,"'1992'","'105'"
"'574'",3,3,"'1986'","'66'"
"'575'",2,2,"'1996'","'39'"
"'576'",2,2,"'2001'","'168'"
"'578'",1,3,"'2002'","'7'"
"'579'",7,2,"'2002'","'35'"
"'580'",9,2,"'1999'","'56'"
"'581'",2,2,"'2000'","'213'"
"'582'",6,2,"'1992'","'28'"
"'583'",2,3,"'2002'","'36'"
"'584'",2,2,"'2001'","'278'"
"'585'",2,2,"'2003'","'134'"
"'586'",2,2,"'2002'","'28'"
"'587'",3,2,"'2002'","'134'"
"'589'",3,2,"'1998'","'73'"
"'590'",2,2,"'1994'","'73'"
"'591'",7,2,"'2002'","'182'"
"'592'",6,2,"'1989'","'25'"
"'593'",2,2,"'1997'","'73'"
"'594'",2,2,"'1998'","'57'"
"'595'",2,2,"'2004'","'7'"
"'596'",3,2,"'1997'","'36'"
"'597'",2,2,"'1995'","'36'"
"'598'",7,3,"'2004'","'40'"
"'599'",1,2,"'2003'","'280'"
"'601'",1,2,"'2003'","'280'"
"'602'",2,3,"'1988'","'176'"
"'603'",2,3,"'1970'","'254'"
"'604'",4,2,"'1986'","'39'"
"'605'",1,2,"'2000'","'7'"
"'606'",11,2,"'2000'","'40'"
"'607'",8,3,"'2001'","'88'"
"'608'",2,2,"'1981'","'68'"
"'609'",7,2,"'1986'","'28'"
"'610'",6,2,"'1991'","'28'"
"'612'",3,2,"'1990'","'28'"
"'614'",3,2,"'2000'","'43'"
"'615'",5,2,"'1998'","'281'"
"'616'",3,2,"'1996'","'154'"
"'617'",11,1,"'1993'","'282'"
"'618'",1,2,"'1993'","'185'"
"'620'",3,2,"'2004'","'284'"
"'621'",2,2,"'1992'","'28'"
"'622'",7,2,"'2000'","'39'"
"'623'",5,3,"'2002'","'160'"
"'627'",2,2,"'1996'","'285'"
"'629'",3,2,"'2000'","'25'"
"'630'",6,3,"'1999'","'287'"
"'632'",9,3,"'1997'","'289'"
"'637'",2,2,"'1995'","'41'"
"'638'",4,2,"'1992'","'41'"
"'639'",3,2,"'1997'","'92'"
"'640'",19,1,"'2004'","'291'"
"'641'",4,2,"'1990'","'41'"
"'643'",5,2,"'2003'","'75'"
"'644'",10,2,"'2004'","'182'"
"'645'",13,2,"'2004'","'292'"
"'646'",6,2,"'1992'","'74'"
"'647'",5,3,"'0'","'293'"
"'648'",4,2,"'1999'","'10'"
"'649'",3,2,"'2002'","'36'"
"'650'",3,2,"'1990'","'246'"
"'652'",9,2,"'2003'","'292'"
"'653'",8,2,"'2001'","'180'"
"'654'",8,2,"'1998'","'180'"
"'655'",8,2,"'1998'","'151'"
"'657'",6,2,"'1991'","'92'"
"'658'",3,2,"'1997'","'57'"
"'659'",4,2,"'1992'","'92'"
"'660'",10,2,"'2002'","'66'"
"'661'",3,2,"'2000'","'137'"
"'663'",3,3,"'2004'","'35'"
"'664'",12,2,"'2004'","'295'"
"'665'",4,2,"'1994'","'39'"
"'666'",3,2,"'2002'","'96'"
"'667'",1,2,"'1989'","'19'"
"'668'",8,2,"'2003'","'40'"
"'669'",3,2,"'1989'","'171'"
"'670'",8,2,"'1995'","'38'"
"'671'",8,2,"'2000'","'66'"
"'673'",2,3,"'1999'","'32'"
"'674'",3,2,"'2003'","'284'"
"'675'",2,2,"'2003'","'284'"
"'677'",1,2,"'1994'","'171'"
"'678'",7,2,"'1993'","'74'"
"'679'",8,3,"'1995'","'74'"
"'680'",3,2,"'2001'","'7'"
"'681'",2,2,"'1994'","'38'"
"'682'",18,2,"'1998'","'297'"
"'684'",13,2,"'1987'","'34'"
"'686'",2,2,"'1999'","'298'"
"'687'",17,2,"'1996'","'273'"
"'689'",4,2,"'1996'","'128'"
"'690'",2,2,"'2002'","'175'"
"'691'",3,2,"'2002'","'103'"
"'696'",11,2,"'2000'","'7'"
"'699'",7,2,"'1998'","'196'"
"'700'",3,2,"'1971'","'84'"
"'701'",5,2,"'1992'","'105'"
"'703'",8,2,"'1993'","'303'"
"'704'",5,2,"'1995'","'10'"
"'705'",17,2,"'2000'","'304'"
"'706'",3,2,"'2002'","'55'"
"'707'",8,2,"'1998'","'74'"
"'708'",7,2,"'2000'","'56'"
"'710'",5,3,"'2001'","'161'"
"'711'",5,2,"'1982'","'28'"
"'712'",7,2,"'1993'","'306'"
"'713'",2,3,"'2001'","'56'"
"'714'",11,2,"'2004'","'69'"
"'715'",4,2,"'2003'","'307'"
"'716'",6,2,"'1999'","'44'"
"'717'",5,2,"'2002'","'303'"
"'718'",8,2,"'1996'","'140'"
"'719'",5,2,"'1996'","'28'"
"'720'",3,2,"'2000'","'7'"
"'721'",2,2,"'1990'","'92'"
"'722'",4,2,"'1997'","'92'"
"'724'",3,2,"'1993'","'214'"
"'725'",1,2,"'1987'","'308'"
"'726'",6,1,"'2000'","'114'"
"'727'",5,3,"'1973'","'308'"
"'728'",5,1,"'2000'","'40'"
"'729'",1,2,"'0'","'309'"
"'730'",5,2,"'1989'","'40'"
"'731'",4,2,"'1972'","'310'"
"'735'",5,2,"'2002'","'114'"
"'739'",4,2,"'1987'","'120'"
"'746'",6,2,"'1994'","'99'"
"'747'",3,2,"'1999'","'126'"
"'748'",5,2,"'1999'","'319'"
"'749'",4,2,"'2003'","'129'"
"'750'",2,2,"'2000'","'74'"
"'751'",5,2,"'1999'","'73'"
"'752'",3,2,"'2001'","'256'"
"'753'",7,2,"'2000'","'172'"
"'754'",6,3,"'1999'","'143'"
"'755'",17,2,"'1999'","'69'"
"'757'",2,2,"'2002'","'7'"
"'758'",4,2,"'1994'","'139'"
"'759'",2,2,"'2001'","'129'"
"'760'",2,2,"'1997'","'9'"
"'761'",1,3,"'1999'","'141'"
"'762'",2,2,"'2000'","'320'"
"'763'",6,2,"'1999'","'143'"
"'764'",3,3,"'2002'","'160'"
"'765'",5,2,"'2000'","'160'"
"'766'",9,3,"'1999'","'160'"
"'767'",5,2,"'2000'","'135'"
"'768'",4,3,"'2000'","'321'"
"'769'",8,2,"'1999'","'150'"
"'770'",4,2,"'1993'","'322'"
"'771'",4,2,"'1998'","'74'"
"'772'",6,2,"'2000'","'135'"
"'773'",3,3,"'2000'","'154'"
"'774'",6,2,"'1988'","'56'"
"'775'",3,2,"'2000'","'323'"
"'776'",2,2,"'2003'","'74'"
"'777'",3,2,"'2002'","'74'"
"'778'",3,2,"'2001'","'324'"
"'779'",2,2,"'1999'","'43'"
"'780'",15,2,"'1992'","'73'"
"'781'",10,2,"'1986'","'180'"
"'782'",6,3,"'2000'","'141'"
"'783'",11,2,"'1997'","'325'"
"'784'",2,2,"'2001'","'256'"
"'785'",3,2,"'2002'","'172'"
"'786'",8,2,"'1992'","'32'"
"'787'",4,2,"'2001'","'69'"
"'788'",9,3,"'2001'","'10'"
"'789'",2,2,"'2002'","'69'"
"'790'",5,3,"'2000'","'160'"
"'792'",4,2,"'2002'","'256'"
"'793'",5,2,"'1999'","'160'"
"'795'",4,2,"'2000'","'28'"
"'796'",4,3,"'1993'","'57'"
"'797'",10,2,"'1984'","'198'"
"'798'",2,2,"'0'","'326'"
"'799'",5,2,"'1995'","'132'"
"'800'",1,2,"'1985'","'154'"
"'801'",10,2,"'1999'","'143'"
"'802'",2,2,"'2001'","'95'"
"'804'",4,3,"'1987'","'308'"
"'808'",1,2,"'1996'","'329'"
"'810'",6,2,"'2000'","'331'"
"'811'",3,2,"'0'","'332'"
"'812'",17,2,"'2001'","'37'"
"'814'",6,2,"'2001'","'99'"
"'820'",2,2,"'2002'","'308'"
"'822'",12,3,"'2001'","'295'"
"'824'",8,2,"'1997'","'99'"
"'827'",2,2,"'2002'","'339'"
"'828'",5,2,"'1995'","'340'"
"'831'",4,2,"'1998'","'342'"
"'832'",3,2,"'1999'","'154'"
"'833'",7,2,"'1996'","'66'"
"'834'",5,2,"'2001'","'72'"
"'835'",3,2,"'1993'","'343'"
"'836'",1,2,"'2001'","'66'"
"'839'",2,2,"'1993'","'346'"
"'842'",3,2,"'1992'","'348'"
"'845'",5,3,"'1998'","'350'"
"'846'",7,2,"'1994'","'343'"
"'847'",7,2,"'2003'","'164'"
"'848'",6,2,"'1999'","'343'"
"'849'",2,2,"'1999'","'351'"
"'851'",4,3,"'1994'","'57'"
"'852'",6,2,"'1997'","'82'"
"'853'",8,2,"'1993'","'109'"
"'854'",15,2,"'1998'","'171'"
"'855'",11,3,"'1998'","'39'"
"'858'",9,2,"'1989'","'353'"
"'859'",5,2,"'1986'","'74'"
"'861'",2,3,"'1994'","'7'"
"'862'",2,2,"'1997'","'100'"
"'863'",11,2,"'2001'","'35'"
"'866'",1,2,"'1980'","'7'"
"'868'",4,2,"'2001'","'354'"
"'869'",2,2,"'1996'","'28'"
"'870'",1,2,"'1998'","'181'"
"'871'",12,2,"'1977'","'353'"
"'873'",2,2,"'1996'","'28'"
"'874'",4,2,"'2000'","'49'"
"'875'",7,2,"'1995'","'355'"
"'876'",15,3,"'1998'","'200'"
"'877'",13,2,"'1999'","'28'"
"'878'",1,2,"'1999'","'356'"
"'879'",5,2,"'2002'","'169'"
"'880'",2,2,"'2000'","'28'"
"'881'",5,2,"'1998'","'357'"
"'882'",1,2,"'2001'","'10'"
"'883'",5,3,"'1998'","'6'"
"'885'",4,2,"'2002'","'292'"
"'886'",11,3,"'1992'","'41'"
"'887'",4,3,"'2002'","'57'"
"'889'",4,2,"'1997'","'131'"
"'890'",9,2,"'1988'","'92'"
"'893'",2,3,"'1989'","'9'"
"'896'",7,2,"'1998'","'362'"
"'897'",3,2,"'2001'","'26'"
"'898'",8,3,"'1999'","'26'"
"'899'",5,3,"'1998'","'25'"
"'900'",6,3,"'2000'","'246'"
"'901'",4,3,"'1994'","'246'"
"'902'",9,3,"'2001'","'25'"
"'903'",10,2,"'2001'","'363'"
"'904'",10,2,"'2001'","'363'"
"'905'",15,2,"'2001'","'363'"
"'907'",5,2,"'2001'","'25'"
"'908'",6,2,"'2001'","'25'"
"'912'",8,2,"'2000'","'355'"
"'915'",6,2,"'1995'","'28'"
"'916'",5,2,"'1994'","'97'"
"'917'",12,2,"'2003'","'367'"
"'919'",6,2,"'1993'","'122'"
"'921'",4,2,"'1994'","'30'"
"'922'",5,2,"'1992'","'30'"
"'923'",7,2,"'1990'","'109'"
"'924'",6,3,"'1987'","'180'"
"'925'",1,2,"'0'","'369'"
"'926'",3,2,"'2004'","'57'"
"'927'",10,2,"'2002'","'370'"
"'932'",12,3,"'2000'","'109'"
"'933'",7,2,"'1990'","'40'"
"'935'",9,2,"'2001'","'28'"
"'936'",7,2,"'2003'","'374'"
"'937'",6,2,"'2002'","'55'"
"'938'",13,3,"'2000'","'375'"
"'939'",3,3,"'1995'","'100'"
"'941'",5,2,"'2001'","'377'"
"'946'",5,2,"'2000'","'381'"
"'947'",6,3,"'1992'","'41'"
"'949'",2,2,"'1999'","'7'"
"'950'",2,2,"'1999'","'73'"
"'953'",6,4,"'1992'","'198'"
"'954'",4,2,"'1992'","'19'"
"'956'",1,2,"'1982'","'35'"
"'959'",2,2,"'1992'","'7'"
"'960'",14,2,"'1995'","'386'"
"'962'",2,2,"'1981'","'81'"
"'963'",3,2,"'2003'","'74'"
"'964'",4,2,"'1991'","'40'"
"'965'",6,3,"'1998'","'134'"
"'966'",1,3,"'1998'","'131'"
"'967'",3,2,"'2001'","'57'"
"'968'",2,2,"'1999'","'96'"
"'973'",9,2,"'2001'","'92'"
"'974'",3,3,"'1999'","'28'"
"'975'",3,2,"'1999'","'57'"
"'976'",2,2,"'2000'","'387'"
"'978'",3,2,"'2004'","'134'"
"'979'",7,2,"'1992'","'181'"
"'981'",3,2,"'1996'","'61'"
"'982'",4,2,"'1995'","'388'"
"'985'",6,4,"'2000'","'26'"
"'989'",2,2,"'2002'","'390'"
"'992'",8,2,"'2002'","'35'"
"'994'",2,2,"'1983'","'36'"
"'995'",4,2,"'1993'","'74'"
"'996'",1,2,"'1999'","'7'"
"'998'",3,3,"'2002'","'41'"
"'999'",8,2,"'1998'","'25'"
"'1001'",2,2,"'2003'","'246'"
"'1002'",4,2,"'1999'","'171'"
"'1003'",14,3,"'2003'","'149'"
"'1005'",2,2,"'1994'","'36'"
"'1006'",3,2,"'2003'","'394'"
"'1011'",10,2,"'1995'","'57'"
