"artistid","numscrobbles","numlistens","rock","electronic","indie","pop","hiphop"
"'75'",2681864,216731,"f","t","f","t","f"
"'76'",1811094,205230,"f","t","f","t","f"
"'77'",15950929,1276937,"f","f","f","t","f"
"'80'",22002427,1316415,"f","t","f","f","f"
"'81'",75107790,1974625,"f","t","f","f","f"
"'84'",30865064,1078194,"f","t","t","t","f"
"'85'",4012805,550956,"f","f","f","t","f"
"'86'",20836912,834690,"f","f","f","t","f"
"'88'",136212204,3302065,"t","t","f","f","t"
"'89'",225108274,3512631,"f","t","f","t","f"
"'90'",10576603,604306,"f","t","f","f","f"
"'91'",1994480,260441,"f","f","f","t","f"
"'93'",10943495,453620,"f","t","f","f","f"
"'94'",2998019,172400,"f","t","f","f","f"
"'95'",9243280,756779,"f","f","f","t","f"
"'96'",47888245,1854649,"t","f","f","f","f"
"'97'",19918256,1309432,"f","f","f","t","f"
"'98'",2828466,259962,"f","t","f","f","f"
"'99'",14681087,1023457,"t","f","f","t","f"
"'100'",2932578,380107,"f","f","f","t","f"
"'103'",16573966,559965,"f","f","f","f","f"
"'107'",31914582,774080,"f","t","f","f","f"
"'126'",11649268,467096,"t","t","t","f","f"
"'132'",2204150,138559,"f","t","f","f","f"
"'138'",2488176,148211,"t","f","f","f","f"
"'146'",2221226,249030,"f","t","f","f","f"
"'151'",6212536,391987,"f","t","f","f","f"
"'152'",67636745,739651,"t","f","f","f","f"
"'154'",416618395,4498107,"t","f","t","f","f"
"'155'",37652421,1729343,"t","f","f","t","f"
"'156'",8100210,248747,"t","t","f","f","f"
"'157'",111489321,3250022,"f","f","f","t","f"
"'159'",132436116,2732576,"t","f","f","f","f"
"'161'",24549506,1374634,"f","f","f","t","f"
"'162'",40824213,627027,"t","f","f","f","f"
"'163'",266122926,2838826,"t","f","f","f","f"
"'165'",3422804,280751,"f","t","f","f","f"
"'166'",49817207,2062747,"t","f","f","f","f"
"'167'",24364006,1152373,"t","t","f","t","f"
"'170'",29001039,647551,"t","f","t","f","f"
"'171'",32341881,1515727,"t","f","t","t","f"
"'172'",40697162,1485103,"t","f","f","f","f"
"'173'",170465807,2544208,"t","f","t","f","f"
"'174'",35276257,718786,"f","t","f","f","f"
"'175'",11052679,678196,"f","t","f","f","f"
"'176'",43776473,1495847,"t","f","f","f","f"
"'178'",3381635,183406,"t","f","f","f","f"
"'180'",19306693,1030095,"t","f","f","t","f"
"'181'",24250675,364189,"f","f","f","f","f"
"'182'",61198071,2300616,"t","f","t","t","f"
"'183'",45960969,1506687,"f","t","f","t","f"
"'184'",38668473,1913417,"f","f","t","t","f"
"'185'",5913921,383593,"t","f","f","t","f"
"'186'",11718489,230544,"t","f","f","f","f"
"'187'",21582045,1340061,"f","f","f","t","f"
"'188'",67776521,753189,"t","f","f","f","f"
"'189'",22334469,467674,"t","f","f","f","f"
"'190'",308483913,3923534,"t","f","f","f","f"
"'191'",51142832,2027334,"t","f","f","t","f"
"'192'",39572216,2248938,"t","f","f","t","f"
"'193'",16509392,1257529,"t","f","f","t","f"
"'194'",3292779,102266,"f","f","f","f","f"
"'195'",82609231,1725697,"t","f","t","f","f"
"'196'",71168471,1272081,"f","f","t","f","f"
"'197'",78424459,1352932,"t","f","f","f","f"
"'198'",203395505,3317621,"t","f","f","f","f"
"'199'",158112818,2405259,"t","f","t","f","f"
"'200'",23987433,617659,"t","f","f","f","f"
"'202'",39493760,1522715,"t","f","t","f","f"
"'203'",76174415,2683345,"t","f","t","t","f"
"'204'",49246821,1648169,"f","f","t","f","f"
"'205'",43769004,1113547,"f","f","t","t","f"
"'206'",89731553,2742332,"t","f","t","f","f"
"'207'",277497170,3257309,"t","f","t","f","f"
"'208'",23285352,894724,"t","f","t","f","f"
"'209'",109253184,2188494,"t","f","f","f","f"
"'210'",100066191,2401146,"t","f","t","f","f"
"'211'",57919387,1449870,"t","f","t","t","f"
"'212'",133602170,2468160,"t","f","f","f","f"
"'213'",6131037,318705,"f","f","f","f","f"
"'214'",8965017,407435,"f","f","t","f","f"
"'215'",32699096,1456271,"t","f","t","f","f"
"'216'",10911912,507738,"t","f","t","f","f"
"'217'",156119017,2713231,"t","f","t","f","f"
"'218'",5614823,230666,"t","f","t","f","f"
"'219'",18703342,760076,"f","f","t","f","f"
"'220'",254812526,4353976,"t","f","f","f","f"
"'221'",36074416,1602225,"t","f","t","t","f"
"'222'",113429978,2267864,"t","f","t","f","f"
"'223'",50188423,1595990,"t","f","t","f","f"
"'225'",103820503,2137526,"t","f","t","f","f"
"'226'",118621230,2302347,"t","f","f","f","f"
"'227'",447578456,3313394,"t","f","f","f","f"
"'228'",154830142,3239670,"t","f","t","f","f"
"'229'",185837405,4185798,"t","f","t","f","f"
"'230'",165569394,3487707,"t","f","f","f","f"
"'231'",40705820,940098,"f","f","t","f","f"
"'232'",7352342,277451,"t","f","t","f","f"
"'233'",160696539,2043403,"t","t","f","f","f"
"'234'",193751978,4031485,"t","f","f","f","f"
"'235'",44632233,1406596,"t","f","t","f","f"
"'236'",18580930,915131,"t","f","t","t","f"
"'237'",23050691,936408,"f","t","t","f","f"
"'238'",102868442,2438424,"f","t","f","f","f"
"'239'",5462549,638671,"f","f","f","f","t"
"'241'",7239777,831305,"f","f","f","t","f"
"'246'",5428719,231666,"f","f","f","f","f"
"'247'",5455459,467696,"f","f","f","f","f"
"'248'",3556237,298124,"f","f","f","f","t"
"'249'",21702893,1257337,"f","f","f","f","t"
"'250'",61088579,1976117,"f","f","f","f","f"
"'251'",17234338,1373960,"f","f","f","t","f"
"'252'",2711775,377473,"f","f","f","f","f"
"'253'",23111544,1588425,"t","f","f","t","f"
"'255'",1304652,50302,"f","f","f","f","t"
"'256'",3285795,133839,"f","f","f","t","f"
"'257'",52946745,2177232,"f","f","f","t","f"
"'258'",8022027,865515,"t","f","f","t","f"
"'259'",1785570,120199,"f","f","f","f","t"
"'260'",1977650,245187,"f","f","f","f","f"
"'261'",8064776,313038,"f","f","f","f","f"
"'262'",13653253,1188049,"f","f","f","f","t"
"'263'",7411374,544725,"f","f","f","f","f"
"'264'",749161,73338,"f","f","f","f","f"
"'265'",21264962,1212546,"f","f","f","t","f"
"'266'",20194627,932111,"f","f","f","f","f"
"'267'",41549745,1785903,"f","f","f","f","t"
"'268'",3355113,431391,"t","f","f","t","f"
"'270'",3931154,194874,"f","f","f","f","f"
"'271'",20015826,973874,"f","f","f","f","t"
"'272'",2593355,423804,"f","f","f","f","t"
"'273'",3240610,460485,"f","f","f","f","t"
"'275'",3382778,388159,"f","f","f","f","f"
"'276'",16276935,864802,"f","f","f","f","t"
"'278'",48332937,2009863,"f","f","f","f","t"
"'279'",8973575,793055,"f","f","f","t","f"
"'283'",4131603,155131,"f","f","f","f","f"
"'284'",6515250,468266,"f","f","f","f","t"
"'285'",17055463,1170168,"f","f","f","t","f"
"'286'",5910627,588865,"f","f","f","f","f"
"'287'",4258185,599800,"f","f","f","t","f"
"'288'",151777357,4216545,"f","f","f","t","f"
"'289'",166575231,2986957,"f","f","f","t","f"
"'290'",9733775,824636,"f","f","f","t","f"
"'291'",55428652,2212100,"t","f","f","t","f"
"'292'",113927312,2583273,"f","f","f","t","f"
"'293'",11374219,832139,"t","f","f","t","f"
"'294'",24451362,1521003,"f","f","f","t","f"
"'295'",116778755,3276073,"f","f","f","t","f"
"'296'",15236165,1043801,"f","f","f","t","f"
"'297'",7210374,264247,"t","f","f","f","f"
"'298'",61182518,2019445,"f","f","f","t","f"
"'299'",28933728,1910126,"f","f","f","t","f"
"'300'",112826734,3465515,"t","f","t","t","f"
"'301'",43852833,2115359,"f","f","f","t","f"
"'302'",56297958,2257139,"t","f","f","t","f"
"'303'",83220020,1893680,"t","f","t","f","f"
"'304'",7031498,299594,"f","f","f","t","f"
"'305'",3342674,293396,"f","f","f","t","f"
"'306'",65111485,3132591,"f","f","f","t","t"
"'307'",4693167,254675,"t","f","f","t","f"
"'308'",4211654,473121,"f","f","f","t","f"
"'309'",5138459,509358,"f","f","f","t","f"
"'310'",38859650,2105947,"f","f","f","t","f"
"'311'",15282732,1293441,"f","f","f","t","f"
"'312'",5738240,648537,"f","f","f","t","t"
"'314'",18584410,1545965,"f","f","f","t","t"
"'316'",41686810,1725440,"t","f","f","t","f"
"'317'",10469535,1148106,"f","f","f","t","t"
"'318'",17345892,909492,"f","f","f","t","f"
"'320'",17043416,1646074,"f","f","f","t","t"
"'321'",15619796,556435,"t","f","f","t","f"
"'322'",5433607,735608,"f","f","f","t","f"
"'323'",11647666,479071,"f","f","f","t","f"
"'324'",24362362,905111,"t","f","t","t","f"
"'325'",10190149,637320,"f","f","f","t","f"
"'326'",8335352,737427,"f","f","f","t","f"
"'327'",40581261,2425757,"f","f","f","f","t"
"'328'",73910224,2506254,"f","t","f","f","f"
"'329'",60875023,2526002,"f","f","f","t","f"
"'330'",29983171,2298667,"f","f","f","f","t"
"'331'",165054154,4051647,"f","f","f","f","t"
"'332'",10581955,1094774,"f","f","f","t","f"
"'333'",99503999,2419184,"t","f","f","t","f"
"'340'",12104782,960874,"f","f","f","t","f"
"'342'",20963094,1318012,"f","f","f","t","f"
"'343'",2793743,176550,"f","f","f","t","f"
"'344'",108764384,1919419,"f","f","f","t","f"
"'348'",10893023,373414,"t","f","f","t","f"
"'349'",25241508,1908511,"f","f","f","t","f"
"'350'",1944323,132119,"f","f","f","t","f"
"'351'",2501479,356477,"f","f","f","t","f"
"'353'",5674301,376957,"t","f","f","t","f"
"'354'",2257746,217683,"f","f","f","t","f"
"'355'",56709285,2093591,"f","f","f","t","f"
"'356'",10392069,797996,"f","f","f","f","f"
"'357'",5340761,254391,"t","f","f","t","f"
"'359'",10492144,499071,"f","f","f","t","f"
"'360'",9857659,834910,"f","f","f","t","f"
"'362'",15824994,704323,"f","f","t","t","f"
"'364'",5020800,509996,"f","f","f","f","f"
"'365'",2407253,151972,"t","f","f","t","f"
"'366'",107146004,2414891,"f","f","f","f","f"
"'370'",46603875,454580,"t","f","f","f","f"
"'371'",34442353,1114475,"t","f","f","f","f"
"'376'",9054848,148622,"t","f","f","t","f"
"'377'",251171342,3722702,"t","f","f","f","f"
"'378'",93137205,2215584,"t","f","f","f","f"
"'380'",13702521,338495,"t","f","f","f","f"
"'382'",8780083,77510,"t","f","f","f","f"
"'383'",59246112,1055164,"t","f","f","f","f"
"'384'",1194054,59378,"f","f","f","f","f"
"'385'",4587528,85540,"t","f","f","t","f"
"'386'",19106250,972302,"f","f","f","t","f"
"'389'",42945132,1203771,"f","f","f","f","f"
"'390'",14952591,150967,"t","f","f","t","f"
"'393'",22891836,126513,"f","f","f","t","f"
"'395'",6162007,46533,"f","f","f","t","f"
"'396'",20433029,266463,"t","f","f","f","f"
"'401'",3471688,40315,"t","f","f","f","f"
"'403'",44361646,1860067,"t","f","f","t","f"
"'405'",18771580,710774,"t","f","f","f","f"
"'406'",3760367,99232,"t","f","f","f","f"
"'407'",23846823,330317,"f","f","f","f","f"
"'408'",11632834,853317,"t","f","f","f","f"
"'412'",153484234,2759742,"t","f","f","t","f"
"'416'",119769260,1560639,"t","f","t","f","f"
"'417'",1208308,23285,"f","f","f","f","f"
"'418'",117269790,1950648,"t","f","t","f","f"
"'419'",19536015,777761,"t","f","t","f","f"
"'420'",33772971,1025325,"t","f","t","f","f"
"'421'",4043741,105269,"t","f","f","f","f"
"'422'",2491199,92331,"t","f","f","f","f"
"'423'",33656474,1103893,"f","f","t","f","f"
"'424'",148231357,3076757,"t","f","t","f","f"
"'425'",81522479,2366224,"t","f","t","f","f"
"'426'",31684725,955465,"t","f","t","t","f"
"'427'",14148110,685633,"t","f","t","f","f"
"'428'",38534400,1227916,"t","f","t","f","f"
"'429'",132866877,2115332,"f","f","t","f","f"
"'430'",30673537,1168257,"f","f","t","t","f"
"'431'",18316997,763739,"t","f","t","f","f"
"'432'",29855141,1319148,"t","t","t","f","f"
"'433'",49232303,1343650,"t","f","t","f","f"
"'434'",41113503,1410774,"t","f","t","t","f"
"'435'",10858370,474126,"t","f","t","f","f"
"'436'",110707480,2642541,"t","f","f","f","f"
"'438'",4487974,100626,"f","f","f","f","f"
"'439'",33186522,408575,"t","f","f","f","f"
"'440'",68990313,1199797,"f","f","t","f","f"
"'441'",83289472,1784509,"t","f","f","f","f"
"'442'",29031319,853894,"f","f","t","f","f"
"'443'",8810282,654938,"t","f","t","f","f"
"'444'",18565911,686179,"t","t","f","f","f"
"'445'",98421941,1780240,"f","f","t","f","f"
"'446'",11952249,731801,"t","f","t","t","f"
"'447'",34591461,1061277,"f","f","f","f","f"
"'448'",7713473,483758,"t","f","t","f","f"
"'450'",14957193,525363,"f","f","t","f","f"
"'453'",17812505,879678,"t","f","f","f","f"
"'455'",25585027,1200883,"f","f","f","t","f"
"'456'",8531454,557020,"t","f","f","t","f"
"'459'",10389187,784384,"f","f","f","t","f"
"'460'",16910991,221183,"f","f","f","f","t"
"'461'",47552869,1724346,"f","f","f","t","f"
"'462'",4364560,392765,"f","f","f","t","f"
"'463'",11212705,825826,"t","f","f","t","f"
"'464'",27717728,879414,"f","t","f","t","t"
"'465'",4985427,602511,"f","f","f","t","f"
"'467'",4880298,206582,"f","t","f","t","f"
"'468'",35163063,2458040,"f","f","f","t","t"
"'471'",11961209,652834,"f","t","t","t","f"
"'472'",54247854,2385945,"t","f","f","f","f"
"'474'",8528332,714338,"f","f","f","t","f"
"'475'",164381954,4179240,"f","f","f","t","t"
"'479'",10915733,562480,"f","f","f","t","f"
"'480'",4383493,107308,"f","f","f","f","t"
"'481'",39610853,1557737,"t","f","f","t","f"
"'483'",1994349,68934,"f","f","f","f","t"
"'484'",23580004,1739392,"f","f","f","t","t"
"'485'",12802847,1177465,"f","f","f","t","t"
"'486'",105060164,2208892,"t","f","f","f","f"
"'487'",18627641,268268,"t","t","f","f","f"
"'488'",72869282,2124568,"t","f","f","f","f"
"'489'",65277660,2169443,"t","f","f","f","f"
"'490'",37733717,1507606,"t","f","f","f","f"
"'491'",20116920,1160604,"f","f","f","f","t"
"'492'",23672155,653681,"t","f","f","f","f"
"'493'",40588469,1346764,"t","f","f","f","f"
"'494'",11314231,524190,"t","f","f","f","f"
"'496'",11477708,622823,"t","f","f","f","f"
"'497'",68494482,2313534,"t","f","f","f","f"
"'498'",159333541,2266467,"t","f","f","t","f"
"'499'",28323622,954253,"t","f","f","f","f"
"'500'",72806604,1711920,"f","f","f","f","f"
"'502'",2278611,115764,"t","f","f","t","f"
"'503'",128231356,1121277,"f","f","f","f","f"
"'504'",55883112,1001575,"t","f","f","f","f"
"'506'",45700571,523757,"t","f","f","f","f"
"'507'",23647550,601067,"t","f","f","f","f"
"'508'",3448166,83661,"f","f","f","f","f"
"'509'",1975202,118415,"t","t","f","f","f"
"'510'",25915019,1286801,"t","f","f","f","f"
"'511'",125182334,3292582,"t","f","f","t","f"
"'512'",83610050,1614328,"t","f","f","f","f"
"'514'",18469377,715830,"f","f","f","f","f"
"'515'",5126987,192317,"t","t","f","f","f"
"'516'",19314240,420477,"t","t","f","f","f"
"'518'",63842338,992256,"f","f","f","f","f"
"'519'",26625729,1103080,"t","f","f","f","f"
"'520'",4003678,415675,"f","t","f","f","f"
"'521'",25552276,213370,"t","f","f","f","f"
"'522'",10350471,251437,"f","f","f","f","f"
"'523'",8857467,759552,"t","f","f","t","f"
"'524'",4974812,215571,"f","t","f","f","f"
"'525'",25116625,1949473,"t","f","f","t","f"
"'526'",29807319,1254149,"f","t","f","t","f"
"'527'",68552679,2981425,"f","f","f","f","t"
"'529'",10242127,691156,"f","t","f","f","f"
"'530'",6690436,445278,"f","f","t","t","f"
"'531'",15675067,1416773,"f","f","f","t","t"
"'532'",11638188,668477,"f","t","f","t","f"
"'533'",131293767,3365798,"t","f","f","t","f"
"'534'",36303540,1845701,"t","f","f","t","f"
"'535'",11861117,653999,"f","t","f","t","f"
"'536'",42864089,1681779,"t","f","f","t","f"
"'537'",48077123,1176664,"t","f","f","f","f"
"'538'",97888152,3218328,"t","f","f","t","f"
"'540'",124344146,2491751,"t","f","f","t","f"
"'542'",8764688,252353,"t","f","f","f","f"
"'543'",11808408,949061,"f","f","f","t","f"
"'545'",27500014,1940109,"f","f","f","f","t"
"'546'",24680664,1403062,"f","t","t","t","f"
"'547'",62700953,2315203,"f","f","f","f","t"
"'549'",4087199,300111,"t","f","f","f","f"
"'554'",43607521,1925059,"t","f","f","f","f"
"'562'",63916424,2590570,"t","f","f","f","f"
"'563'",4710311,412064,"t","f","f","f","f"
"'565'",6831786,554266,"f","f","f","f","f"
"'567'",12107511,827750,"f","f","f","f","f"
"'569'",19330230,1241305,"f","f","f","f","f"
"'570'",4673178,561084,"t","f","f","f","f"
"'572'",22828420,1535591,"f","f","f","f","f"
"'573'",1960478,117633,"t","f","t","f","f"
"'575'",20156809,1553156,"f","f","f","f","f"
"'576'",24789366,1678648,"f","f","f","f","f"
"'578'",19347289,1442596,"f","f","f","f","f"
"'580'",9817528,735321,"f","f","f","f","f"
"'581'",2151507,295962,"f","f","f","f","f"
"'582'",1598986,216041,"f","f","f","f","f"
"'583'",9241133,742076,"f","f","f","f","f"
"'584'",6142132,825409,"f","f","f","f","f"
"'585'",13594044,1237615,"t","f","f","f","f"
"'590'",2624689,355707,"f","f","f","f","f"
"'591'",3168981,251164,"f","f","f","f","f"
"'592'",21454654,985756,"f","f","f","f","f"
"'594'",2020770,186538,"t","f","f","f","f"
"'599'",140977098,3050423,"t","f","f","f","f"
"'601'",30025340,1499941,"f","f","f","t","f"
"'603'",57497736,1355525,"f","t","f","f","f"
"'604'",51404558,1284299,"f","f","t","t","f"
"'605'",65885416,2104635,"f","f","f","f","t"
"'606'",36894031,1485318,"f","f","t","f","f"
"'607'",24193392,965188,"t","f","f","f","f"
"'608'",8789882,371197,"t","f","t","f","f"
"'609'",38287558,1314086,"f","f","t","f","f"
"'610'",41021600,1372120,"f","f","f","f","f"
"'611'",5062551,257187,"t","t","t","t","f"
"'612'",37259271,1408181,"t","f","f","f","f"
"'613'",18111511,903083,"f","f","f","f","f"
"'614'",126348848,2548494,"t","f","f","f","f"
"'615'",90428530,1536351,"t","f","t","f","f"
"'616'",12677585,540108,"f","t","f","f","f"
"'617'",34887714,1294091,"f","f","f","f","t"
"'618'",84328902,1597556,"t","f","t","t","f"
"'619'",29176884,1139287,"f","f","f","f","t"
"'620'",25237044,1040092,"t","f","t","t","f"
"'621'",21218699,778568,"t","t","t","f","f"
"'622'",99860446,1747825,"f","f","t","f","f"
"'624'",8595333,522897,"f","f","t","f","f"
"'625'",9916220,647947,"f","f","f","f","f"
"'627'",6713016,418242,"f","t","t","t","f"
"'629'",46498661,1031487,"t","f","t","t","f"
"'630'",54642391,1618229,"t","f","f","f","f"
"'631'",10242294,257069,"f","f","f","f","f"
"'632'",52863645,1091833,"t","f","f","f","f"
"'633'",2440483,225932,"f","f","f","f","f"
"'637'",1009936,69174,"f","f","f","t","f"
"'641'",12280877,299405,"f","f","f","t","f"
"'644'",8496070,531454,"f","t","f","t","f"
"'646'",9031644,193421,"f","f","f","t","f"
"'674'",3229093,159743,"f","f","f","t","f"
"'680'",18268878,769662,"t","f","f","t","f"
"'681'",35786763,1018713,"t","f","f","t","f"
"'683'",95449490,2259127,"t","f","f","t","f"
"'687'",52802652,1101313,"t","f","f","t","f"
"'691'",42545525,1272153,"f","t","t","t","f"
"'693'",7285665,435110,"t","f","f","t","f"
"'696'",5038789,218033,"t","f","t","f","f"
"'697'",47001284,1756334,"f","f","t","t","f"
"'700'",9872313,325228,"t","f","t","f","f"
"'701'",56785285,2087522,"f","f","f","t","f"
"'703'",116986129,1711210,"f","t","t","f","f"
"'705'",13452013,174196,"t","f","f","f","f"
"'707'",240845061,2687666,"t","f","f","f","f"
"'708'",5412824,177627,"t","f","f","t","f"
"'709'",114548858,2728996,"t","f","t","f","f"
"'710'",23665268,604162,"t","f","f","f","f"
"'711'",14027020,582984,"t","f","f","f","f"
"'712'",46745096,1953948,"t","f","f","f","f"
"'713'",4688942,140215,"t","f","f","f","f"
"'714'",16360827,238871,"t","f","f","f","f"
"'715'",79848257,2684084,"t","f","t","f","f"
"'716'",45831232,2165431,"t","f","t","t","f"
"'717'",22504630,1264044,"t","f","f","f","f"
"'718'",91486460,2593627,"t","f","f","f","f"
"'719'",4271045,299391,"f","f","f","f","t"
"'720'",14875751,588845,"t","f","f","f","f"
"'722'",23727090,819971,"f","t","f","f","f"
"'723'",11854042,595780,"f","f","f","f","f"
"'724'",40585154,1652662,"t","f","f","f","f"
"'725'",4279424,139156,"t","f","f","f","f"
"'726'",50604377,1170889,"f","f","f","f","f"
"'727'",9478524,514386,"f","f","f","f","f"
"'728'",44023955,2242826,"t","f","f","f","f"
"'729'",1566389,148754,"f","f","f","f","f"
"'730'",27257837,1819926,"t","f","f","f","f"
"'731'",3298872,155511,"f","t","f","f","f"
"'732'",26779016,1258687,"t","f","f","f","f"
"'733'",31950257,1950889,"t","f","f","f","f"
"'734'",64477574,1974190,"t","f","f","f","f"
"'735'",130287268,3565384,"t","f","f","f","f"
"'737'",8608552,426846,"t","f","f","f","f"
"'738'",33634011,1440305,"f","t","f","f","f"
"'739'",2304159,135686,"t","f","f","t","f"
"'744'",16961204,481162,"f","t","f","f","f"
"'747'",11025678,319879,"f","t","f","f","f"
"'748'",79702120,1212706,"f","t","f","f","f"
"'750'",10311946,1045214,"f","f","f","f","f"
"'751'",5723911,167948,"t","f","f","f","f"
"'752'",9004220,229286,"t","f","f","f","f"
"'753'",1406825,88058,"f","t","f","f","f"
"'754'",10638960,187983,"t","f","f","f","f"
"'755'",26011389,492217,"t","t","f","f","f"
"'756'",2599004,197777,"f","t","f","f","f"
"'757'",89799305,1431504,"f","t","f","f","f"
"'761'",7394641,382083,"f","t","f","f","t"
"'763'",13386368,540680,"t","f","f","f","f"
"'764'",6145700,189232,"t","f","f","f","f"
"'767'",1443721,39375,"f","t","f","f","f"
"'768'",47046651,594887,"f","f","f","f","f"
"'769'",19799739,405204,"t","f","f","f","f"
"'770'",8871971,198389,"f","f","f","f","f"
"'772'",2209832,141829,"f","t","f","f","f"
"'777'",15590712,809365,"f","t","f","f","f"
"'778'",1982872,120283,"f","t","f","f","f"
"'779'",60833740,895264,"f","f","f","f","f"
"'782'",7756360,251150,"f","t","f","f","f"
"'785'",22341645,616519,"f","f","f","f","f"
"'786'",6881909,518705,"t","f","f","t","f"
"'787'",2938177,282409,"f","f","f","t","f"
"'789'",2707134,258179,"f","t","f","t","f"
"'790'",4204237,287792,"f","f","f","t","f"
"'792'",6620920,229456,"f","f","f","t","f"
"'793'",5229854,354231,"f","f","f","t","f"
"'794'",2834180,211600,"f","f","f","t","f"
"'795'",1109288,104394,"f","f","f","t","f"
"'798'",2283445,315756,"f","f","f","t","f"
"'800'",2789603,337172,"f","f","f","t","f"
"'804'",8486223,204709,"f","f","f","f","f"
"'805'",37621943,535591,"f","f","f","f","f"
"'806'",30613671,476814,"f","f","f","f","f"
"'807'",5482072,161314,"f","f","f","f","f"
"'808'",129547951,1906013,"t","f","f","f","f"
"'809'",17909957,320273,"f","f","f","f","f"
"'810'",27444199,763861,"f","f","f","f","f"
"'811'",16564156,460135,"f","f","f","f","f"
"'812'",34744960,418353,"f","f","f","f","f"
"'813'",40412714,825748,"f","f","f","f","f"
"'814'",15902722,318102,"f","f","f","f","f"
"'815'",48413803,1144180,"f","f","f","f","f"
"'816'",77746213,1110165,"f","f","f","t","f"
"'818'",14254271,396469,"f","f","f","f","f"
"'820'",10996315,291452,"f","f","f","f","f"
"'821'",44042681,527541,"f","f","f","f","f"
"'823'",23637755,537855,"f","f","f","f","f"
"'824'",28088350,373920,"f","f","f","f","f"
"'825'",9997137,240950,"f","f","f","f","f"
"'826'",2549652,121101,"f","f","f","f","f"
"'827'",7293343,224800,"t","f","f","f","f"
"'830'",35234141,979267,"t","f","f","f","f"
"'831'",13528872,264304,"f","f","f","f","f"
"'832'",6607581,217327,"f","f","f","f","f"
"'834'",29377134,892389,"f","f","f","f","f"
"'835'",12592644,200244,"f","f","f","f","f"
"'837'",29058716,310517,"f","f","f","f","f"
"'839'",10525742,210574,"f","f","f","f","f"
"'840'",22449979,590831,"t","f","f","f","f"
"'841'",70161809,1286831,"f","f","f","f","f"
"'842'",7241650,180284,"f","f","f","f","f"
"'843'",55740728,1473764,"f","f","f","f","f"
"'845'",20038525,388081,"f","f","f","f","f"
"'846'",43466490,945536,"f","f","f","f","f"
"'850'",9818173,298236,"f","f","f","f","f"
"'851'",31398978,984246,"t","f","t","t","f"
"'852'",8757308,718715,"t","f","f","f","f"
"'853'",4666737,209379,"t","f","f","f","f"
"'854'",68417891,1806647,"t","f","f","f","f"
"'855'",11043047,908784,"t","f","f","f","f"
