"userid","gender","age","country","year"
"'1195'","o",56,"'Micronesia Federated States of'","'2006'"
"'1203'","m",17,"'France'","'2007'"
"'1207'","m",0,"'United States'","'2005'"
"'1223'","m",34,"'Germany'","'2007'"
"'1224'","f",17,"'Netherlands'","'2008'"
"'1229'","m",21,"'Poland'","'2007'"
"'1239'","f",22,"'Italy'","'2007'"
"'1255'","m",33,"'Germany'","'2007'"
"'1283'","m",26,"'New Zealand'","'2007'"
"'1285'","m",25,"'Viet Nam'","'2006'"
"'1292'","f",20,"'Russian Federation'","'2008'"
"'1305'","o",21,"'Brazil'","'2007'"
"'1313'","m",23,"'Finland'","'2007'"
"'1315'","m",0,"'Ireland'","'2005'"
"'1319'","m",17,"'United States'","'2008'"
"'1320'","m",31,"'Sweden'","'2005'"
"'1324'","m",18,"'Russian Federation'","'2008'"
"'1325'","m",26,"'Russian Federation'","'2008'"
"'1328'","m",25,"'Greece'","'2007'"
"'1334'","f",27,"'Brazil'","'2007'"
"'1341'","m",18,"'Russian Federation'","'2009'"
"'1345'","f",24,"'United Kingdom'","'2008'"
"'1348'","m",20,"'France'","'2006'"
"'1355'","m",17,"'Antarctica'","'2008'"
"'1357'","m",0,"'United States'","'2009'"
"'1359'","m",51,"'United States'","'2008'"
"'1360'","m",18,"'Poland'","'2007'"
"'1365'","m",21,"'Poland'","'2006'"
"'1368'","f",25,"'Mexico'","'2007'"
"'1372'","f",28,"'Lithuania'","'2006'"
"'1384'","f",39,"'United States'","'2008'"
"'1389'","m",0,"'United Kingdom'","'2006'"
"'1391'","m",0,"'New Zealand'","'2007'"
"'1393'","m",22,"'United States'","'2008'"
"'1396'","m",17,"'United States'","'2008'"
"'1402'","m",18,"'United States'","'2008'"
"'1420'","m",24,"'Mexico'","'2009'"
"'1426'","f",30,"'Netherlands'","'2007'"
"'1432'","m",3,"'Finland'","'2009'"
"'1437'","m",23,"'United States'","'2005'"
"'1439'","f",27,"'Finland'","'2007'"
"'1444'","m",52,"'United Kingdom'","'2007'"
"'1450'","m",27,"'Spain'","'2007'"
"'1452'","m",25,"'United Kingdom'","'2008'"
"'1459'","m",21,"'Croatia'","'2008'"
"'1470'","m",28,"'Netherlands'","'2009'"
"'1472'","m",23,"'Italy'","'2006'"
"'1487'","m",22,"'United Kingdom'","'2006'"
"'1493'","m",20,"'United States'","'2006'"
"'1496'","m",26,"'United States'","'2007'"
"'1501'","f",0,"'Germany'","'2006'"
"'1528'","o",0,"'United States'","'2006'"
"'1533'","f",26,"'Venezuela'","'2006'"
"'1538'","f",49,"'United States'","'2008'"
"'1547'","f",0,"'United Kingdom'","'2008'"
"'1550'","m",0,"'United States'","'2007'"
"'1552'","m",19,"'Italy'","'2008'"
"'1559'","m",30,"'United States'","'2007'"
"'1569'","m",17,"'Norway'","'2008'"
"'1576'","f",21,"'United Kingdom'","'2007'"
"'1580'","m",19,"'United Kingdom'","'2007'"
"'1582'","m",0,"'Germany'","'2005'"
"'1584'","m",34,"'Brazil'","'2008'"
"'1585'","m",20,"'United States'","'2009'"
"'1593'","m",38,"'France'","'2008'"
"'1597'","m",22,"'United Kingdom'","'2008'"
"'1603'","f",16,"'Belgium'","'2009'"
"'1625'","m",22,"'Saudi Arabia'","'2009'"
"'1642'","m",0,"'Germany'","'2008'"
"'1648'","m",21,"'United States'","'2008'"
"'1649'","f",23,"'Germany'","'2005'"
"'1651'","m",20,"'Ireland'","'2008'"
"'1656'","o",0,"'Japan'","'2008'"
"'1660'","f",24,"'Chile'","'2007'"
"'1669'","m",19,"'France'","'2009'"
"'1677'","m",20,"'Brazil'","'2007'"
"'1692'","m",17,"'Norway'","'2008'"
"'1697'","m",29,"'Belgium'","'2006'"
"'1703'","f",21,"'United Kingdom'","'2008'"
"'1709'","m",0,"'United States'","'2008'"
"'1720'","m",19,"'Switzerland'","'2006'"
"'1741'","m",25,"'United Kingdom'","'2005'"
"'1742'","f",34,"'Germany'","'2009'"
"'1749'","m",27,"'Mexico'","'2008'"
"'1752'","m",29,"'Hong Kong'","'2007'"
"'1753'","f",19,"'Ukraine'","'2008'"
"'1754'","m",18,"'Australia'","'2008'"
"'1757'","o",30,"'Brazil'","'2005'"
"'1766'","m",23,"'Greece'","'2008'"
"'1768'","m",41,"'Brazil'","'2008'"
"'1770'","m",23,"'Russian Federation'","'2008'"
"'1778'","m",22,"'United States'","'2009'"
"'1788'","m",23,"'Poland'","'2007'"
"'1789'","o",22,"'Finland'","'2008'"
"'1790'","f",0,"'Singapore'","'2007'"
"'1800'","f",0,"'Germany'","'2006'"
"'1802'","m",25,"'Sweden'","'2005'"
"'1811'","f",23,"'Austria'","'2007'"
"'1823'","m",24,"'Poland'","'2008'"
"'1825'","f",26,"'Ukraine'","'2007'"
"'1828'","m",24,"'Denmark'","'2005'"
"'1829'","m",22,"'United Kingdom'","'2006'"
"'1832'","m",32,"'Spain'","'2004'"
"'1840'","m",31,"'Germany'","'2007'"
"'1848'","m",21,"'Bulgaria'","'2007'"
"'1851'","f",17,"'Sweden'","'2008'"
"'1853'","m",20,"'United States'","'2007'"
"'1858'","m",22,"'United States'","'2006'"
"'1871'","m",22,"'United Kingdom'","'2008'"
"'1873'","m",22,"'Romania'","'2006'"
"'1875'","m",20,"'Australia'","'2008'"
"'1877'","m",22,"'Canada'","'2006'"
"'1879'","m",0,"'United States'","'2008'"
"'1881'","m",0,"'Portugal'","'2005'"
"'1884'","m",27,"'United States'","'2008'"
"'1887'","m",24,"'Russian Federation'","'2007'"
"'1900'","m",21,"'Germany'","'2006'"
"'1907'","f",19,"'Germany'","'2007'"
"'1914'","m",31,"'Germany'","'2005'"
"'1915'","o",27,"'Canada'","'2007'"
"'1931'","m",19,"'Canada'","'2008'"
"'1932'","o",25,"'Sweden'","'2007'"
"'1933'","m",26,"'France'","'2005'"
"'1939'","m",20,"'Mexico'","'2008'"
"'1944'","o",0,"'Czech Republic'","'2008'"
"'1951'","m",38,"'United States'","'2007'"
"'1959'","m",19,"'Russian Federation'","'2007'"
"'1961'","f",25,"'Italy'","'2008'"
"'1969'","m",22,"'United States'","'2007'"
"'1974'","m",22,"'United States'","'2008'"
"'1991'","f",35,"'Switzerland'","'2004'"
"'1995'","f",29,"'Mexico'","'2007'"
"'1996'","m",24,"'Croatia'","'2006'"
"'2000'","m",34,"'United States'","'2007'"
"'2002'","o",42,"'United States'","'2007'"
"'2012'","m",18,"'Brazil'","'2008'"
"'2019'","m",29,"'Russian Federation'","'2008'"
"'2036'","m",24,"'United States'","'2009'"
"'2039'","f",0,"'Canada'","'2006'"
"'2041'","f",25,"'Finland'","'2005'"
"'2042'","m",16,"'Italy'","'2008'"
"'2043'","f",20,"'United States'","'2008'"
"'2053'","m",0,"'Mexico'","'2008'"
"'2056'","f",19,"'Mexico'","'2006'"
"'2066'","m",0,"'United Kingdom'","'2005'"
"'2068'","m",23,"'Russian Federation'","'2005'"
"'2069'","f",17,"'United Arab Emirates'","'2008'"
"'2092'","f",0,"'Turkmenistan'","'2007'"
"'2098'","m",19,"'United States'","'2007'"
"'2101'","m",25,"'Poland'","'2009'"
"'2102'","m",109,"'Germany'","'2005'"
"'2103'","m",27,"'Spain'","'2008'"
"'2108'","m",22,"'Norway'","'2008'"
"'2110'","m",19,"'Poland'","'2008'"
"'2114'","m",0,"'Germany'","'2007'"
"'2116'","o",0,"'Indonesia'","'2006'"
"'2117'","m",24,"'Czech Republic'","'2006'"
"'2118'","m",35,"'United States'","'2007'"
"'2122'","m",22,"'Netherlands'","'2008'"
"'2124'","m",32,"'Czech Republic'","'2008'"
"'2127'","f",26,"'United States'","'2007'"
"'2128'","f",23,"'Canada'","'2006'"
"'2135'","m",25,"'Slovenia'","'2006'"
"'2142'","m",27,"'United States'","'2007'"
"'2146'","m",40,"'Portugal'","'2008'"
"'2149'","f",18,"'Germany'","'2008'"
"'2159'","m",31,"'South Georgia and the South Sandwich Islands'","'2008'"
"'2161'","m",0,"'United States'","'2007'"
"'2163'","m",39,"'Germany'","'2007'"
"'2166'","m",23,"'Germany'","'2007'"
"'2170'","m",46,"'Japan'","'2006'"
"'2172'","m",24,"'Greece'","'2008'"
"'2174'","m",23,"'Germany'","'2006'"
"'2180'","m",24,"'Ukraine'","'2009'"
"'2181'","m",0,"'Poland'","'2008'"
"'2182'","o",27,"'Bulgaria'","'2007'"
"'2191'","m",0,"'Spain'","'2007'"
"'2195'","m",38,"'Chile'","'2008'"
"'2204'","f",19,"'Canada'","'2008'"
"'2205'","m",21,"'United States'","'2006'"
"'2224'","m",36,"'United States'","'2005'"
"'2225'","f",15,"'Denmark'","'2008'"
"'2230'","m",26,"'Brazil'","'2007'"
"'2240'","m",23,"'United Kingdom'","'2005'"
"'2247'","m",33,"'Romania'","'2006'"
"'2268'","f",0,"'Canada'","'2006'"
"'2272'","m",30,"'Switzerland'","'2007'"
"'2292'","m",35,"'Poland'","'2007'"
"'2297'","m",22,"'Brazil'","'2008'"
"'2298'","m",20,"'United States'","'2007'"
"'2306'","m",27,"'United States'","'2003'"
"'2315'","m",47,"'Sweden'","'2006'"
"'2318'","o",0,"'United States'","'2007'"
"'2327'","m",17,"'Estonia'","'2009'"
"'2333'","f",20,"'Finland'","'2007'"
"'2337'","m",16,"'Russian Federation'","'2008'"
"'2354'","m",25,"'Germany'","'2009'"
"'2356'","f",22,"'United States'","'2007'"
"'2366'","m",29,"'Canada'","'2006'"
"'2380'","o",0,"'Germany'","'2009'"
"'2389'","m",39,"'Bulgaria'","'2006'"
"'2407'","f",19,"'Poland'","'2007'"
"'2410'","m",21,"'Israel'","'2006'"
"'2427'","m",31,"'Poland'","'2008'"
"'2437'","m",25,"'United States'","'2005'"
"'2439'","f",19,"'United Kingdom'","'2007'"
"'2451'","m",20,"'Austria'","'2007'"
"'2454'","m",23,"'United Kingdom'","'2008'"
"'2462'","o",22,"'Mexico'","'2008'"
"'2475'","m",21,"'Netherlands'","'2004'"
"'2481'","m",19,"'Poland'","'2007'"
"'2495'","f",20,"'United States'","'2005'"
"'2513'","m",26,"'France'","'2006'"
"'2514'","m",20,"'United Kingdom'","'2007'"
"'2525'","m",25,"'Denmark'","'2005'"
"'2530'","m",28,"'Canada'","'2007'"
"'2547'","m",49,"'United Kingdom'","'2009'"
"'2550'","m",22,"'Brazil'","'2006'"
"'2561'","m",26,"'United States'","'2007'"
"'2566'","m",25,"'Poland'","'2007'"
"'2567'","m",21,"'Netherlands'","'2004'"
"'2570'","m",25,"'United States'","'2005'"
"'2571'","f",19,"'Finland'","'2007'"
"'2586'","o",107,"'Spain'","'2008'"
"'2587'","m",27,"'Colombia'","'2007'"
"'2619'","m",22,"'Russian Federation'","'2008'"
"'2648'","m",38,"'Canada'","'2007'"
"'2650'","m",29,"'Colombia'","'2006'"
"'2660'","m",42,"'Mexico'","'2006'"
"'2665'","m",31,"'Colombia'","'2007'"
"'2672'","f",20,"'United Kingdom'","'2006'"
"'2700'","m",24,"'Macedonia'","'2008'"
"'2708'","m",20,"'Germany'","'2008'"
"'2722'","m",0,"'United States'","'2005'"
"'2725'","f",17,"'United Kingdom'","'2006'"
"'2734'","m",19,"'United Kingdom'","'2007'"
"'2741'","f",26,"'Japan'","'2006'"
"'2759'","m",25,"'Brazil'","'2007'"
"'2771'","f",22,"'Portugal'","'2007'"
"'2784'","m",23,"'Russian Federation'","'2008'"
"'2796'","m",27,"'Switzerland'","'2006'"
"'2798'","m",0,"'New Zealand'","'2008'"
"'2804'","m",0,"'United States'","'2008'"
"'2814'","f",27,"'United States'","'2005'"
"'2827'","o",28,"'Estonia'","'2007'"
"'2886'","m",29,"'Spain'","'2008'"
"'2889'","m",0,"'Finland'","'2007'"
"'2913'","m",26,"'Brazil'","'2005'"
"'2917'","m",0,"'Denmark'","'2008'"
"'2923'","m",16,"'Australia'","'2008'"
"'2939'","m",46,"'Mexico'","'2007'"
"'2949'","m",22,"'Russian Federation'","'2007'"
"'2956'","m",0,"'Mexico'","'2007'"
"'2972'","m",34,"'United States'","'2006'"
"'2983'","m",38,"'Sweden'","'2005'"
"'2992'","m",24,"'Russian Federation'","'2007'"
"'3007'","o",0,"'United Kingdom'","'2009'"
"'3010'","o",27,"'Germany'","'2006'"
"'3047'","f",17,"'Czech Republic'","'2008'"
"'3049'","m",20,"'Turkey'","'2006'"
"'3050'","m",31,"'Sweden'","'2007'"
"'3056'","f",21,"'Poland'","'2008'"
"'3060'","m",25,"'Poland'","'2008'"
"'3062'","m",22,"'Germany'","'2007'"
"'3074'","f",43,"'Germany'","'2008'"
"'3075'","f",25,"'Canada'","'2008'"
"'3083'","o",0,"'Austria'","'2007'"
"'3109'","m",29,"'United Kingdom'","'2008'"
"'3112'","m",23,"'Turkey'","'2006'"
"'3114'","m",25,"'United States'","'2005'"
"'3120'","m",23,"'Argentina'","'2007'"
"'3128'","m",19,"'Djibouti'","'2006'"
"'3148'","m",25,"'United States'","'2008'"
"'3166'","m",22,"'Colombia'","'2008'"
"'3173'","f",18,"'Italy'","'2008'"
"'3175'","m",25,"'Germany'","'2007'"
"'3177'","f",24,"'United Kingdom'","'2006'"
"'3181'","m",20,"'Russian Federation'","'2008'"
"'3186'","f",0,"'United States'","'2007'"
"'3203'","m",23,"'Russian Federation'","'2008'"
"'3207'","m",23,"'Australia'","'2008'"
"'3208'","f",24,"'Spain'","'2008'"
"'3214'","f",18,"'United States'","'2007'"
"'3220'","m",25,"'Finland'","'2004'"
"'3226'","f",27,"'Germany'","'2006'"
"'3239'","m",42,"'United Kingdom'","'2006'"
"'3259'","f",17,"'Bulgaria'","'2008'"
"'3265'","m",0,"'Czech Republic'","'2008'"
"'3269'","m",19,"'Australia'","'2009'"
"'3284'","o",32,"'Canada'","'2004'"
"'3288'","m",24,"'Sweden'","'2007'"
"'3328'","m",30,"'United States'","'2007'"
"'3331'","f",0,"'United Kingdom'","'2007'"
"'3342'","m",19,"'Germany'","'2006'"
"'3344'","m",24,"'Slovakia'","'2006'"
"'3347'","m",32,"'France'","'2005'"
"'3360'","m",25,"'United States'","'2007'"
"'3372'","m",28,"'Mexico'","'2008'"
"'3410'","m",0,"'United Kingdom'","'2009'"
"'3446'","f",19,"'Poland'","'2008'"
"'3457'","f",20,"'Germany'","'2008'"
"'3480'","m",18,"'Philippines'","'2008'"
"'3489'","o",26,"'Mexico'","'2007'"
"'3492'","m",100,"'United Kingdom'","'2009'"
"'3497'","m",0,"'Czech Republic'","'2007'"
"'3500'","m",29,"'Denmark'","'2007'"
"'3502'","m",25,"'United States'","'2007'"
"'3517'","o",38,"'United States'","'2004'"
"'3528'","m",0,"'United States'","'2008'"
"'3542'","m",36,"'United States'","'2005'"
"'3548'","m",22,"'Russian Federation'","'2007'"
"'3550'","m",18,"'Spain'","'2008'"
"'3552'","m",0,"'United States'","'2008'"
"'3558'","m",32,"'United States'","'2008'"
"'3559'","m",0,"'Russian Federation'","'2007'"
"'3575'","f",17,"'Russian Federation'","'2008'"
"'3593'","f",22,"'United States'","'2006'"
"'3607'","o",21,"'Bulgaria'","'2007'"
"'3609'","o",21,"'Bulgaria'","'2007'"
"'3614'","f",19,"'Norway'","'2006'"
"'3617'","m",17,"'Poland'","'2007'"
"'3631'","m",17,"'Israel'","'2007'"
"'3633'","m",0,"'Finland'","'2008'"
"'3637'","m",0,"'Brazil'","'2008'"
"'3644'","m",88,"'Germany'","'2007'"
"'3645'","f",0,"'United Kingdom'","'2008'"
"'3663'","m",24,"'United States'","'2006'"
"'3672'","f",19,"'Brazil'","'2007'"
"'3676'","f",0,"'Spain'","'2006'"
"'3682'","o",27,"'United States'","'2004'"
"'3693'","f",27,"'Serbia'","'2008'"
"'3705'","f",20,"'United Kingdom'","'2008'"
"'3747'","f",22,"'United Kingdom'","'2007'"
"'3748'","m",30,"'United States'","'2006'"
"'3755'","f",0,"'United States'","'2007'"
"'3785'","f",20,"'Italy'","'2007'"
"'3794'","o",0,"'Brazil'","'2008'"
"'3810'","m",28,"'Brazil'","'2008'"
"'3815'","m",108,"'Slovenia'","'2006'"
"'3816'","m",0,"'Australia'","'2006'"
"'3838'","f",20,"'United States'","'2005'"
"'3843'","m",21,"'United States'","'2007'"
"'3849'","m",25,"'Poland'","'2008'"
"'3853'","m",24,"'Greece'","'2007'"
"'3876'","m",24,"'Brazil'","'2008'"
"'3877'","m",23,"'Colombia'","'2007'"
"'3881'","m",23,"'South Africa'","'2007'"
"'3884'","f",24,"'Brazil'","'2006'"
"'3887'","f",0,"'Australia'","'2007'"
"'3904'","f",32,"'Spain'","'2008'"
"'3909'","m",22,"'Poland'","'2006'"
"'3914'","o",22,"'Luxembourg'","'2004'"
"'3915'","m",18,"'Canada'","'2008'"
"'3923'","f",23,"'United States'","'2005'"
"'3925'","m",20,"'Brazil'","'2008'"
"'3936'","f",40,"'United States'","'2008'"
"'3950'","m",21,"'Turkey'","'2007'"
"'3960'","f",0,"'Germany'","'2006'"
"'3970'","f",25,"'United States'","'2007'"
"'3982'","o",33,"'Australia'","'2005'"
"'3992'","m",0,"'United States'","'2007'"
"'4007'","m",19,"'United Kingdom'","'2007'"
"'4011'","f",30,"'Brazil'","'2006'"
"'4013'","m",39,"'United Kingdom'","'2008'"
"'4015'","m",21,"'Chile'","'2008'"
"'4018'","m",24,"'Mexico'","'2007'"
"'4019'","m",21,"'Germany'","'2006'"
"'4029'","m",0,"'United States'","'2003'"
"'4032'","f",16,"'Finland'","'2009'"
"'4054'","m",0,"'Egypt'","'2008'"
"'4061'","m",38,"'United Kingdom'","'2008'"
"'4063'","m",25,"'Poland'","'2007'"
"'4071'","m",0,"'Israel'","'2009'"
"'4076'","f",16,"'Ukraine'","'2009'"
"'4089'","f",26,"'South Africa'","'2006'"
"'4092'","m",26,"'Russian Federation'","'2006'"
"'4119'","m",18,"'Germany'","'2007'"
"'4173'","m",18,"'Croatia'","'2006'"
"'4178'","m",19,"'Norway'","'2007'"
"'4184'","m",35,"'United States'","'2006'"
"'4188'","f",20,"'Italy'","'2007'"
"'4194'","m",37,"'Netherlands'","'2008'"
"'4200'","f",26,"'Spain'","'2007'"
"'4209'","m",28,"'Czech Republic'","'2006'"
"'4212'","f",18,"'United States'","'2008'"
"'4215'","f",27,"'United States'","'2008'"
"'4217'","f",0,"'Russian Federation'","'2008'"
"'4222'","o",20,"'United States'","'2007'"
"'4243'","f",18,"'Germany'","'2008'"
"'4268'","m",21,"'United States'","'2006'"
"'4278'","f",19,"'United States'","'2009'"
"'4284'","m",20,"'Italy'","'2008'"
"'4297'","o",0,"'Australia'","'2008'"
"'4304'","m",18,"'Sweden'","'2008'"
"'4315'","f",31,"'United States'","'2007'"
"'4316'","m",0,"'Germany'","'2006'"
"'4318'","m",23,"'Germany'","'2008'"
"'4319'","m",51,"'Germany'","'2008'"
"'4372'","m",22,"'Germany'","'2007'"
"'4383'","f",20,"'United States'","'2006'"
"'4389'","m",21,"'Spain'","'2007'"
"'4395'","f",20,"'United States'","'2007'"
"'4396'","m",0,"'Brazil'","'2005'"
"'4429'","m",14,"'United States'","'2009'"
"'4436'","f",19,"'Czech Republic'","'2007'"
"'4454'","m",26,"'United States'","'2005'"
"'4459'","m",17,"'United States'","'2008'"
"'4473'","m",22,"'Netherlands'","'2007'"
"'4474'","m",25,"'Poland'","'2007'"
"'4476'","m",22,"'Belgium'","'2008'"
"'4479'","m",0,"'Austria'","'2005'"
"'4480'","f",0,"'United States'","'2006'"
"'4501'","m",21,"'United States'","'2006'"
"'4522'","m",21,"'Germany'","'2007'"
"'4528'","m",17,"'United Kingdom'","'2007'"
"'4530'","m",25,"'United States'","'2007'"
"'4551'","m",0,"'United Kingdom'","'2007'"
"'4552'","o",0,"'Netherlands'","'2008'"
"'4557'","o",29,"'Canada'","'2005'"
"'4563'","m",40,"'Germany'","'2008'"
"'4565'","f",24,"'United States'","'2006'"
"'4572'","m",0,"'Germany'","'2007'"
"'4594'","m",34,"'Spain'","'2008'"
"'4595'","f",23,"'United Kingdom'","'2007'"
"'4614'","m",37,"'United Kingdom'","'2005'"
"'4643'","m",19,"'United States'","'2006'"
