purchaseid,temperature_avg,temperature_stdev,fuel_price_avg,fuel_price_stdev,cpi_avg,cpi_stdev,unemployment_avg,unemployment_stdev,holidayfreq
'01-32',01-32,84.8333333333333,6.03791630724823,3.23233333333333,0.582395341098586,216.353136966667,5.27150453214978,7.55233333333333,0.564827702342343,6
'01-43',01-43,66.75,2.32523117130361,3.20433333333333,0.411939720509363,217.623121233333,5.848092937539,7.42566666666667,0.738563696192367,6
'02-02',02-02,39.1666666666667,6.51142329551178,2.93066666666667,0.359369355028132,213.849494866667,4.92312921903619,7.803,0.662790313749384,6
'01-06',01-06,47.4,10.7134634922606,3.03266666666667,0.371114986673047,214.860841933333,4.74452006810214,7.732,0.379098931678768,5
'01-36',01-36,74.63,10.0850334654874,3.303,0.587485318965505,216.682275233333,5.39322830596924,7.56933333333333,0.576077541077003,5
'02-06',02-06,45.91,12.2201841229991,3.03266666666667,0.371114986673047,214.511773566667,4.73488827607761,7.803,0.662790313749384,5
'01-44',01-44,52.125,4.03757972057522,3.02,0.441234631460405,214.7222875,4.40540888997386,7.852,0.0197989898729921,4
'01-45',01-45,52.72,9.03682466356404,3.07,0.321026478658688,214.73201875,4.61891504493708,7.852,0.0197989898729921,4
'01-46',01-46,56.045,8.77519515452508,3.0885,0.310419876940899,214.8129106,4.8190715895581,7.852,0.0197989898729921,4
'01-47',01-47,56.235,5.52250396106695,3.061,0.247487373415294,214.93637165,4.99394086431165,7.852,0.0197989898729921,3
'01-48',01-48,48.67,0.339411254969817,3.0575,0.161927452891722,215.0598327,5.16880999764346,7.852,0.0197989898729921,3
'20-49',20-49,41.64,0,3.415,0,211.8667856,0,7.082,0,2
'20-50',20-50,37.16,0,3.413,0,212.0685039,0,7.082,0,2
'20-51',20-51,40.19,0,3.389,0,212.2360401,0,7.082,0,2
'21-49',21-49,41.44,0,3.158,0,218.605037,0,7.441,0,2
'21-50',21-50,50.56,0,3.159,0,218.8217928,0,7.441,0,2
'21-51',21-51,46.54,0,3.112,0,218.9995495,0,7.441,0,2
'22-49',22-49,45.35,0,3.47,0,140.4397857,0,7.706,0,2
'22-50',22-50,39.11,0,3.445,0,140.4700795,0,7.706,0,2
'22-51',22-51,39.83,0,3.413,0,140.528765,0,7.706,0,2
'23-49',23-49,36.4,0,3.47,0,136.5030667,0,4.42,0,2
'23-50',23-50,32.99,0,3.445,0,136.5335161,0,4.42,0,2
'23-51',23-51,27.8,0,3.413,0,136.5883871,0,4.42,0,2
'24-49',24-49,42.3,0,3.627,0,136.5030667,0,8.454,0,2
'24-50',24-50,36,0,3.611,0,136.5335161,0,8.454,0,2
'24-51',24-51,36.93,0,3.587,0,136.5883871,0,8.454,0,2
'25-49',25-49,38.69,0,3.415,0,211.8667856,0,7.082,0,2
'01-05',01-05,48.44,7.3350051124727,2.99133333333333,0.36750555551356,214.696346466667,4.78093347599916,7.732,0.379098931678768,7
'01-07',01-07,52.42,6.3039352788556,3.09166666666667,0.397062127800339,214.963092966667,4.8387030479915,7.732,0.379098931678768,7
'01-08',01-08,57.2,5.72516375311665,3.11733333333333,0.413988325117186,215.0635178,4.98813532063344,7.732,0.379098931678768,7
'02-32',02-32,86.4066666666667,6.51501598872437,3.23233333333333,0.582395341098586,216.002648433333,5.26063728127049,7.50533333333333,0.823663968699205,6
'25-50',25-50,33.09,0,3.413,0,212.0685039,0,7.082,0,2
'25-51',25-51,36.56,0,3.389,0,212.2360401,0,7.082,0,2
'26-49',26-49,34.24,0,3.47,0,136.5030667,0,7.598,0,2
'26-50',26-50,28.24,0,3.445,0,136.5335161,0,7.598,0,2
'26-51',26-51,22.53,0,3.413,0,136.5883871,0,7.598,0,2
'27-49',27-49,46.28,0,3.627,0,140.4397857,0,7.906,0,2
'27-50',27-50,40.68,0,3.611,0,140.4700795,0,7.906,0,2
'27-51',27-51,41.59,0,3.587,0,140.528765,0,7.906,0,2
'28-49',28-49,42.17,0,3.644,0,129.8555333,0,12.89,0,2
'28-50',28-50,43.29,0,3.6,0,129.8980645,0,12.89,0,2
'28-51',28-51,45.4,0,3.541,0,129.9845484,0,12.89,0,2
'29-49',29-49,45.35,0,3.47,0,136.5030667,0,9.357,0,2
'29-50',29-50,39.11,0,3.445,0,136.5335161,0,9.357,0,2
'29-51',29-51,39.83,0,3.413,0,136.5883871,0,9.357,0,2
'30-49',30-49,41.44,0,3.158,0,218.605037,0,7.441,0,2
'30-50',30-50,50.56,0,3.159,0,218.8217928,0,7.441,0,2
'30-51',30-51,46.54,0,3.112,0,218.9995495,0,7.441,0,2
'31-49',31-49,41.44,0,3.158,0,218.605037,0,7.441,0,2
'31-50',31-50,50.56,0,3.159,0,218.8217928,0,7.441,0,2
'31-51',31-51,46.54,0,3.112,0,218.9995495,0,7.441,0,2
'32-49',32-49,17.94,0,3.331,0,195.8742575,0,8.513,0,2
'32-50',32-50,26.23,0,3.266,0,195.9841685,0,8.513,0,2
'32-51',32-51,25.97,0,3.173,0,196.1713893,0,8.513,0,2
'33-49',33-49,47.7,0,3.644,0,129.8555333,0,8.01,0,2
'33-50',33-50,53.18,0,3.489,0,129.8980645,0,8.01,0,2
'33-51',33-51,53.39,0,3.541,0,129.9845484,0,8.01,0,2
'34-49',34-49,24.69,0,3.153,0,129.8555333,0,10.148,0,2
'34-50',34-50,32.31,0,3.149,0,129.8980645,0,10.148,0,2
'34-51',34-51,32.45,0,3.103,0,129.9845484,0,10.148,0,2
'35-49',35-49,46.28,0,3.415,0,140.4397857,0,8.745,0,2
'35-50',35-50,40.68,0,3.413,0,140.4700795,0,8.745,0,2
'35-51',35-51,41.59,0,3.389,0,140.528765,0,8.745,0,2
'02-43',02-43,66.2133333333333,3.41795747974307,3.20433333333333,0.411939720509363,217.269935233333,5.83622107224271,7.258,1.00902378564629,6
'03-02',03-02,48.1833333333333,3.55677288188801,2.93066666666667,0.359369355028132,217.5657968,5.03211032998358,7.25066666666667,0.373103649584556,6
'03-32',03-32,85.19,4.06043101160452,3.23233333333333,0.582395341098586,219.746879633333,5.37677686316739,7.08233333333333,0.657428576602306,6
'03-43',03-43,71.47,2.99821613630443,3.20433333333333,0.411939720509363,221.042983466667,5.96306762974273,6.93166666666667,0.798765505848461,6
'02-36',02-36,76.27,12.3182953366122,3.303,0.587485318965509,216.3313612,5.38179560676081,7.52666666666667,0.847220357010691,5
'03-06',03-06,52.7666666666667,9.80281762216018,3.03266666666667,0.371114986673047,218.240832966667,4.83779944194112,7.25066666666667,0.373103649584556,5
'03-36',03-36,77.9,9.58875904379702,3.303,0.587485318965509,220.080138266667,5.50399224915465,7.155,0.711008438768489,5
'02-44',02-44,52.43,4.38406204335662,3.02,0.441234631460405,214.37545175,4.39807513199126,7.802,0.510531096016705,4
'02-45',02-45,52.415,9.77928678380993,3.07,0.321026478658688,214.385169,4.61085904808764,7.802,0.510531096016705,4
'02-46',02-46,54.78,10.2247640559574,3.0885,0.310419876940899,214.4657838,4.81007690845841,7.802,0.510531096016705,4
'03-44',03-44,56.535,3.92444263558544,3.02,0.441234631460405,218.08066055,4.47642072487129,7.3805,0.259508188695499,4
'03-45',03-45,56.415,7.47411867714172,3.07,0.321026478658688,218.0905277,4.69692002447839,7.3805,0.259508188695499,4
'03-46',03-46,58.055,8.28022040769444,3.0885,0.310419876940899,218.1741021,4.90616579037589,7.3805,0.259508188695499,4
'02-47',02-47,53.165,4.51841233178202,3.061,0.247487373415294,214.5888434,4.98394810199234,7.802,0.510531096016705,3
'02-48',02-48,48.02,1.018233764909,3.0575,0.161927452891722,214.71190295,5.15781922481445,7.802,0.510531096016705,3
'03-47',03-47,62.58,7.66503750806219,3.061,0.247487373415294,218.30145065,5.09069909350778,7.3805,0.259508188695499,3
'03-48',03-48,54.085,1.25157900269993,3.0575,0.161927452891722,218.42879925,5.27523246735359,7.3805,0.259508188695499,3
'01-09',01-09,60.9366666666667,1.34515178821321,3.21233333333333,0.460189453739795,215.163942666667,5.14646424158797,7.63266666666667,0.248727427786574,7
'01-10',01-10,59.3933333333333,6.17440955341752,3.29933333333333,0.470287500719863,215.2643675,5.31289446731866,7.63266666666667,0.248727427786574,7
'01-11',01-11,64.6066666666667,1.78374138633757,3.34333333333333,0.479651262203422,215.3544082,5.42990663661414,7.63266666666667,0.248727427786574,7
'01-12',01-12,66.9133333333333,2.70267151783812,3.35166666666667,0.507008218210843,215.441824766667,5.47243116545775,7.63266666666667,0.248727427786574,7
'36-49',36-49,50.64,0,3.147,0,217.6645878,0,7.716,0,2
'36-50',36-50,58.31,0,3.133,0,217.8781339,0,7.716,0,2
'36-51',36-51,55.41,0,3.098,0,218.0541851,0,7.716,0,2
'37-49',37-49,50.64,0,3.158,0,217.6645878,0,7.716,0,2
'37-50',37-50,58.31,0,3.159,0,217.8781339,0,7.716,0,2
'37-51',37-51,55.41,0,3.112,0,218.0541851,0,7.716,0,2
'38-49',38-49,42.17,0,3.644,0,129.8555333,0,12.89,0,2
'38-50',38-50,43.29,0,3.6,0,129.8980645,0,12.89,0,2
'38-51',38-51,45.4,0,3.541,0,129.9845484,0,12.89,0,2
'39-49',39-49,49.36,0,3.158,0,217.6645878,0,7.716,0,2
'39-50',39-50,58.58,0,3.159,0,217.8781339,0,7.716,0,2
'39-51',39-51,54.62,0,3.112,0,218.0541851,0,7.716,0,2
'40-49',40-49,34.48,0,3.47,0,136.5030667,0,4.42,0,2
'40-50',40-50,29.53,0,3.445,0,136.5335161,0,4.42,0,2
'40-51',40-51,24.46,0,3.413,0,136.5883871,0,4.42,0,2
'41-49',41-49,17.05,0,3.331,0,195.8742575,0,6.759,0,2
'41-50',41-50,25.01,0,3.266,0,195.9841685,0,6.759,0,2
'41-51',41-51,25.59,0,3.173,0,196.1713893,0,6.759,0,2
'42-49',42-49,42.58,0,3.644,0,129.8555333,0,7.874,0,2
'42-50',42-50,50.53,0,3.489,0,129.8980645,0,7.874,0,2
'42-51',42-51,48.36,0,3.541,0,129.9845484,0,7.874,0,2
'43-49',43-49,34.23,0,3.158,0,210.5363571,0,10.148,0,2
'43-50',43-50,43.78,0,3.159,0,210.7365392,0,10.148,0,2
'43-51',43-51,42.63,0,3.112,0,210.9052972,0,10.148,0,2
'44-49',44-49,24.82,0,3.341,0,129.8555333,0,6.078,0,2
'44-50',44-50,27.85,0,3.282,0,129.8980645,0,6.078,0,2
'44-51',44-51,24.76,0,3.186,0,129.9845484,0,6.078,0,2
'45-49',45-49,46.57,0,3.415,0,188.6544692,0,8.523,0,2
'45-50',45-50,39.93,0,3.413,0,188.7979349,0,8.523,0,2
'45-51',45-51,42.27,0,3.389,0,188.9299752,0,8.523,0,2
'01-13',01-13,64.73,4.81613953286247,3.383,0.546321334015063,215.5292413,5.51837783623227,7.61266666666667,0.237708504966333,7
'01-14',01-14,70.2733333333333,2.35890511325314,3.44933333333333,0.548766191864384,215.616657833333,5.56766197935348,7.54433333333333,0.35322844355078,7
'04-02',04-02,31.6166666666667,2.78503740250168,2.94266666666667,0.347635345345283,128.0137312,1.97292945127474,6.58,2.00891488122319,6
'04-32',04-32,79.91,5.51778035082938,3.22233333333333,0.565881907586144,128.690774166667,2.36257492111986,5.69766666666667,1.64815543360853,6
'04-43',04-43,55.6766666666667,7.78647759473655,3.20933333333333,0.403288151739337,129.2186803,2.31607986524123,5.383,1.63724646892274,6
'05-02',05-02,42.1366666666667,5.91385097320973,2.93066666666667,0.359369355028132,214.761667433333,4.9498663297221,6.381,0.380839861359072,6
'04-06',04-06,38.64,9.51872365393601,3.04933333333333,0.353782890108235,128.282772633333,1.92558370796477,6.58,2.00891488122319,5
'04-36',04-36,74.3866666666667,7.2369906268652,3.30266666666667,0.574804604481677,128.860109333333,2.36799962403999,5.616,1.52519277470095,5
'05-06',05-06,48.44,10.1256259065798,3.03266666666667,0.371114986673043,215.427077533333,4.76014473188692,6.381,0.380839861359084,5
'04-44',04-44,48.13,2.44658946290572,3.0245,0.420728534806,128.2682634,2.17354739183961,6.135,1.40289985387411,4
'04-45',04-45,44.76,3.33754400720058,3.073,0.301227488785466,128.30505485,2.13780279049705,6.135,1.40289985387411,4
'04-46',04-46,48.505,2.73650324319207,3.089,0.289913780286487,128.3531586,2.0840907472654,6.135,1.40289985387411,4
'04-47',04-47,45.585,3.3587572106361,3.056,0.239002092041052,128.4099903,2.01724794323901,6.135,1.40289985387411,3
'04-48',04-48,38.4,0.438406204335092,3.0655,0.15627059864222,128.46682205,1.9504050685053,6.135,1.40289985387411,3
'01-15',01-15,71.7066666666667,2.879936341889,3.496,0.560891255057523,215.713164233333,5.59829467066726,7.54433333333333,0.35322844355078,7
'01-16',01-16,72.0633333333333,4.90608126036785,3.50333333333333,0.58763112011987,215.880357466667,5.48558834041358,7.54433333333333,0.35322844355078,7
'01-17',01-17,73.2333333333333,6.68670571607048,3.461,0.607953123192895,216.0475506,5.37289033074088,7.54433333333333,0.35322844355078,7
'05-32',05-32,85.66,5.27162214123873,3.23233333333333,0.582395341098586,216.921676333333,5.28913472630457,6.20933333333333,0.525359242169888,6
'05-43',05-43,69.04,2.78213946451289,3.20433333333333,0.411939720509363,218.196036266667,5.86735150327261,6.16333333333333,0.683328130061484,6
'06-02',06-02,42.4233333333333,5.23225891306353,2.93066666666667,0.359369355028132,215.7416573,4.97860042491157,6.74966666666667,0.571256801564179,6
'06-32',06-32,85.4366666666667,6.01739423117122,3.23233333333333,0.582395341098586,217.909031133333,5.31975757397621,6.522,0.739974999577693,6
'06-43',06-43,69.2133333333333,3.28506215060449,3.20433333333333,0.411939720509363,219.190990166667,5.90079946904256,6.29566666666667,0.867650467258178,6
'05-36',05-36,76.7766666666667,10.8337912723725,3.303,0.587485318965509,217.251504866667,5.41177623660016,6.3,0.615334868181551,5
'06-06',06-06,48.9266666666667,9.72463538305338,3.03266666666667,0.371114986673047,216.4104315,4.78728137160305,6.74966666666667,0.571256801564179,5
'06-36',06-36,77.25,10.8666830265725,3.303,0.587485318965505,218.240058433333,5.44399519465244,6.53333333333333,0.750521374334755,5
'05-44',05-44,54.01,3.81837661840723,3.02,0.441234631460405,215.28490155,4.41730518374831,6.534,0.330925973595318,4
'05-45',05-45,54.49,8.79640835796065,3.07,0.321026478658688,215.2946556,4.6319828732296,6.534,0.330925973595318,4
'05-46',05-46,57.97,8.99439825669288,3.0885,0.310419876940899,215.37599675,4.83366210158995,6.534,0.330925973595318,4
'06-44',06-44,55.42,4.41234631460391,3.02,0.441234631460405,216.2619661,4.43796493470699,6.779,0.322440692221057,4
'06-45',06-45,54.895,9.1004642738709,3.07,0.321026478658688,216.2717597,4.65467718252954,6.779,0.322440692221057,4
'05-47',05-47,58.47,4.89317892581088,3.061,0.247487373415294,215.5001091,5.01015036803189,6.534,0.330925973595318,3
'05-48',05-48,50.465,0.954594154601896,3.0575,0.161927452891722,215.62422145,5.18663849305272,6.534,0.330925973595318,3
'01-18',01-18,73.6166666666667,8.21248642819768,3.45333333333333,0.652812632639207,216.214743766667,5.26020122831169,7.54433333333333,0.35322844355078,7
'01-19',01-19,76.6133333333333,3.43503032495144,3.41833333333333,0.658316286699134,216.381936966667,5.14752151506512,7.54433333333333,0.35322844355078,7
'01-20',01-20,74.0233333333333,8.83901201115447,3.39133333333333,0.667792133326933,216.310122033333,5.16859584610804,7.54433333333333,0.35322844355078,7
'01-21',01-21,79.76,3.97426722805612,3.33333333333333,0.599830253766291,216.1957948,5.2375452686784,7.54433333333333,0.35322844355078,7
'01-22',01-22,80.62,2.53745935928046,3.28966666666667,0.546554053441497,216.0814675,5.30814315515017,7.53733333333333,0.345514592070073,7
'01-23',01-23,80.6366666666667,2.41880824649902,3.24733333333333,0.533315416365713,215.967140266667,5.38032470527463,7.53733333333333,0.345514592070073,7
'07-02',07-02,14.8933333333333,9.7254785657742,2.85333333333333,0.25739140104777,192.558606033333,3.75283485248526,8.696,0.393451394710929,6
'07-32',07-32,55.49,7.49837982500218,3.277,0.430730774382328,194.1952987,3.84256969480542,8.50366666666667,0.581599805135239,6
'07-43',07-43,29.7666666666667,12.317314371783,3.326,0.510309709882145,195.187869966667,4.105570778956,8.40233333333333,0.795792267701398,6
'08-02',08-02,33.8066666666667,2.45351448606537,2.93066666666667,0.359369355028132,217.612925033333,5.03349320199843,6.12866666666667,0.263632951911047,6
'07-06',07-06,18.76,8.50503968244711,2.94133333333333,0.225287224079241,192.8380004,3.69021665500147,8.696,0.393451394710929,5
'07-36',07-36,49.1933333333333,7.52470818924787,3.30233333333333,0.482897849791582,194.503385166667,3.66124154604309,8.54366666666667,0.636127607743395,5
'08-06',08-06,37.91,10.9175317723375,3.03266666666667,0.371114986673047,218.288122966667,4.83910475743593,6.12866666666667,0.263632951911047,5
'06-46',06-46,58.065,8.23779400082333,3.0885,0.310419876940899,216.35388135,4.85900070741016,6.779,0.322440692221057,4
'07-44',07-44,22.645,1.08187337521535,3.1195,0.576292026667034,193.2389698,3.17607772934893,8.825,0.441234631460453,4
'07-45',07-45,21.885,3.33047293938865,3.1165,0.549421968981948,193.3059005,3.29765413377531,8.825,0.441234631460453,4
'07-46',07-46,25.135,6.21546860662977,3.1285,0.495681853611771,193.37440445,3.31501113037875,8.825,0.441234631460453,4
'06-47',06-47,58.925,5.45179328294839,3.061,0.247487373415294,216.4791247,5.03830057183464,6.779,0.322440692221057,3
'06-48',06-48,50.16,1.44249783362078,3.0575,0.161927452891722,216.604368,5.21760036554754,6.779,0.322440692221057,3
'07-47',07-47,26.82,1.10308657865108,3.1025,0.45466966030295,193.45670945,3.27205255494277,8.825,0.441234631460453,3
'07-48',07-48,17.07,4.68104689145493,3.1035,0.388201622871414,193.53901445,3.22909397950945,8.825,0.441234631460453,3
'01-24',01-24,82.97,3.53344024995476,3.21766666666667,0.529249783498622,215.9536957,5.39498468495251,7.53733333333333,0.345514592070073,7
'01-25',01-25,81.7766666666667,2.93500141964806,3.18266666666667,0.512891151545173,216.043087866667,5.34787044149963,7.53733333333333,0.345514592070073,7
'01-26',01-26,84.09,1.97714440544901,3.15,0.457423217600503,216.13248,5.30075937235989,7.63066666666667,0.431300745806608,7
'08-32',08-32,81.3766666666667,6.20242157010741,3.23233333333333,0.582395341098586,219.794362066667,5.37825030220028,6.047,0.562149446321875,6
'08-43',08-43,57.5566666666667,6.8615765923971,3.20433333333333,0.411939720509363,221.0908313,5.96467648914904,5.89333333333333,0.684054335073851,6
'09-02',09-02,38.65,3.29828743441202,2.93066666666667,0.359369355028123,217.799139,5.03895757713639,6.166,0.432146965741998,6
'09-32',09-32,85.9966666666667,7.33697712503815,3.23233333333333,0.582395341098586,219.981975433333,5.38407236494866,6.041,0.661916157832685,6
'08-36',08-36,70.94,9.11947915179376,3.303,0.587485318965509,220.127678333333,5.50554274234694,6.08633333333333,0.593529555568489,5
'09-06',09-06,44.64,10.8278945321794,3.03266666666667,0.371114986673047,218.4749762,4.84426229452465,6.166,0.432146965741976,5
'09-36',09-36,76.31,11.3044592971093,3.303,0.587485318965509,220.315519533333,5.51166933127599,6.08033333333333,0.7000659492743,5
'08-44',08-44,46.265,4.82953931550413,3.02,0.441234631460405,218.1276481,4.47741428061004,6.278,0.219203102167805,4
'08-45',08-45,46.515,5.72049385979915,3.07,0.321026478658688,218.13751715,4.69801144379354,6.278,0.219203102167805,4
'08-46',08-46,48.375,4.73054436613803,3.0885,0.310419876940899,218.22112905,4.90738434749182,6.278,0.219203102167805,4
'08-47',08-47,47.64,2.78600071787487,3.061,0.247487373415294,218.348532,5.09205284944089,6.278,0.219203102167805,3
'08-48',08-48,41.145,0.459619407772067,3.0575,0.161927452891722,218.475935,5.27672142210277,6.278,0.219203102167805,3
'01-27',01-27,84.8533333333333,2.92017693527895,3.11133333333333,0.43810539066911,216.221872133333,5.25365161820749,7.55233333333333,0.564827702342343,7
'01-28',01-28,84.22,6.19680562870893,3.17433333333333,0.447128989591746,216.308229233333,5.20737272910237,7.55233333333333,0.564827702342343,7
'01-29',01-29,84.28,3.37169097041818,3.20866666666667,0.501394389012616,216.319456133333,5.22279934290154,7.55233333333333,0.564827702342343,7
'01-30',01-30,84.9033333333333,2.10295823385344,3.236,0.551745412305351,216.330683066667,5.23863257750438,7.55233333333333,0.564827702342343,7
'01-31',01-31,86.3233333333333,5.22326845311784,3.226,0.577687631856522,216.341910033333,5.2548689176302,7.55233333333333,0.564827702342343,7
'01-33',01-33,85.6333333333333,3.97334032437897,3.23566666666667,0.566155750066475,216.4100604,5.29696521836067,7.55233333333333,0.564827702342343,7
'09-43',09-43,64.5533333333333,4.69818404634537,3.20433333333333,0.411939720509363,221.279888633333,5.97103369976545,5.856,0.821104134686954,6
'10-02',10-02,50.3133333333333,0.594754851457943,3.20566666666667,0.337313405208473,128.0137312,1.97292945127474,8.68466666666667,1.11118870284633,6
'10-32',10-32,86.81,3.52659892814601,3.522,0.485914601550515,128.690774166667,2.36257492111884,8.20866666666667,1.01536315342509,6
'10-43',10-43,66.2066666666667,9.48880568529747,3.76866666666667,0.573126803886657,129.2186803,2.31607986524018,7.94,1.03158470325999,6
'11-02',11-02,48.8166666666667,3.9423892924639,2.93066666666667,0.359369355028132,217.5657968,5.03211032998358,7.25066666666667,0.373103649584556,6
'10-06',10-06,53.19,2.23758798709691,3.379,0.344004360437472,128.282772633333,1.92558370796351,8.68466666666667,1.11118870284633,5
'10-36',10-36,83.0566666666667,6.010011092613,3.60633333333333,0.616714142316628,128.860109333333,2.36799962403999,8.14333333333333,0.921771302077341,5
'11-06',11-06,53.6466666666667,9.82192615189775,3.03266666666667,0.371114986673047,218.240832966667,4.83779944194112,7.25066666666667,0.373103649584556,5
'09-44',09-44,52.175,3.23147799002259,3.02,0.441234631460405,218.3133062,4.48133999603775,6.307,0.357796031280389,4
'09-45',09-45,52.19,8.61256059485225,3.07,0.321026478658688,218.3231828,4.70232373450236,6.307,0.357796031280389,4
'09-46',09-46,54.25,6.43467170879756,3.0885,0.310419876940899,218.406943,4.91219910827544,6.307,0.357796031280389,4
'10-44',10-44,59.87,12.3036579926459,3.4345,0.556493036793812,128.2682634,2.17354739183961,8.4385,0.798323555959622,4
'10-45',10-45,57.895,3.69816846560576,3.384,0.414364573775312,128.30505485,2.13780279049705,8.4385,0.798323555959622,4
'10-46',10-46,59.06,0.127279220610109,3.397,0.384666088965476,128.3531586,2.0840907472654,8.4385,0.798323555959622,4
'09-47',09-47,52.625,2.39709198822234,3.061,0.247487373415294,218.53456085,5.09740190010885,6.307,0.357796031280389,3
'09-48',09-48,46.38,0.650538238691761,3.0575,0.161927452891722,218.6621787,5.28260469194128,6.307,0.357796031280389,3
'10-47',10-47,58.87,2.55972654789514,3.498,0.370523953341748,128.4099903,2.01724794323901,8.4385,0.798323555959622,3
'10-48',10-48,53.48,5.38815367264146,3.4245,0.391030049996163,128.46682205,1.9504050685053,8.4385,0.798323555959622,3
'01-34',01-34,82.1866666666667,5.26195147576751,3.25566666666667,0.549185153962967,216.5007987,5.32898280193389,7.55233333333333,0.564827702342343,7
'01-35',01-35,80.07,7.97829555732312,3.258,0.569670957658896,216.591536966667,5.361070932642,7.56933333333333,0.576077541077003,7
